HourOfYear,Electrolyzer_Capacity_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_hr,qSteam_Electrolyzer_MWth,pIES_MW,H2_Storage_Level_kg,H2_to_Market_kg_hr,H2_from_Storage_kg_hr,H2_net_to_Storage_kg_hr,"Electrolyzer_Status (0=off, 1=on)","Electrolyzer_Startup (0=no, 1=yes)","Electrolyzer_Shutdown (0=no, 1=yes)",DegradationState_Units,pElectrolyzerRampPos_MW,pElectrolyzerRampNeg_MW,qSteamElectrolyzerRampPos_MWth,qSteamElectrolyzerRampNeg_MWth,RegUp_Turbine_MW,RegDown_Turbine_MW,SR_Turbine_MW,NSR_Turbine_MW,RegUp_Electrolyzer_MW,RegDown_Electrolyzer_MW,SR_Electrolyzer_MW,NSR_Electrolyzer_MW,Total_RegUp_MW,Total_RegDown_MW,Total_SR_MW,Total_NSR_MW,EnergyPrice_LMP_USDperMWh,p_RegU_CAISO,deploy_factor_RegU_CAISO,loc_RegU_CAISO,mileage_factor_RegU_CAISO,p_RegD_CAISO,deploy_factor_RegD_CAISO,loc_RegD_CAISO,mileage_factor_RegD_CAISO,p_Spin_CAISO,deploy_factor_Spin_CAISO,loc_Spin_CAISO,p_NSpin_CAISO,deploy_factor_NSpin_CAISO,loc_NSpin_CAISO,p_RMU_CAISO,deploy_factor_RMU_CAISO,loc_RMU_CAISO,p_RMD_CAISO,deploy_factor_RMD_CAISO,loc_RMD_CAISO,Deployed_Up_Reserves_MW,Deployed_Down_Reserves_MW,Revenue_Energy_USD,Revenue_Hydrogen_USD,Revenue_Ancillary_USD,Revenue_Total_USD,Cost_VOM_Turbine_USD,Cost_VOM_Electrolyzer_USD,Cost_Water_USD,Cost_Ramping_USD,Cost_Storage_Cycle_USD,Cost_Startup_USD,Cost_HourlyOpex_Total_USD,Profit_Hourly_USD
1,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,8979.5918,0.0,1000.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4836,4.9715,0.5829,0.3214,0.9955,6.879,0.4535,-0.2459,1.0107,3.0,0.938,0.2433,5.4435,0.8092,-0.1345,1.6254,0.8939,0.2995,1.5674,0.7116,-0.1194,0.0,0.0,6643.768,3000.0,0.1843,9643.9523,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8883.9523
2,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,7959.1837,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2376,7.6991,0.7082,0.3407,1.0118,7.9152,0.5883,0.1104,1.0022,3.0,0.9285,0.0534,7.6103,0.8936,0.0273,2.6634,0.8508,-0.129,1.8524,0.7155,0.2194,0.0,0.0,4650.288,3000.0,0.5318,7650.8198,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6890.8198
3,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,7122.449,0.0,820.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5782,8.6681,0.6015,-0.0435,1.0276,8.8985,0.756,0.0978,0.9866,12.8387,0.866,0.0691,6.2566,0.9566,-0.2682,0.5,0.7787,-0.1002,1.9959,0.7651,0.185,0.0,0.0,5539.716,2460.0,-0.1448,7999.5712,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,7239.5712
4,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,6102.0408,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9559,8.788,0.5782,-0.2176,1.0419,7.3334,0.5664,0.1574,1.0084,3.0,0.8831,0.3021,6.8635,0.9805,-0.3967,3.0662,0.6362,0.1459,2.7291,0.7192,-0.1615,0.0,0.0,6823.242,3000.0,-0.1548,9823.0872,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9063.0872
5,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,5081.6327,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8293,6.8037,0.4641,-0.4656,1.0517,10.1932,0.819,-0.0157,0.9945,3.0,0.8774,-0.0323,3.0,0.9439,-0.2389,1.4815,0.68,-0.1529,0.5,0.6832,-0.2501,0.0,0.0,3355.134,3000.0,-0.7525,6354.3815,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5594.3815
6,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,4061.2245,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1702,7.6714,0.6349,0.0563,1.0287,4.9156,0.4506,-0.0944,0.9872,8.1589,0.9869,-0.2407,3.0,0.909,-0.1227,0.5899,0.6737,0.059,3.0234,0.6855,0.2266,0.0,0.0,3484.676,3000.0,-0.4015,6484.2745,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5724.2745
7,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,3040.8163,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2359,2.0,0.5941,-0.5332,1.0393,4.7088,0.6061,0.1129,0.9707,3.0,0.972,0.1234,7.1289,0.906,0.0885,1.7087,0.6913,-0.5027,0.5,0.716,0.2888,0.0,0.0,7309.642,3000.0,-0.2084,10309.4336,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9549.4336
8,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,2020.4082,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7663,6.7166,0.4979,-0.0213,1.0362,2.0944,0.6306,-0.0345,0.974,9.3808,0.9403,0.4159,3.0,0.921,-0.1858,1.4024,0.742,0.0385,2.0124,0.6608,0.1584,0.0,0.0,6371.194,3000.0,0.1743,9371.3683,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8611.3683
9,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6529,2.7482,0.6579,-0.1402,1.0227,8.804,0.6607,0.3175,0.9661,8.2994,0.9555,-0.3049,3.0,0.9048,-0.2529,2.28,0.747,-0.0207,3.2332,0.6624,-0.1429,0.0,0.0,4808.102,3000.0,-0.3805,7807.7215,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,7047.7215
10,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1249,7.8971,0.4939,0.1395,1.0059,7.7533,0.6778,-0.2738,0.9818,3.0,0.9386,-0.2717,11.3772,0.9272,0.0092,3.818,0.7609,-0.0444,2.9122,0.7101,0.0575,0.0,0.0,7647.462,0.0,-0.3968,7647.0652,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6887.0652
