HourOfYear,Electrolyzer_Capacity_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_hr,qSteam_Electrolyzer_MWth,pIES_MW,H2_Storage_Level_kg,H2_to_Market_kg_hr,H2_from_Storage_kg_hr,H2_net_to_Storage_kg_hr,"Electrolyzer_Status (0=off, 1=on)","Electrolyzer_Startup (0=no, 1=yes)","Electrolyzer_Shutdown (0=no, 1=yes)",DegradationState_Units,pElectrolyzerRampPos_MW,pElectrolyzerRampNeg_MW,RegUp_Turbine_MW,RegDown_Turbine_MW,SR_Turbine_MW,NSR_Turbine_MW,RegUp_Electrolyzer_MW,RegDown_Electrolyzer_MW,SR_Electrolyzer_MW,NSR_Electrolyzer_MW,ThirtyMin_Turbine_MW,ThirtyMin_Electrolyzer_MW,Total_RegUp_MW,Total_RegDown_MW,Total_SR_MW,Total_NSR_MW,Total_30Min_MW,EnergyPrice_LMP_USDperMWh,p_Reg_MISO,deploy_factor_Reg_MISO,loc_Reg_MISO,p_Spin_MISO,deploy_factor_Spin_MISO,loc_Spin_MISO,p_Sup_MISO,deploy_factor_Sup_MISO,loc_Sup_MISO,p_STR_MISO,deploy_factor_STR_MISO,loc_STR_MISO,Deployed_Up_Reserves_MW,Deployed_Down_Reserves_MW,Revenue_Energy_USD,Revenue_Hydrogen_USD,Revenue_Ancillary_USD,Revenue_Total_USD,Cost_VOM_Turbine_USD,Cost_VOM_Electrolyzer_USD,Cost_Water_USD,Cost_Ramping_USD,Cost_Storage_Cycle_USD,Cost_Startup_USD,Cost_HourlyOpex_Total_USD,Profit_Hourly_USD
1,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,8979.5918,0.0,1000.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4836,10.9625,0.6782,-0.0223,6.4187,0.9214,-0.2459,3.0,0.9973,-0.4247,9.1494,0.8462,-0.118,0.0,0.0,6643.768,3000.0,-0.8109,9642.9571,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8882.9571
2,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,7959.1837,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2376,10.6303,0.7748,0.1254,7.9751,0.9034,0.1104,5.8978,0.953,-0.4547,7.3705,0.8839,0.0685,0.0,0.0,4650.288,3000.0,-0.1504,7650.1376,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6890.1376
3,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,7122.449,0.0,820.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5782,7.0226,0.7342,0.2557,9.3644,0.8688,0.0978,14.053,0.9416,0.345,3.0,0.8429,-0.0384,0.0,0.0,5539.716,2460.0,0.6601,8000.3761,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,7240.3761
4,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,6102.0408,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9559,5.6196,0.6985,0.3556,7.0681,0.9218,0.1574,5.9193,0.9722,-0.3401,8.04,0.8037,-0.0417,0.0,0.0,6823.242,3000.0,0.1312,9823.3732,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9063.3732
5,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,5081.6327,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8293,3.0,0.625,0.3796,11.1519,0.886,-0.0157,15.1039,0.9423,-0.3508,4.3836,0.804,-0.3063,0.0,0.0,3355.134,3000.0,-0.2932,6354.8408,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5594.8408
6,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,4061.2245,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1702,7.48,0.6538,-0.1834,3.7982,0.8683,-0.0944,3.0,0.8967,0.1389,18.7939,0.8194,-0.3592,0.0,0.0,3484.676,3000.0,-0.4981,6484.1779,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5724.1779
7,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,3040.8163,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2359,3.0,0.6547,0.3637,3.2043,0.8272,0.1129,8.9175,0.9133,-0.3943,9.5769,0.856,-0.041,0.0,0.0,7309.642,3000.0,0.0413,10309.6833,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9549.6833
8,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,2020.4082,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7663,7.464,0.6203,0.1286,3.0,0.8404,-0.0345,9.4103,0.9602,0.1169,5.9938,0.8467,-0.4225,0.0,0.0,6371.194,3000.0,-0.2115,9370.9825,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8610.9825
9,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6529,5.8629,0.6562,-0.1305,9.2328,0.8207,0.3175,10.1016,0.9055,0.104,10.3922,0.8324,-0.2104,0.0,0.0,4808.102,3000.0,0.0806,7808.1826,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,7048.1826
10,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1249,9.4076,0.6273,-0.286,7.6355,0.8684,-0.2738,12.0026,0.8717,-0.4409,7.9592,0.8535,0.1904,0.0,0.0,7647.462,0.0,-0.8103,7646.6517,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6886.6517
11,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6833,7.7342,0.6216,-0.1996,3.0,0.9327,0.386,7.7155,0.9114,-0.5743,5.8436,0.8207,0.2519,0.0,0.0,6719.654,0.0,-0.136,6719.518,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5959.518
12,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.26,6.6101,0.6564,0.0911,9.1973,0.9811,0.146,13.4067,0.9503,-0.3232,3.0,0.8795,0.3582,0.0,0.0,7698.8,0.0,0.2721,7699.0721,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6939.0721
13,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2104,10.7437,0.6825,-0.1228,13.2324,0.9976,0.0049,6.4237,0.9518,0.3554,6.6984,0.9,-0.0813,0.0,0.0,9959.952,0.0,0.1562,9960.1082,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9200.1082
14,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5053,5.0223,0.6892,0.0906,8.5996,0.9437,0.0446,5.0852,0.9401,-0.1488,7.1956,0.8897,0.04,0.0,0.0,6652.014,0.0,0.0264,6652.0404,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5892.0404
15,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0364,9.4113,0.6824,-0.2818,5.1879,0.9288,0.0152,6.9448,0.9196,-0.2411,7.1685,0.9462,0.2551,0.0,0.0,7613.832,0.0,-0.2526,7613.5794,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6853.5794
16,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8487,13.8403,0.6702,-0.1884,4.2592,0.9075,-0.0138,8.039,0.9331,-0.282,17.718,0.9752,-0.0702,0.0,0.0,10202.506,0.0,-0.5544,10201.9516,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9441.9516
17,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9368,10.9076,0.6473,-0.0225,10.0839,0.8759,0.3145,9.9116,0.93,0.1204,12.5174,0.9456,0.2143,0.0,0.0,9475.984,0.0,0.6267,9476.6107,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8716.6107
18,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2316,8.1096,0.6495,-0.043,10.4117,0.8777,0.3738,13.2376,0.9176,0.0206,16.0503,0.9374,0.2009,0.0,0.0,11868.008,0.0,0.5523,11868.5603,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,11108.5603
19,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1214,5.8663,0.6965,-0.3192,19.6421,0.8847,0.0844,8.2771,0.9043,-0.1665,10.8105,0.8802,0.0339,0.0,0.0,9166.132,0.0,-0.3674,9165.7646,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8405.7646
20,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0109,10.3377,0.6601,-0.1573,3.6409,0.8795,0.1403,5.3657,0.897,-0.4144,8.5493,0.8874,-0.1171,0.0,0.0,7604.142,0.0,-0.5485,7603.5935,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6843.5935
21,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3298,6.1722,0.5825,-0.436,12.2666,0.8962,-0.2767,13.9095,0.9216,0.0849,11.9824,0.8709,-0.1571,0.0,0.0,12285.324,0.0,-0.7849,12284.5391,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,11524.5391
22,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.461,8.1611,0.5838,0.0166,5.8675,0.8921,-0.1421,10.7656,0.909,-0.224,6.9657,0.8481,-0.1631,0.0,0.0,8155.18,0.0,-0.5126,8154.6674,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,7394.6674
23,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3395,9.8452,0.6607,0.3819,5.0808,0.8797,0.0947,4.8502,0.925,0.0433,7.6065,0.8442,0.0649,0.0,0.0,7729.01,0.0,0.5848,7729.5948,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6969.5948
24,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2901,4.5066,0.6561,-0.1915,3.0,0.8928,-0.0232,3.0,0.9614,-0.4139,12.983,0.8552,-0.2363,0.0,0.0,3910.238,0.0,-0.8649,3909.3731,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,3149.3731
25,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2803,4.5677,0.6663,-0.2383,10.7989,0.9189,0.094,10.2414,0.9493,0.3576,3.5461,0.8839,-0.451,0.0,0.0,4666.514,0.0,-0.2377,4666.2763,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,3906.2763
26,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.486,4.0539,0.6764,0.2457,11.0011,0.9235,-0.3184,8.0507,0.9893,-0.1036,3.4329,0.9173,0.0208,0.0,0.0,5124.68,0.0,-0.1555,5124.5245,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,4364.5245
27,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5874,10.545,0.6589,-0.2927,8.6751,0.9144,0.0677,3.0,0.9628,0.1302,4.8604,0.9097,-0.1095,0.0,0.0,2123.212,0.0,-0.2043,2123.0077,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,1363.0077
28,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.222,11.4685,0.7131,0.2514,4.5449,0.9162,0.5154,9.313,0.8874,0.1826,3.0,0.9255,0.6069,0.0,0.0,4644.36,0.0,1.5563,4645.9163,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,3885.9163
29,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9998,10.909,0.7022,-0.3005,7.4464,0.968,-0.2181,5.7047,0.9291,-0.5504,7.2119,0.9464,-0.4603,0.0,0.0,2659.924,0.0,-1.5293,2658.3947,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,1898.3947
30,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8855,11.4321,0.7376,-0.0889,11.0336,0.9245,0.074,8.2483,0.9037,-0.3214,6.8636,0.9427,0.0764,0.0,0.0,3376.49,0.0,-0.2599,3376.2301,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,2616.2301
