Time,RegU,RegD,Spin,NSpin,ECRS
2024-01-01 00:00:00,1.49,1.51,1.0,0.94,0.1
2024-01-01 01:00:00,1.47,1.25,1.0,0.94,0.11
2024-01-01 02:00:00,1.8,1.25,1.0,1.23,0.12
2024-01-01 03:00:00,1.6,1.25,1.0,1.23,0.13
2024-01-01 04:00:00,2.0,1.25,1.01,1.23,0.14
2024-01-01 05:00:00,3.19,1.49,1.0,1.25,0.15
2024-01-01 06:00:00,3.98,1.93,1.5,2.72,2.0
2024-01-01 07:00:00,3.47,1.92,1.97,2.72,2.0
2024-01-01 08:00:00,2.52,5.73,2.05,2.15,5.05
2024-01-01 09:00:00,2.5,2.55,1.5,2.15,4.2
2024-01-01 10:00:00,2.2,1.79,1.4,1.5,2.0
2024-01-01 11:00:00,1.98,1.57,1.4,1.45,1.72
2024-01-01 12:00:00,1.98,1.48,1.5,1.45,1.5
2024-01-01 13:00:00,1.63,1.57,1.15,1.29,1.15
2024-01-01 14:00:00,1.65,1.57,1.28,1.45,1.28
2024-01-01 15:00:00,1.57,1.57,1.08,1.29,1.08
2024-01-01 16:00:00,5.74,2.0,1.5,1.5,1.5
2024-01-01 17:00:00,20.51,2.55,1.97,9.14,2.0
2024-01-01 18:00:00,3.49,1.71,1.65,2.72,2.0
2024-01-01 19:00:00,2.01,1.38,1.5,2.3,1.95
2024-01-01 20:00:00,1.53,1.25,1.2,2.15,1.2
2024-01-01 21:00:00,1.64,1.25,1.1,1.75,0.93
2024-01-01 22:00:00,1.47,1.25,1.0,1.12,0.25
2024-01-01 23:00:00,1.33,1.25,1.0,1.11,0.08
2024-01-02 00:00:00,1.49,0.5,1.0,0.92,0.1
2024-01-02 01:00:00,1.33,0.49,1.0,0.92,0.11
2024-01-02 02:00:00,1.6,0.34,1.0,1.12,0.12
2024-01-02 03:00:00,1.8,0.49,1.0,1.12,0.13
2024-01-02 04:00:00,2.5,0.72,1.0,1.15,0.14
2024-01-02 05:00:00,3.19,1.31,1.0,2.72,0.94
