Time,RamU,RamD,Reg,Spin,STR,Sup
2024-01-01 01:00:00,0.0,0,6.77,1.2,0.0,0.18
2024-01-01 02:00:00,0.0,0,5.11,1.0,0.0,0.18
2024-01-01 03:00:00,0.0,0,4.59,1.11,0.0,0.18
2024-01-01 04:00:00,0.0,0,6.77,1.0,0.0,0.18
2024-01-01 05:00:00,0.0,0,6.77,1.0,0.0,0.18
2024-01-01 06:00:00,0.0,0,6.77,2.5,0.0,0.18
2024-01-01 07:00:00,0.0,0,7.77,2.83,0.0,0.18
2024-01-01 08:00:00,0.0,0,10.51,2.86,0.0,0.18
2024-01-01 09:00:00,0.0,0,10.03,2.83,0.047,0.18
2024-01-01 10:00:00,0.0,0,8.07,2.66,0.0,0.18
2024-01-01 11:00:00,0.0,0,8.05,2.68,0.0,0.18
2024-01-01 12:00:00,0.0,0,7.41,2.0,0.0,0.18
2024-01-01 13:00:00,0.0,0,6.86,1.39,0.0,0.18
2024-01-01 14:00:00,0.0,0,6.77,1.06,0.0,0.18
2024-01-01 15:00:00,0.0,0,6.77,1.0,0.0,0.18
2024-01-01 16:00:00,0.0,0,6.77,1.0,0.0,0.18
2024-01-01 17:00:00,0.0,0,8.45,1.0,0.0,0.18
2024-01-01 18:00:00,0.0,0,10.08,2.68,0.0,0.18
2024-01-01 19:00:00,0.0,0,10.81,2.82,0.0,0.18
2024-01-01 20:00:00,0.0,0,10.81,1.88,0.0,0.18
2024-01-01 21:00:00,0.0,0,9.26,1.24,0.0,0.18
2024-01-01 22:00:00,0.0,0,8.03,1.0,0.0,0.18
2024-01-01 23:00:00,0.0,0,6.77,0.87,0.0,0.18
2024-01-02 00:00:00,0.0,0,4.83,0.87,0.0,0.18
2024-01-02 01:00:00,0.0,0,6.77,0.29,0.0,0.18
2024-01-02 02:00:00,0.0,0,4.44,0.29,0.0,0.18
2024-01-02 03:00:00,0.0,0,4.44,0.29,0.0,0.18
2024-01-02 04:00:00,0.0,0,4.44,0.29,0.0,0.18
2024-01-02 05:00:00,0.0,0,6.77,0.29,0.0,0.18
2024-01-02 06:00:00,0.0,0,10.81,1.03,0.0,0.18
2024-01-02 07:00:00,0.18,0,12.44,2.18,0.0,0.18
2024-01-02 08:00:00,5.0,0,16.75,7.0,0.0,0.2
2024-01-02 09:00:00,0.96,0,12.05,4.0,0.0,0.18
2024-01-02 10:00:00,0.0,0,10.81,2.23,0.0,0.18
2024-01-02 11:00:00,0.0,0,10.81,2.0,0.0,0.18
2024-01-02 12:00:00,0.0,0,7.77,1.2,0.0,0.18
2024-01-02 13:00:00,0.0,0,6.08,0.9,0.0,0.17
2024-01-02 14:00:00,0.0,0,5.62,0.87,0.0,0.17
2024-01-02 15:00:00,0.0,0,4.91,0.87,0.0,0.17
2024-01-02 16:00:00,0.0,0,4.34,0.87,0.0,0.17
2024-01-02 17:00:00,0.0,0,4.44,2.23,0.0,0.17
2024-01-02 18:00:00,3.17,0,10.81,5.17,0.084,0.18
2024-01-02 19:00:00,3.24,0,14.59,6.1,0.084,0.18
2024-01-02 20:00:00,1.11,0,11.93,3.97,0.084,0.18
2024-01-02 21:00:00,0.0,0,10.92,2.94,0.084,0.18
2024-01-02 22:00:00,0.0,0,10.84,2.86,0.084,0.18
2024-01-02 23:00:00,0.0,0,10.81,2.82,0.047,0.18
2024-01-03 00:00:00,0.0,0,8.37,2.82,0.047,0.18
2024-01-03 01:00:00,0.0,0,6.46,2.83,0.084,0.18
2024-01-03 02:00:00,0.0,0,4.96,2.68,0.084,0.18
2024-01-03 03:00:00,0.0,0,5.03,2.15,0.0,0.18
2024-01-03 04:00:00,0.0,0,4.65,2.06,0.0,0.18
2024-01-03 05:00:00,0.0,0,6.7,2.72,0.0,0.18
2024-01-03 06:00:00,0.0,0,9.58,2.88,0.084,0.18
2024-01-03 07:00:00,4.23,0,11.42,6.35,0.352,0.24
2024-01-03 08:00:00,5.0,0,15.19,8.99,0.792,0.4
2024-01-03 09:00:00,3.0,0,13.66,7.0,0.352,0.24
2024-01-03 10:00:00,0.22,0,11.42,4.22,0.352,0.22
2024-01-03 11:00:00,0.0,0,11.67,3.69,0.352,0.2
2024-01-03 12:00:00,0.0,0,10.08,3.05,0.084,0.2
2024-01-03 13:00:00,0.0,0,7.2,2.97,0.084,0.2
2024-01-03 14:00:00,0.0,0,5.61,2.83,0.084,0.18
2024-01-03 15:00:00,0.0,0,4.85,2.57,0.08,0.18
2024-01-03 16:00:00,0.0,0,4.44,2.26,0.0,0.18
2024-01-03 17:00:00,0.0,0,6.58,2.84,0.084,0.18
2024-01-03 18:00:00,0.3,0,10.81,3.2,0.084,0.2
2024-01-03 19:00:00,0.33,0,12.49,4.33,0.084,0.2
2024-01-03 20:00:00,0.0,0,11.5,3.14,0.352,0.18
2024-01-03 21:00:00,0.0,0,10.81,3.16,0.422,0.18
2024-01-03 22:00:00,0.0,0,9.26,3.05,0.352,0.18
2024-01-03 23:00:00,0.0,0,8.09,2.85,0.173,0.18
2024-01-04 00:00:00,0.0,0,7.61,2.83,0.084,0.18
2024-01-04 01:00:00,0.0,0,6.77,2.87,0.0,0.18
2024-01-04 02:00:00,0.0,0,5.39,2.82,0.0,0.18
2024-01-04 03:00:00,0.0,0,5.87,2.83,0.0,0.18
2024-01-04 04:00:00,0.0,0,5.87,2.85,0.0,0.18
2024-01-04 05:00:00,0.0,0,6.77,2.85,0.0,0.18
2024-01-04 06:00:00,4.31,0,11.08,7.01,0.0,0.2
2024-01-04 07:00:00,5.0,0,11.77,7.23,0.0,0.45
2024-01-04 08:00:00,5.0,0,17.59,11.84,0.0,0.75
2024-01-04 09:00:00,4.72,0,16.2,10.47,0.0,0.45
