Time,Spin10,NSpin10,Res30,RegC
2024-01-01 00:00:00,4.965,4.601,4.145,7.307
2024-01-01 01:00:00,4.965,4.601,4.145,7.307
2024-01-01 02:00:00,4.965,4.601,4.145,7.307
2024-01-01 03:00:00,2.485,2.485,2.485,3.0
2024-01-01 04:00:00,2.485,2.485,2.485,3.0
2024-01-01 05:00:00,2.53,2.53,2.53,4.59
2024-01-01 06:00:00,2.503,2.503,2.503,6.34
2024-01-01 07:00:00,4.0,4.0,4.0,5.5
2024-01-01 08:00:00,4.2,4.2,4.2,5.5
2024-01-01 09:00:00,4.0,4.0,4.0,5.0
2024-01-01 10:00:00,3.818,3.736,3.6,5.14
2024-01-01 11:00:00,3.818,3.736,3.6,5.07
2024-01-01 12:00:00,3.818,3.736,3.6,5.0
2024-01-01 13:00:00,3.818,3.736,3.6,5.0
2024-01-01 14:00:00,3.905,3.905,3.79,5.07
2024-01-01 15:00:00,4.2,4.2,4.2,5.5
2024-01-01 16:00:00,4.636,4.336,4.2,7.0
2024-01-01 17:00:00,4.828,4.386,4.25,7.31
2024-01-01 18:00:00,4.755,4.346,4.21,7.21
2024-01-01 19:00:00,4.598,4.336,4.2,5.88
2024-01-01 20:00:00,4.276,4.276,4.2,7.0
2024-01-01 21:00:00,4.2,4.2,4.2,5.5
2024-01-01 22:00:00,4.2,4.2,4.2,4.23
2024-01-01 23:00:00,2.516,2.516,2.5,3.02
2024-01-02 00:00:00,2.485,2.485,2.485,3.0
2024-01-02 01:00:00,2.485,2.485,2.485,3.25
2024-01-02 02:00:00,2.485,2.485,2.485,4.0
2024-01-02 03:00:00,2.485,2.485,2.485,3.0
2024-01-02 04:00:00,2.485,2.485,2.485,4.0
2024-01-02 05:00:00,2.485,2.485,2.485,3.0
2024-01-02 06:00:00,2.503,2.503,2.503,5.3
2024-01-02 07:00:00,4.779,4.779,4.25,8.12
2024-01-02 08:00:00,4.418,4.418,4.2,7.0
2024-01-02 09:00:00,4.2,4.2,4.2,7.27
2024-01-02 10:00:00,4.0,4.0,4.0,5.0
2024-01-02 11:00:00,4.0,4.0,4.0,5.0
2024-01-02 12:00:00,3.498,3.498,3.46,5.5
2024-01-02 13:00:00,3.495,3.495,3.49,5.5
2024-01-02 14:00:00,4.0,4.0,4.0,5.5
2024-01-02 15:00:00,4.0,4.0,4.0,5.5
2024-01-02 16:00:00,4.636,4.315,4.2,7.0
2024-01-02 17:00:00,8.177,4.25,4.25,12.91
2024-01-02 18:00:00,4.636,4.2,4.2,7.0
2024-01-02 19:00:00,4.636,4.2,4.2,7.0
2024-01-02 20:00:00,4.304,4.304,4.2,7.0
2024-01-02 21:00:00,4.336,4.336,4.2,7.0
2024-01-02 22:00:00,4.2,4.2,4.2,5.5
2024-01-02 23:00:00,2.516,2.516,2.5,3.02
2024-01-03 00:00:00,2.53,2.53,2.53,6.76
2024-01-03 01:00:00,2.53,2.53,2.53,4.75
2024-01-03 02:00:00,2.53,2.53,2.53,3.05
2024-01-03 03:00:00,2.485,2.485,2.485,3.0
2024-01-03 04:00:00,2.53,2.53,2.53,4.65
2024-01-03 05:00:00,2.53,2.53,2.53,5.95
2024-01-03 06:00:00,5.308,5.308,4.25,7.94
2024-01-03 07:00:00,7.504,5.273,5.0,10.0
2024-01-03 08:00:00,5.539,5.059,4.53,8.38
2024-01-03 09:00:00,4.468,4.468,4.25,5.05
2024-01-03 10:00:00,4.0,4.0,4.0,5.0
2024-01-03 11:00:00,3.991,3.991,3.98,5.0
2024-01-03 12:00:00,3.886,3.886,3.75,5.0
2024-01-03 13:00:00,3.886,3.886,3.75,5.0
2024-01-03 14:00:00,4.01,4.01,4.01,5.0
2024-01-03 15:00:00,4.626,4.386,4.25,5.05
2024-01-03 16:00:00,4.659,4.354,4.25,7.0
2024-01-03 17:00:00,6.805,5.0,5.0,11.85
2024-01-03 18:00:00,4.618,4.618,4.46,7.13
2024-01-03 19:00:00,5.202,4.645,4.52,7.77
2024-01-03 20:00:00,4.636,4.2,4.2,7.0
2024-01-03 21:00:00,4.304,4.304,4.2,7.0
2024-01-03 22:00:00,4.2,4.2,4.2,5.5
2024-01-03 23:00:00,2.99,2.99,2.99,4.82
2024-01-04 00:00:00,3.372,3.372,2.99,4.0
2024-01-04 01:00:00,3.372,3.372,2.99,3.51
2024-01-04 02:00:00,2.99,2.99,2.608,3.08
2024-01-04 03:00:00,2.908,2.908,2.526,3.0
2024-01-04 04:00:00,2.908,2.908,2.526,3.0
2024-01-04 05:00:00,3.376,3.376,3.0,5.3
2024-01-04 06:00:00,3.545,3.545,3.0,5.21
2024-01-04 07:00:00,5.545,5.0,5.0,10.0
2024-01-04 08:00:00,4.795,4.659,4.25,7.25
2024-01-04 09:00:00,4.659,4.659,4.25,5.05
2024-01-04 10:00:00,4.468,4.25,4.25,5.05
2024-01-04 11:00:00,4.468,4.25,4.25,5.05
2024-01-04 12:00:00,4.392,4.25,4.25,11.0
