Time,Rse,Reg,Syn,TMR
2024-01-01 00:00:00,0.04,10.72,0.04,0.0
2024-01-01 01:00:00,0.04,2.46,0.04,0.0
2024-01-01 02:00:00,0.01,4.54,0.01,0.0
2024-01-01 03:00:00,0.02,3.62,0.02,0.0
2024-01-01 04:00:00,0.01,8.64,0.01,0.0
2024-01-01 05:00:00,0.02,23.03,0.02,0.0
2024-01-01 06:00:00,0.0,18.54,0.01,0.0
2024-01-01 07:00:00,0.0,13.48,0.01,0.0
2024-01-01 08:00:00,0.0,7.84,0.01,0.0
2024-01-01 09:00:00,0.0,13.23,0.01,0.0
2024-01-01 10:00:00,0.0,17.06,0.01,0.0
2024-01-01 11:00:00,0.0,8.43,0.04,0.0
2024-01-01 12:00:00,0.0,6.91,0.0,0.0
2024-01-01 13:00:00,0.0,18.44,0.04,0.0
2024-01-01 14:00:00,0.0,10.19,0.04,0.0
2024-01-01 15:00:00,0.0,6.54,0.0,0.0
2024-01-01 16:00:00,0.0,59.3,0.02,0.0
2024-01-01 17:00:00,0.0,39.39,0.0,0.0
2024-01-01 18:00:00,0.0,24.28,0.0,0.0
2024-01-01 19:00:00,0.0,47.71,0.02,0.0
2024-01-01 20:00:00,0.04,360.67,0.04,0.0
2024-01-01 21:00:00,0.0,29.37,0.01,0.0
2024-01-01 22:00:00,0.0,19.71,0.04,0.0
2024-01-01 23:00:00,0.0,20.0,0.01,0.0
2024-01-02 00:00:00,0.0,10.33,0.01,0.0
2024-01-02 01:00:00,0.0,22.26,0.01,0.0
2024-01-02 02:00:00,0.0,2.01,0.01,0.0
2024-01-02 03:00:00,0.0,6.79,0.01,0.0
2024-01-02 04:00:00,0.0,23.9,0.01,0.0
2024-01-02 05:00:00,0.01,30.25,0.01,0.0
2024-01-02 06:00:00,0.02,5.9,0.02,0.0
2024-01-02 07:00:00,0.02,1.59,0.02,0.0
2024-01-02 08:00:00,2.05,1.93,2.05,0.0
2024-01-02 09:00:00,0.04,3.51,0.04,0.0
2024-01-02 10:00:00,31.93,55.32,31.93,0.0
2024-01-02 11:00:00,0.0,14.44,0.0,0.0
2024-01-02 12:00:00,0.0,7.58,0.01,0.0
2024-01-02 13:00:00,0.0,18.5,0.04,0.0
2024-01-02 14:00:00,0.0,16.44,0.04,0.0
2024-01-02 15:00:00,0.0,7.0,0.01,0.0
2024-01-02 16:00:00,0.0,16.6,0.04,0.0
2024-01-02 17:00:00,4.11,4.16,4.11,0.0
2024-01-02 18:00:00,18.16,22.5,18.16,0.0
2024-01-02 19:00:00,12.77,33.53,12.77,0.0
2024-01-02 20:00:00,0.0,21.65,4.04,0.0
2024-01-02 21:00:00,0.0,305.21,117.8,0.0
2024-01-02 22:00:00,0.0,35.14,9.04,0.0
2024-01-02 23:00:00,0.0,23.44,0.04,0.0
2024-01-03 00:00:00,0.0,5.37,0.04,0.0
2024-01-03 01:00:00,0.0,153.24,82.98,0.0
2024-01-03 02:00:00,0.0,13.78,0.02,0.0
2024-01-03 03:00:00,0.0,6.61,0.04,0.0
2024-01-03 04:00:00,0.0,9.88,0.01,0.0
2024-01-03 05:00:00,0.0,7.07,0.0,0.0
2024-01-03 06:00:00,0.0,6.19,0.0,0.0
2024-01-03 07:00:00,1.79,26.48,1.79,0.0
2024-01-03 08:00:00,24.34,62.61,24.34,0.0
2024-01-03 09:00:00,4.93,6.21,4.93,0.0
2024-01-03 10:00:00,0.0,24.16,0.04,0.0
2024-01-03 11:00:00,0.0,10.02,0.01,0.0
2024-01-03 12:00:00,0.0,19.17,0.0,0.0
2024-01-03 13:00:00,0.0,12.01,0.04,0.0
2024-01-03 14:00:00,0.0,14.21,0.01,0.0
2024-01-03 15:00:00,0.0,2.61,0.01,0.0
2024-01-03 16:00:00,0.04,12.66,0.04,0.0
2024-01-03 17:00:00,0.0,31.86,0.0,0.0
2024-01-03 18:00:00,0.0,1.17,0.0,0.0
2024-01-03 19:00:00,0.04,3.65,0.04,0.0
2024-01-03 20:00:00,0.04,19.95,0.04,0.0
2024-01-03 21:00:00,0.04,21.07,0.04,0.0
2024-01-03 22:00:00,0.0,24.69,0.01,0.0
2024-01-03 23:00:00,0.01,35.57,0.01,0.0
2024-01-04 00:00:00,0.02,7.63,0.02,0.0
2024-01-04 01:00:00,0.04,12.8,0.04,0.0
2024-01-04 02:00:00,0.04,3.63,0.04,0.0
2024-01-04 03:00:00,0.04,7.03,0.04,0.0
2024-01-04 04:00:00,0.01,27.26,0.01,0.0
2024-01-04 05:00:00,0.02,35.21,0.02,0.0
2024-01-04 06:00:00,0.01,8.14,0.01,0.0
2024-01-04 07:00:00,0.01,0.01,0.01,0.0
2024-01-04 08:00:00,0.01,21.41,0.01,0.0
2024-01-04 09:00:00,0.02,0.22,0.02,0.0
2024-01-04 10:00:00,0.0,4.98,0.04,0.0
2024-01-04 11:00:00,0.0,2.73,0.01,0.0
2024-01-04 12:00:00,0.0,1.32,0.02,0.0
2024-01-04 13:00:00,0.04,29.15,0.04,0.0
2024-01-04 14:00:00,0.01,11.78,0.01,0.0
2024-01-04 15:00:00,0.01,0.0,0.01,0.0
2024-01-04 16:00:00,0.02,8.91,0.02,0.0
2024-01-04 17:00:00,0.0,9.71,0.0,0.0
2024-01-04 18:00:00,52.23,142.07,52.23,0.0
2024-01-04 19:00:00,0.02,10.06,0.02,0.0
2024-01-04 20:00:00,0.04,5.84,0.04,0.0
2024-01-04 21:00:00,0.04,7.27,0.04,0.0
2024-01-04 22:00:00,0.98,14.1,0.98,0.0
2024-01-04 23:00:00,5.81,26.61,5.81,0.0
2024-01-05 00:00:00,0.04,84.07,0.04,0.0
2024-01-05 01:00:00,0.04,9.95,0.04,0.0
2024-01-05 02:00:00,0.04,2.63,0.04,0.0
2024-01-05 03:00:00,0.04,3.58,0.04,0.0
2024-01-05 04:00:00,0.01,7.43,0.01,0.0
2024-01-05 05:00:00,0.02,13.77,0.02,0.0
2024-01-05 06:00:00,0.0,8.48,0.0,0.0
2024-01-05 07:00:00,0.76,9.25,0.76,0.0
2024-01-05 08:00:00,19.56,31.17,19.56,0.0
2024-01-05 09:00:00,0.0,12.47,0.0,0.0
2024-01-05 10:00:00,0.0,11.92,0.0,0.0
2024-01-05 11:00:00,0.02,20.57,0.02,0.0
2024-01-05 12:00:00,0.01,6.21,0.01,0.0
2024-01-05 13:00:00,0.04,7.7,0.04,0.0
2024-01-05 14:00:00,0.02,16.13,0.02,0.0
2024-01-05 15:00:00,0.04,11.2,0.04,0.0
2024-01-05 16:00:00,0.04,11.76,0.04,0.0
2024-01-05 17:00:00,0.04,14.71,0.04,0.0
2024-01-05 18:00:00,0.04,7.41,0.04,0.0
2024-01-05 19:00:00,0.04,9.29,0.04,0.0
2024-01-05 20:00:00,0.0,32.46,0.02,0.0
2024-01-05 21:00:00,0.0,7.5,0.01,0.0
2024-01-05 22:00:00,0.0,26.9,0.04,0.0
2024-01-05 23:00:00,0.0,11.88,0.01,0.0
2024-01-06 00:00:00,0.0,5.96,0.01,0.0
2024-01-06 01:00:00,0.0,8.87,0.04,0.0
2024-01-06 02:00:00,0.0,6.96,0.0,0.0
2024-01-06 03:00:00,0.0,10.16,0.01,0.0
2024-01-06 04:00:00,0.0,10.46,0.01,0.0
2024-01-06 05:00:00,0.0,8.25,0.01,0.0
2024-01-06 06:00:00,0.0,28.76,0.01,0.0
2024-01-06 07:00:00,0.0,17.41,0.0,0.0
2024-01-06 08:00:00,0.0,32.45,0.02,0.0
2024-01-06 09:00:00,0.0,0.01,0.0,0.0
2024-01-06 10:00:00,0.02,0.01,0.02,0.0
2024-01-06 11:00:00,0.02,0.01,0.02,0.0
2024-01-06 12:00:00,0.02,0.14,0.02,0.0
2024-01-06 13:00:00,0.0,36.79,0.04,0.0
2024-01-06 14:00:00,0.0,8.15,0.02,0.0
2024-01-06 15:00:00,0.0,5.49,0.02,0.0
2024-01-06 16:00:00,0.0,7.87,0.02,0.0
2024-01-06 17:00:00,0.0,8.09,0.02,0.0
2024-01-06 18:00:00,0.04,5.72,0.04,0.0
2024-01-06 19:00:00,0.0,45.54,1.47,0.0
2024-01-06 20:00:00,0.0,13.13,0.02,0.0
2024-01-06 21:00:00,0.0,13.4,0.0,0.0
2024-01-06 22:00:00,0.0,16.18,0.01,0.0
2024-01-06 23:00:00,0.0,12.44,0.02,0.0
2024-01-07 00:00:00,0.0,10.64,0.02,0.0
2024-01-07 01:00:00,0.0,5.86,0.02,0.0
2024-01-07 02:00:00,0.0,15.44,0.02,0.0
2024-01-07 03:00:00,0.04,26.82,0.04,0.0
2024-01-07 04:00:00,0.04,22.12,0.04,0.0
2024-01-07 05:00:00,0.04,28.03,0.04,0.0
2024-01-07 06:00:00,0.04,24.73,0.04,0.0
2024-01-07 07:00:00,0.04,29.8,0.04,0.0
2024-01-07 08:00:00,0.0,27.23,0.01,0.0
2024-01-07 09:00:00,0.0,13.11,0.0,0.0
2024-01-07 10:00:00,0.0,11.82,0.0,0.0
2024-01-07 11:00:00,0.0,10.5,0.0,0.0
2024-01-07 12:00:00,0.0,104.42,0.02,0.0
2024-01-07 13:00:00,0.0,11.39,0.01,0.0
2024-01-07 14:00:00,0.0,14.48,0.04,0.0
2024-01-07 15:00:00,0.01,19.18,0.01,0.0
2024-01-07 16:00:00,0.02,56.8,0.02,0.0
2024-01-07 17:00:00,0.02,7.44,0.02,0.0
2024-01-07 18:00:00,0.04,10.85,0.04,0.0
2024-01-07 19:00:00,0.0,4.34,0.04,0.0
2024-01-07 20:00:00,0.0,11.66,0.01,0.0
2024-01-07 21:00:00,0.0,7.67,0.02,0.0
2024-01-07 22:00:00,0.0,61.06,0.02,0.0
2024-01-07 23:00:00,0.0,36.83,0.01,0.0
2024-01-08 00:00:00,0.0,4.31,0.02,0.0
2024-01-08 01:00:00,0.0,10.72,0.04,0.0
2024-01-08 02:00:00,0.0,3.27,0.02,0.0
2024-01-08 03:00:00,0.0,11.07,0.01,0.0
2024-01-08 04:00:00,0.04,11.88,0.04,0.0
2024-01-08 05:00:00,0.0,25.06,0.02,0.0
2024-01-08 06:00:00,0.01,3.75,0.01,0.0
2024-01-08 07:00:00,2.97,5.43,2.97,0.0
2024-01-08 08:00:00,7.72,34.69,7.72,0.0
2024-01-08 09:00:00,0.0,1.22,0.01,0.0
2024-01-08 10:00:00,0.0,0.01,0.01,0.0
2024-01-08 11:00:00,0.0,7.91,0.01,0.0
2024-01-08 12:00:00,0.0,13.27,0.01,0.0
2024-01-08 13:00:00,0.0,7.17,0.02,0.0
2024-01-08 14:00:00,0.0,16.56,0.04,0.0
2024-01-08 15:00:00,0.0,15.35,0.01,0.0
2024-01-08 16:00:00,0.0,9.89,0.04,0.0
2024-01-08 17:00:00,0.0,13.16,0.0,0.0
2024-01-08 18:00:00,0.0,1.0,0.0,0.0
2024-01-08 19:00:00,0.0,4.56,0.01,0.0
2024-01-08 20:00:00,0.0,7.02,0.0,0.0
2024-01-08 21:00:00,0.0,6.77,0.01,0.0
2024-01-08 22:00:00,0.0,11.48,0.01,0.0
2024-01-08 23:00:00,0.0,12.64,0.01,0.0
2024-01-09 00:00:00,0.0,9.34,0.01,0.0
2024-01-09 01:00:00,0.0,8.05,0.02,0.0
2024-01-09 02:00:00,0.0,6.23,0.01,0.0
2024-01-09 03:00:00,0.0,6.79,0.01,0.0
2024-01-09 04:00:00,0.01,15.44,0.01,0.0
2024-01-09 05:00:00,0.01,11.33,0.01,0.0
2024-01-09 06:00:00,0.01,13.75,0.01,0.0
2024-01-09 07:00:00,0.0,5.71,0.0,0.0
2024-01-09 08:00:00,4.86,19.57,4.86,0.0
2024-01-09 09:00:00,0.04,3.56,0.04,0.0
2024-01-09 10:00:00,3.3,5.88,3.3,0.0
2024-01-09 11:00:00,0.01,3.86,0.01,0.0
2024-01-09 12:00:00,10.2,39.76,10.2,0.0
2024-01-09 13:00:00,0.0,4.27,0.0,0.0
2024-01-09 14:00:00,0.0,25.83,0.02,0.0
2024-01-09 15:00:00,0.0,3.04,0.04,0.0
2024-01-09 16:00:00,0.0,32.61,0.01,0.0
2024-01-09 17:00:00,0.0,16.2,0.01,0.0
2024-01-09 18:00:00,0.0,19.25,0.02,0.0
2024-01-09 19:00:00,0.0,12.8,0.01,0.0
2024-01-09 20:00:00,0.0,35.6,0.0,0.0
2024-01-09 21:00:00,0.0,14.14,0.02,0.0
2024-01-09 22:00:00,0.0,26.3,0.01,0.0
2024-01-09 23:00:00,0.0,18.43,0.01,0.0
2024-01-10 00:00:00,0.0,3.7,0.01,0.0
2024-01-10 01:00:00,0.0,5.33,0.02,0.0
2024-01-10 02:00:00,0.0,10.23,0.0,0.0
2024-01-10 03:00:00,0.01,5.98,0.01,0.0
2024-01-10 04:00:00,0.0,13.53,0.0,0.0
2024-01-10 05:00:00,0.04,31.74,0.04,0.0
2024-01-10 06:00:00,0.01,27.43,0.01,0.0
2024-01-10 07:00:00,23.76,68.59,23.76,0.0
2024-01-10 08:00:00,6.68,83.16,6.68,0.0
2024-01-10 09:00:00,0.0,20.77,0.0,0.0
2024-01-10 10:00:00,0.0,14.38,0.0,0.0
2024-01-10 11:00:00,0.0,27.25,0.04,0.0
2024-01-10 12:00:00,0.0,25.14,0.02,0.0
2024-01-10 13:00:00,0.0,21.59,5.71,0.0
2024-01-10 14:00:00,0.0,15.94,0.01,0.0
2024-01-10 15:00:00,0.0,4.21,0.02,0.0
2024-01-10 16:00:00,0.0,33.48,0.04,0.0
2024-01-10 17:00:00,0.0,6.84,0.0,0.0
2024-01-10 18:00:00,0.04,14.69,0.04,0.0
2024-01-10 19:00:00,0.0,17.47,0.0,0.0
2024-01-10 20:00:00,0.0,11.02,0.04,0.0
2024-01-10 21:00:00,0.0,13.5,3.64,0.0
2024-01-10 22:00:00,0.0,17.21,0.01,0.0
2024-01-10 23:00:00,0.0,18.51,0.01,0.0
2024-01-11 00:00:00,0.0,9.72,0.02,0.0
2024-01-11 01:00:00,0.0,9.48,0.01,0.0
2024-01-11 02:00:00,0.0,8.42,0.0,0.0
2024-01-11 03:00:00,0.0,10.83,0.01,0.0
2024-01-11 04:00:00,0.0,21.08,0.0,0.0
2024-01-11 05:00:00,0.0,15.0,0.0,0.0
2024-01-11 06:00:00,0.0,7.28,0.0,0.0
