Time,RegU,RegD,RamU,RamD,Spin,Sup,UncU
2024-01-01 00:00:00,7.4129,1.0814,3.5815,0.0,4.5826,0.499,0.0
2024-01-01 01:00:00,6.4253,1.1042,3.6704,0.0,4.6714,0.499,0.0
2024-01-01 02:00:00,7.0519,1.0754,3.8628,0.0,5.1652,0.499,0.0
2024-01-01 03:00:00,7.0259,1.0754,3.7739,0.0,5.2297,0.499,0.0
2024-01-01 04:00:00,6.7312,1.0754,4.6681,0.0,5.6692,0.5,0.0
2024-01-01 05:00:00,8.9411,1.0754,6.4133,0.0,7.4134,0.5001,0.0
2024-01-01 06:00:00,12.2604,1.0814,10.0,0.0,11.0,0.7004,0.0
2024-01-01 07:00:00,17.0652,1.0754,14.0,0.0,13.9079,0.73,0.0
2024-01-01 08:00:00,16.6511,0.6632,14.0,0.0,13.938,0.73,0.0
2024-01-01 09:00:00,14.8796,0.5183,14.0,0.0,10.7384,0.73,0.0
2024-01-01 10:00:00,12.2978,1.0268,9.5466,0.0,9.8566,0.71,0.0
2024-01-01 11:00:00,7.6539,0.9528,3.8726,0.0,4.8738,0.68,0.0
2024-01-01 12:00:00,5.771,0.9589,0.499,0.0,3.0218,0.499,0.0
2024-01-01 13:00:00,4.0614,1.3259,0.0,0.0,2.7315,0.498,0.0
2024-01-01 14:00:00,3.0123,0.9786,0.0,0.0,1.6781,0.2,0.0
2024-01-01 15:00:00,2.9928,1.5385,0.0,0.0,1.7877,0.2,0.0
2024-01-01 16:00:00,3.0383,2.0747,0.2,0.0,1.201,0.2,0.0
2024-01-01 17:00:00,9.3045,2.459,3.9832,0.0,4.3304,0.499,0.0
2024-01-01 18:00:00,6.835,3.6537,0.0,0.0,1.0007,0.499,0.0
2024-01-01 19:00:00,7.8391,4.9507,0.0,0.0,1.0001,0.498,0.0
2024-01-01 20:00:00,6.4476,4.1854,0.0,0.0,0.4502,0.2,0.0
2024-01-01 21:00:00,5.1375,7.1177,0.0,0.0,0.2501,0.05,0.0
2024-01-01 22:00:00,5.7065,8.3999,0.0,0.0,0.2501,0.0101,0.0
2024-01-01 23:00:00,5.679,9.6215,0.0,0.0,0.2501,0.0101,0.0
2024-01-02 00:00:00,2.602,2.3041,0.0,0.0,0.2502,0.01,0.0
2024-01-02 01:00:00,3.2442,2.3552,0.0,0.0,0.2501,0.01,0.0
2024-01-02 02:00:00,4.3505,2.5,0.0,0.0,0.2502,0.01,0.0
2024-01-02 03:00:00,2.9008,2.3458,0.0,0.0,0.2603,0.01,0.0
2024-01-02 04:00:00,5.4177,2.0005,0.05,0.0,0.3002,0.05,0.0
2024-01-02 05:00:00,9.4388,2.0007,5.5736,0.0,5.5837,0.499,0.0
2024-01-02 06:00:00,15.6194,2.0001,10.0,0.0,10.0101,0.65,0.0
2024-01-02 07:00:00,7.5286,2.0001,3.6507,0.0,4.6508,0.68,0.0
2024-01-02 08:00:00,5.5322,2.0001,0.65,0.0,2.4507,0.65,0.0
2024-01-02 09:00:00,12.256,2.0,7.8965,0.0,8.7182,0.68,0.0
2024-01-02 10:00:00,16.5302,2.0001,14.0,0.0,12.7152,0.68,0.0
2024-01-02 11:00:00,9.5677,1.0883,4.2991,0.0,5.3002,0.68,0.0
2024-01-02 12:00:00,7.3542,1.0812,3.3274,0.0,4.3284,0.65,0.0
2024-01-02 13:00:00,6.0746,1.0812,0.499,0.0,2.1608,0.499,0.0
2024-01-02 14:00:00,5.1135,0.9054,0.498,0.0,1.4995,0.498,0.0
2024-01-02 15:00:00,5.9472,0.669,1.5017,0.0,3.4206,0.499,0.0
2024-01-02 16:00:00,8.2931,0.6638,3.6801,0.0,4.6801,0.68,0.0
2024-01-02 17:00:00,14.5977,2.0,14.0,0.0,11.1284,0.68,0.0
2024-01-02 18:00:00,11.29,2.0,7.3733,0.0,7.6833,0.68,0.0
2024-01-02 19:00:00,9.0212,1.0812,3.8222,0.0,4.8222,0.68,0.0
2024-01-02 20:00:00,11.5922,1.0812,6.1318,0.0,7.6674,0.68,0.0
2024-01-02 21:00:00,9.9905,1.0812,5.6271,0.0,6.6286,0.7001,0.0
2024-01-02 22:00:00,10.3608,1.9746,3.2197,0.0,7.2197,0.5001,0.0
2024-01-02 23:00:00,6.2428,1.0812,0.9106,0.0,2.9062,0.5001,0.0
2024-01-03 00:00:00,9.9502,1.1046,6.2044,0.0,8.8103,0.68,0.0
2024-01-03 01:00:00,8.0035,1.0812,3.6831,0.0,6.6834,0.68,0.0
2024-01-03 02:00:00,6.6059,0.9898,2.1617,0.0,5.162,0.68,0.0
2024-01-03 03:00:00,6.193,1.4353,1.4291,0.0,4.4293,0.68,0.0
2024-01-03 04:00:00,6.8852,2.0,1.6801,0.0,4.6801,0.68,0.0
2024-01-03 05:00:00,9.6031,2.0661,7.1916,0.0,8.1917,0.73,0.0
2024-01-03 06:00:00,19.5493,1.9852,18.0,0.0,16.6034,3.0007,0.0
2024-01-03 07:00:00,20.4888,1.0259,18.0,0.0,16.5919,4.0004,0.0
2024-01-03 08:00:00,19.9233,0.5337,14.0,0.0,15.0022,2.0027,0.0
2024-01-03 09:00:00,20.4445,0.524,18.0,0.0,15.7141,4.0004,0.0
2024-01-03 10:00:00,18.1176,1.0137,14.0,0.0,13.9457,4.0002,0.0
2024-01-03 11:00:00,12.4946,0.9706,8.5929,0.0,9.3346,4.0,0.0
2024-01-03 12:00:00,8.4897,0.9589,5.6535,0.0,6.6536,1.0001,0.0
2024-01-03 13:00:00,7.0457,1.0802,1.7321,0.0,5.7321,0.75,0.0
2024-01-03 14:00:00,4.3082,0.8727,0.75,0.0,3.739,0.75,0.0
2024-01-03 15:00:00,4.7914,0.676,2.565,0.0,3.7801,0.75,0.0
2024-01-03 16:00:00,8.0004,0.6103,5.6261,0.0,5.6367,0.75,0.0
2024-01-03 17:00:00,15.8585,2.0,14.0,0.0,11.2887,2.0001,0.0
2024-01-03 18:00:00,11.3987,2.0699,6.6615,0.0,6.6721,0.75,0.0
2024-01-03 19:00:00,10.7066,2.1851,0.0,0.0,5.2234,0.75,0.0
2024-01-03 20:00:00,8.7287,2.2332,0.0,0.0,4.629,0.68,0.0
2024-01-03 21:00:00,6.2632,2.2942,0.0,0.0,4.439,0.68,0.0
2024-01-03 22:00:00,5.5043,2.3136,0.0,0.0,4.0001,0.68,0.0
2024-01-03 23:00:00,4.3664,2.3162,0.0,0.0,3.3735,0.15,0.0
2024-01-04 00:00:00,3.8926,2.304,0.0,0.0,0.31,0.0101,0.0
2024-01-04 01:00:00,2.7932,2.3645,0.0,0.0,0.4151,0.0101,0.0
2024-01-04 02:00:00,2.0,2.2727,0.0,0.0,0.2599,0.0101,0.0
2024-01-04 03:00:00,2.8635,2.0898,0.0,0.0,0.7366,0.0101,0.0
