interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,market,non_spinning_reserves,regulation_down,regulation_up,responsive_reserves,ercot_contingency_reserve_service
2024-01-01 00:00:00-06:00,2024-01-01 06:00:00+00:00,2024-01-01 01:00:00-06:00,2024-01-01 07:00:00+00:00,DAM,0.94,1.51,1.49,1.0,0.1
2024-01-01 01:00:00-06:00,2024-01-01 07:00:00+00:00,2024-01-01 02:00:00-06:00,2024-01-01 08:00:00+00:00,DAM,0.94,1.25,1.47,1.0,0.11
2024-01-01 02:00:00-06:00,2024-01-01 08:00:00+00:00,2024-01-01 03:00:00-06:00,2024-01-01 09:00:00+00:00,DAM,1.23,1.25,1.8,1.0,0.12
2024-01-01 03:00:00-06:00,2024-01-01 09:00:00+00:00,2024-01-01 04:00:00-06:00,2024-01-01 10:00:00+00:00,DAM,1.23,1.25,1.6,1.0,0.13
2024-01-01 04:00:00-06:00,2024-01-01 10:00:00+00:00,2024-01-01 05:00:00-06:00,2024-01-01 11:00:00+00:00,DAM,1.23,1.25,2.0,1.01,0.14
2024-01-01 05:00:00-06:00,2024-01-01 11:00:00+00:00,2024-01-01 06:00:00-06:00,2024-01-01 12:00:00+00:00,DAM,1.25,1.49,3.19,1.0,0.15
2024-01-01 06:00:00-06:00,2024-01-01 12:00:00+00:00,2024-01-01 07:00:00-06:00,2024-01-01 13:00:00+00:00,DAM,2.72,1.93,3.98,1.5,2.0
2024-01-01 07:00:00-06:00,2024-01-01 13:00:00+00:00,2024-01-01 08:00:00-06:00,2024-01-01 14:00:00+00:00,DAM,2.72,1.92,3.47,1.97,2.0
2024-01-01 08:00:00-06:00,2024-01-01 14:00:00+00:00,2024-01-01 09:00:00-06:00,2024-01-01 15:00:00+00:00,DAM,2.15,5.73,2.52,2.05,5.05
2024-01-01 09:00:00-06:00,2024-01-01 15:00:00+00:00,2024-01-01 10:00:00-06:00,2024-01-01 16:00:00+00:00,DAM,2.15,2.55,2.5,1.5,4.2
2024-01-01 10:00:00-06:00,2024-01-01 16:00:00+00:00,2024-01-01 11:00:00-06:00,2024-01-01 17:00:00+00:00,DAM,1.5,1.79,2.2,1.4,2.0
2024-01-01 11:00:00-06:00,2024-01-01 17:00:00+00:00,2024-01-01 12:00:00-06:00,2024-01-01 18:00:00+00:00,DAM,1.45,1.57,1.98,1.4,1.72
2024-01-01 12:00:00-06:00,2024-01-01 18:00:00+00:00,2024-01-01 13:00:00-06:00,2024-01-01 19:00:00+00:00,DAM,1.45,1.48,1.98,1.5,1.5
2024-01-01 13:00:00-06:00,2024-01-01 19:00:00+00:00,2024-01-01 14:00:00-06:00,2024-01-01 20:00:00+00:00,DAM,1.29,1.57,1.63,1.15,1.15
2024-01-01 14:00:00-06:00,2024-01-01 20:00:00+00:00,2024-01-01 15:00:00-06:00,2024-01-01 21:00:00+00:00,DAM,1.45,1.57,1.65,1.28,1.28
2024-01-01 15:00:00-06:00,2024-01-01 21:00:00+00:00,2024-01-01 16:00:00-06:00,2024-01-01 22:00:00+00:00,DAM,1.29,1.57,1.57,1.08,1.08
2024-01-01 16:00:00-06:00,2024-01-01 22:00:00+00:00,2024-01-01 17:00:00-06:00,2024-01-01 23:00:00+00:00,DAM,1.5,2.0,5.74,1.5,1.5
2024-01-01 17:00:00-06:00,2024-01-01 23:00:00+00:00,2024-01-01 18:00:00-06:00,2024-01-02 00:00:00+00:00,DAM,9.14,2.55,20.51,1.97,2.0
2024-01-01 18:00:00-06:00,2024-01-02 00:00:00+00:00,2024-01-01 19:00:00-06:00,2024-01-02 01:00:00+00:00,DAM,2.72,1.71,3.49,1.65,2.0
2024-01-01 19:00:00-06:00,2024-01-02 01:00:00+00:00,2024-01-01 20:00:00-06:00,2024-01-02 02:00:00+00:00,DAM,2.3,1.38,2.01,1.5,1.95
2024-01-01 20:00:00-06:00,2024-01-02 02:00:00+00:00,2024-01-01 21:00:00-06:00,2024-01-02 03:00:00+00:00,DAM,2.15,1.25,1.53,1.2,1.2
2024-01-01 21:00:00-06:00,2024-01-02 03:00:00+00:00,2024-01-01 22:00:00-06:00,2024-01-02 04:00:00+00:00,DAM,1.75,1.25,1.64,1.1,0.93
2024-01-01 22:00:00-06:00,2024-01-02 04:00:00+00:00,2024-01-01 23:00:00-06:00,2024-01-02 05:00:00+00:00,DAM,1.12,1.25,1.47,1.0,0.25
2024-01-01 23:00:00-06:00,2024-01-02 05:00:00+00:00,2024-01-02 00:00:00-06:00,2024-01-02 06:00:00+00:00,DAM,1.11,1.25,1.33,1.0,0.08
2024-01-02 00:00:00-06:00,2024-01-02 06:00:00+00:00,2024-01-02 01:00:00-06:00,2024-01-02 07:00:00+00:00,DAM,0.92,0.5,1.49,1.0,0.1
2024-01-02 01:00:00-06:00,2024-01-02 07:00:00+00:00,2024-01-02 02:00:00-06:00,2024-01-02 08:00:00+00:00,DAM,0.92,0.49,1.33,1.0,0.11
2024-01-02 02:00:00-06:00,2024-01-02 08:00:00+00:00,2024-01-02 03:00:00-06:00,2024-01-02 09:00:00+00:00,DAM,1.12,0.34,1.6,1.0,0.12
2024-01-02 03:00:00-06:00,2024-01-02 09:00:00+00:00,2024-01-02 04:00:00-06:00,2024-01-02 10:00:00+00:00,DAM,1.12,0.49,1.8,1.0,0.13
2024-01-02 04:00:00-06:00,2024-01-02 10:00:00+00:00,2024-01-02 05:00:00-06:00,2024-01-02 11:00:00+00:00,DAM,1.15,0.72,2.5,1.0,0.14
2024-01-02 05:00:00-06:00,2024-01-02 11:00:00+00:00,2024-01-02 06:00:00-06:00,2024-01-02 12:00:00+00:00,DAM,2.72,1.31,3.19,1.0,0.94
2024-01-02 06:00:00-06:00,2024-01-02 12:00:00+00:00,2024-01-02 07:00:00-06:00,2024-01-02 13:00:00+00:00,DAM,10.1,2.26,5.4,2.5,3.5
2024-01-02 07:00:00-06:00,2024-01-02 13:00:00+00:00,2024-01-02 08:00:00-06:00,2024-01-02 14:00:00+00:00,DAM,14.3,2.06,3.97,3.64,6.47
2024-01-02 08:00:00-06:00,2024-01-02 14:00:00+00:00,2024-01-02 09:00:00-06:00,2024-01-02 15:00:00+00:00,DAM,8.0,6.98,5.6,2.5,10.73
2024-01-02 09:00:00-06:00,2024-01-02 15:00:00+00:00,2024-01-02 10:00:00-06:00,2024-01-02 16:00:00+00:00,DAM,2.75,2.55,4.53,2.5,8.25
2024-01-02 10:00:00-06:00,2024-01-02 16:00:00+00:00,2024-01-02 11:00:00-06:00,2024-01-02 17:00:00+00:00,DAM,2.0,1.25,2.5,1.5,2.97
2024-01-02 11:00:00-06:00,2024-01-02 17:00:00+00:00,2024-01-02 12:00:00-06:00,2024-01-02 18:00:00+00:00,DAM,1.5,1.25,1.81,1.4,1.94
