Unit Code,RegAwardDuration_Mean,RegAwardDuration_Median,RegAwardDuration_Max,RegAwardDuration_Std,SpinAwardDuration_Mean,SpinAwardDuration_Median,SpinAwardDuration_Max,SpinAwardDuration_Std,SuppAwardDuration_Mean,SuppAwardDuration_Median,SuppAwardDuration_Max,SuppAwardDuration_Std,STRAwardDuration_Mean,STRAwardDuration_Median,STRAwardDuration_Max,STRAwardDuration_Std
A10177,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A10187,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A10199,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A10200,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A10203,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A10204,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A10205,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A10206,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A10207,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A10261,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.7222222222222223,1.0,9.0,2.4206356859682554
A10376,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,3.576329331046312,2.0,28.0,3.4607155530001865
A10378,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A10481,3.869565217391304,2.0,32.0,6.376835549122571,4.71806167400881,4.0,17.0,3.508495345457913,0.0,0.0,0.0,,6.120689655172414,5.0,17.0,3.5239567795006552
A10506,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A10507,0.0,0.0,0.0,,0.0,0.0,0.0,,10.744736842105263,6.0,137.0,14.815509191231762,5.898,5.0,44.0,5.369288082140689
A10508,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A10522,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A10557,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A10558,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A10559,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A10737,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A10738,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A10780,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
A10833,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
