,RegAwarded,RegAwarded,RegAwarded,RegAwarded,RegAwarded,RegAwarded,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SuppAwarded,SuppAwarded,SuppAwarded,SuppAwarded,SuppAwarded,SuppAwarded,STRAwarded,STRAwarded,STRAwarded,STRAwarded,STRAwarded,STRAwarded
,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol
Unit Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,9.471074384672525,0.1,0.1,20.1,343.0
A10376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.580287769016785,7.1375322449132295,60.0,0.7,75.0,124224.8999984
A10481,56.67977528089887,18.112013716260773,67.5,0.4,70.0,5044.5,53.871428571428574,16.67941329215031,55.2,0.2,171.3,57696.3,53.871428571428574,16.67941329215031,55.2,0.2,171.3,57696.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,56.612394332528176,13.513315068562013,55.5,0.2,171.3,80389.59995219001
A10507,,,,,,,,,,,,,,,,,,,,,,,,,29.32138133725202,15.468006077261139,22.0,0.1,49.0,119719.2,38.18487622851814,12.708422584505533,49.0,1.1,49.0,112607.1999979
A10834,9.961960784313726,2.7288108621605422,9.6,0.1,12.5,5080.6,7.55625,7.30652391131834,4.0,4.0,25.0,120.9,7.55625,7.30652391131834,4.0,4.0,25.0,120.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,13.081007750348837,4.819979870304821,12.5,1.0,29.0,3374.89999959
A10995,,,,,,,7.25,1.0606601717798212,7.25,6.5,8.0,14.5,7.25,1.0606601717798212,7.25,6.5,8.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,8.0,0.0,8.0,8.0,8.0,48.0
A11047,4.3731092436974786,3.390582607778208,3.6,0.1,12.6,520.4,,,,,,,,,,,,,,,,,,,15.11874386653582,6.752402758857638,15.0,0.1,24.6,15406.0,4.628225803870968,3.6176073546096577,4.0,0.2,15.0,573.89999968
A11273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,12.0,12.0,12.0,12.0
A11304,26.85242718446602,14.400715922816072,32.4,0.2,40.5,8297.4,52.666666666666664,20.95935749651374,52.65,25.2,81.0,316.0,52.666666666666664,20.95935749651374,52.65,25.2,81.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,56.24692549187703,43.398877385131,45.2999999,0.7,217.0,17380.29997699
A11316,17.044444444444444,2.7817096355896,18.5,9.6,18.5,306.8,34.68666666666666,5.299038547114894,37.0,18.9,37.0,520.3,34.68666666666666,5.299038547114894,37.0,18.9,37.0,520.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,78.0117187265625,38.89321058767668,111.0,0.3,111.0,9985.499997
A11318,39.84707903780069,15.14598672428945,48.5,0.7,75.0,11595.5,77.75,32.12230196042922,97.0,2.6,143.3,13528.5,77.75,32.12230196042922,97.0,2.6,143.3,13528.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,203.14326521365308,110.8952578300603,217.099999,2.0,450.0,99540.19995469
A11319,22.869444444444444,14.684529708934695,22.45,0.3,40.5,2469.9,81.0,,81.0,81.0,81.0,81.0,81.0,,81.0,81.0,81.0,81.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,41.734193494838706,36.13680249444249,32.5,1.4,181.0,6468.7999917
