,RegOfferedEconomic,RegOfferedEconomic,RegOfferedEconomic,RegOfferedEconomic,RegOfferedEconomic,RegOfferedEconomic,RegOfferedSelfSchedule,RegOfferedSelfSchedule,RegOfferedSelfSchedule,RegOfferedSelfSchedule,RegOfferedSelfSchedule,RegOfferedSelfSchedule,SpinOfferedSelfSchedule,SpinOfferedSelfSchedule,SpinOfferedSelfSchedule,SpinOfferedSelfSchedule,SpinOfferedSelfSchedule,SpinOfferedSelfSchedule,SuppOfferedEconomic,SuppOfferedEconomic,SuppOfferedEconomic,SuppOfferedEconomic,SuppOfferedEconomic,SuppOfferedEconomic,SuppOfferedSelfSchedule,SuppOfferedSelfSchedule,SuppOfferedSelfSchedule,SuppOfferedSelfSchedule,SuppOfferedSelfSchedule,SuppOfferedSelfSchedule,STROfferedTotal,STROfferedTotal,STROfferedTotal,STROfferedTotal,STROfferedTotal,STROfferedTotal
,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol
Unit Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10177,1.0,0.0,1.0,1.0,1.0,8767.0,1.0,0.0,1.0,1.0,1.0,8767.0,1.0,0.0,1.0,1.0,1.0,8767.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,8767.0,,,,,,
A10199,4.0,0.0,4.0,4.0,4.0,35068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.28,0.28,0.28,2454.76,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A10200,16.22430706056804,0.7909949897772488,16.0,15.0,18.0,142238.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
A10205,22.47262461503365,6.623460521846858,27.0,3.5,28.5,197017.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
A10206,2.1423520018250257,0.5142665435053326,2.0,2.0,4.0,18782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.28,0.28,0.28,2454.76,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A10207,5.996121820463101,2.797848578262048,8.0,2.0,8.0,52568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.28,0.28,0.28,2454.76,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A10261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,0.0,25.0,25.0,25.0,217825.0
A10376,295.38382571004905,36.77506133906017,300.0,30.0,315.0,2589630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,4.8,4.8,4.8,42081.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A10378,185.0,0.0,185.0,185.0,185.0,1621895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,4.8,4.8,4.8,42081.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A10481,384.43640926200527,52.89259227322128,415.0,209.0,485.0,3370354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,26301.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A10507,36.98243412797992,12.287571162413634,46.0,21.0,49.0,324225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,10.2,10.2,10.2,89423.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,871.3000000000001
