Unit Code,TotalHoursInDAData,RegOfferHours,RegAwardHours,SpinOfferHours,SpinAwardHours,SuppOfferHours,SuppAwardHours,STROfferHours,STRAwardHours,RegOfferFreq,RegAwardFreqOverall,RegHitRateIfOffered,SpinOfferFreq,SpinAwardFreqOverall,SpinHitRateIfOffered,SuppOfferFreq,SuppAwardFreqOverall,SuppHitRateIfOffered,STROfferFreq,STRAwardFreqOverall,STRHitRateIfOffered
A10177,8743,8767,0,8767,0,8767,0,0,0,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,0.0,0.0,0.0
A10187,8743,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10199,8743,8767,0,8767,0,8767,0,0,0,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,0.0,0.0,0.0
A10200,8743,8767,0,8767,0,0,0,0,0,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10203,8743,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10204,8743,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10205,8743,8767,0,8767,0,0,0,0,0,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10206,8743,8767,0,8767,0,8767,0,0,0,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,0.0,0.0,0.0
A10207,8743,8767,0,8767,0,8767,0,0,0,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,0.0,0.0,0.0
A10261,8743,0,0,0,0,0,0,8713,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9965686835182431,0.005604483586869495,0.005623780557787214
A10376,8743,8767,0,8767,0,8767,0,0,2085,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,0.0,0.23847649548209995,0.0
A10378,8743,8767,0,8767,0,8767,0,0,0,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,0.0,0.0,0.0
A10481,8743,8767,89,8767,1071,8767,0,0,1420,1.0027450531854054,0.01017957222921194,0.010151705258355195,1.0027450531854054,0.12249799839871897,0.12216265541234174,1.0027450531854054,0.0,0.0,0.0,0.16241564680315682,0.0
A10506,8743,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10507,8743,8767,0,8767,0,8767,4083,8713,2949,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,1.0027450531854054,0.46700217316710513,0.4657237367400479,0.9965686835182431,0.33729841015669676,0.33845977275335704
A10508,8743,8767,0,8767,0,8767,0,0,0,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,0.0,0.0,0.0
A10522,8743,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10557,8743,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10558,8743,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10559,8743,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10737,8743,7172,0,8767,0,8767,0,0,0,0.8203133935720005,0.0,0.0,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,0.0,0.0,0.0
A10738,8743,7799,0,8767,0,8767,0,0,0,0.8920279080407183,0.0,0.0,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,0.0,0.0,0.0
A10780,8743,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10833,8743,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10834,8743,8767,510,8767,16,8767,0,0,258,1.0027450531854054,0.05833238018986618,0.058172693053496066,1.0027450531854054,0.001830035456936978,0.001825025664423406,1.0027450531854054,0.0,0.0,0.0,0.029509321743108774,0.0
A10995,8743,0,0,8767,2,8767,0,0,6,0.0,0.0,0.0,1.0027450531854054,0.00022875443211712226,0.00022812820805292574,1.0027450531854054,0.0,0.0,0.0,0.0006862632963513668,0.0
A10996,8743,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A11047,8743,8767,119,8767,0,8767,1019,3840,124,1.0027450531854054,0.013610888710968775,0.013573628379149081,1.0027450531854054,0.0,0.0,1.0027450531854054,0.11655038316367379,0.11623132200296567,0.43920850966487474,0.014182774791261581,0.03229166666666667
A11219,8743,8767,0,8767,0,0,0,0,0,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A11251,8743,8767,0,8767,0,0,0,0,0,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A11255,8743,8767,0,8767,0,0,0,0,0,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A11256,8743,8767,0,8767,0,0,0,0,0,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A11271,8743,7799,0,8767,0,8767,0,0,0,0.8920279080407183,0.0,0.0,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,0.0,0.0,0.0
A11272,8743,7148,0,8767,0,8767,0,0,0,0.817568340386595,0.0,0.0,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,0.0,0.0,0.0
A11273,8743,7727,0,8767,0,8767,0,0,1,0.8837927484845018,0.0,0.0,1.0027450531854054,0.0,0.0,1.0027450531854054,0.0,0.0,0.0,0.00011437721605856113,0.0
