Unit Code,Mean,StdDev,Median,Min,Max,Q1,Q3
A10481,22.158426966292133,7.747010698984071,20.23,8.09,44.08,17.22,27.03
A10834,22.411450980392157,7.217846677552609,21.21,10.78,53.48,16.86,26.237499999999997
A11047,22.968487394957982,7.662036574716762,20.75,9.81,46.83,17.740000000000002,27.159999999999997
A11304,17.695501618122975,5.219059615514042,15.86,9.06,38.17,14.39,20.05
A11316,16.33555555555556,1.3503821778088563,15.844999999999999,14.98,19.02,15.1275,17.1325
A11318,18.868625429553266,4.508610784652967,18.55,12.45,39.39,15.08,20.9
A11319,16.101111111111113,2.8132049549188656,15.285,12.14,26.9,14.17,17.5475
A11873,16.178529839883552,6.040726335270946,14.58,9.65,64.22,12.45,18.175
A11874,16.478612804878047,5.873098774734678,15.0,9.56,64.22,12.605,18.7075
A11875,19.585,0.6858935777509503,19.585,19.1,20.07,19.3425,19.8275
A11876,17.054000000000002,2.1967544241448578,17.41,13.43,19.1,16.92,18.41
A11877,14.77,1.8865312083291925,14.4,12.62,17.04,13.43,16.36
A11878,15.785555555555554,3.210966019405652,14.4,12.58,20.38,13.43,19.1
A12752,17.444440433212996,5.845517804225614,15.64,10.5,46.78,13.49,19.8
A13379,20.77986274509804,7.345212397729867,19.41,9.81,47.62,15.192499999999999,23.855
A13536,18.34357142857143,3.381200985717961,18.07,14.03,29.8,15.902500000000002,20.1375
A13537,20.1971875,4.314442538187591,19.689999999999998,14.03,30.49,17.3975,22.05
A13538,17.445441176470588,3.3182410525842325,16.47,12.59,29.8,15.455,18.5625
A13646,12.030989505247376,3.293855843899338,12.14,4.16,31.66,10.0,13.79
A13969,16.959323235578474,5.947358108027266,15.31,6.32,53.48,12.855,19.79
A13986,20.066022304832714,7.16251114032792,19.45,8.65,47.62,15.0,23.25
A14556,17.42821513002364,5.450246745931244,16.08,8.43,44.43,13.68,19.6825
A14557,17.80840698869476,5.966136574738171,16.4,6.69,49.77,13.71,20.33
A14559,19.276866666666667,6.061094286965129,17.83,9.21,49.77,15.0825,21.6575
A14560,19.38440433212996,6.062126855603988,17.96,8.37,49.77,15.0,21.7925
A14562,19.399144254278728,6.3269975533750795,17.67,9.21,49.77,14.99,21.82
A14563,19.831589403973506,6.373093234820161,18.08,9.8,49.77,15.18,22.73
A14565,19.116112115732367,6.298619721847858,17.57,9.21,49.77,14.49,22.0
A14567,27.29,,27.29,27.29,27.29,27.29,27.29
A14587,17.256683229813664,5.246819202769114,16.07,6.39,40.7,13.4,20.37
A14588,16.814774396642182,5.056269527026028,15.45,7.0,44.43,13.31,19.59
A14871,16.052842105263156,6.970995797046793,14.42,6.62,55.83,12.0775,18.512500000000003
A14872,15.104363636363637,6.533339510845005,13.535,6.48,55.83,11.93,15.2475
A15171,23.056827956989245,9.316938433608255,21.075000000000003,12.69,59.16,15.192499999999999,28.285
A15172,19.611608391608392,7.6970717543778795,16.68,12.69,59.16,14.905000000000001,22.575
A15485,15.535,7.739584398833483,12.780000000000001,9.7,26.88,11.305,17.01
A16012,18.768405797101448,9.278745271474572,15.879999999999999,8.64,53.48,11.8575,23.68
A16013,19.227981927710843,8.393113913910485,17.865000000000002,8.64,53.48,12.415,23.752499999999998
A16114,20.285828877005347,5.84454496680416,18.945,12.57,53.48,15.975000000000001,22.6675
A16456,22.937640449438202,5.220432545313026,21.6,11.42,36.59,19.66,26.69
A16457,22.972696629213484,5.242516260009668,21.62,11.42,36.59,19.65,26.69
A16458,22.903,5.223413462693452,21.61,11.42,36.59,19.6525,26.650000000000002
A16792,48.88,2.4183051916579936,48.88,47.17,50.59,48.025000000000006,49.735
A17095,18.13794019933555,4.9075171118133465,17.685000000000002,7.0,39.58,14.47,20.9575
A17707,14.043238731218697,4.200838007033717,13.114999999999998,6.45,47.05,11.6725,15.2225
A17864,18.072154471544714,7.41343390596301,15.705,11.98,64.22,13.69,19.4225
A18021,17.476686274509806,6.458413239436137,15.66,7.68,59.16,13.2225,19.8975
A18022,17.57914937759336,6.686872165526823,15.64,7.37,64.22,12.8525,20.285
A18277,9.31,1.9374725804511401,9.31,7.94,10.68,8.625,9.995
A18596,14.431875,5.396094428440365,12.53,9.86,34.1,11.6575,14.8875
A18597,14.752857142857142,5.001230853790901,12.58,10.07,34.1,11.9,15.592500000000001
A18598,20.7,3.905926266585176,19.7,15.76,28.98,18.549999999999997,21.54
A18599,22.516,4.127695617546322,21.165,16.92,28.98,19.7925,26.035
A19218,12.366235780765253,4.966504565237388,11.97,5.5,55.83,9.385000000000002,14.305
A19262,37.88,,37.88,37.88,37.88,37.88,37.88
A19894,15.858699999999999,5.181072075280004,14.605,9.0,47.05,12.575,17.44
A19895,15.521576763485477,4.606532964106147,14.565000000000001,7.78,47.05,12.5525,17.0475
A19907,14.923498452012383,3.806719111470024,13.85,8.41,37.67,12.45,16.275
A19911,21.128333333333334,2.47340588393144,21.15,17.86,25.07,19.7375,21.9925
A3153,14.204430379746837,2.7521216742423413,13.45,10.04,27.69,12.37,15.105
A3165,12.511305434103685,4.144532359902223,12.4,4.16,37.69,9.71,14.74
A3167,10.968576242628476,3.4049551351007437,10.72,3.86,32.76,8.205,13.03
A3175,23.16,,23.16,23.16,23.16,23.16,23.16
A3183,29.61,,29.61,29.61,29.61,29.61,29.61
A3184,19.603333333333335,10.04635120922256,16.0,10.0,48.34,11.96,25.51
A3197,16.563384615384614,2.9974654171366977,15.635000000000002,12.81,40.7,14.605,17.9525
A3385,23.20884007029877,8.321348079696095,21.77,9.81,64.52,17.28,26.99
A3386,23.76627118644068,12.007175713499205,17.55,8.52,59.16,14.86,32.385
A3419,13.49556459816887,3.6930901954374717,12.92,4.5,38.41,11.47,15.0
A3420,15.320787495053422,5.454073585421899,14.34,4.36,64.22,12.18,17.48
A3421,17.99,8.93782971419796,17.99,11.67,24.31,14.83,21.15
A3446,30.80636363636364,12.534009153281545,32.64,11.41,46.78,23.310000000000002,41.585
A3447,25.602857142857143,11.815990174738795,28.36,11.41,45.12,17.05,30.115000000000002
A3448,30.844166666666666,11.951426281055964,31.950000000000003,11.41,46.78,23.745,40.6325
A3449,30.844166666666666,11.951426281055964,31.950000000000003,11.41,46.78,23.745,40.6325
A3455,16.51,3.0854548909452504,16.560000000000002,11.69,29.75,13.92,17.8275
A3456,16.56529411764706,3.067014431681727,16.560000000000002,12.18,29.75,14.1225,17.7925
A3457,22.687198335644936,7.5396343431670365,20.96,13.73,64.22,17.02,26.31
A3458,20.001063218390804,6.645171787712556,17.85,13.73,59.16,15.42,21.415
A3518,26.002052631578948,8.099490969528224,24.39,11.72,64.22,20.765,30.28
A3566,17.76515805705474,7.048889282556903,15.26,8.73,64.22,12.79,21.06
A3606,16.2195444471805,6.351261638315008,15.0,3.86,64.52,12.25,19.18
A3607,14.96969069069069,5.266841324477299,13.97,3.77,51.45,11.93,16.9
A3608,15.7417568,5.799164253199348,14.62,3.86,53.13,12.29,17.92
A3609,15.743827096774194,5.775234979343939,14.64,3.86,64.52,12.285,18.175
A3610,14.670348488973591,4.87637745898849,13.72,3.77,49.77,11.82,16.58
A3624,35.835,5.649783181680513,35.835,31.84,39.83,33.8375,37.832499999999996
A3625,35.835,5.649783181680513,35.835,31.84,39.83,33.8375,37.832499999999996
A3626,42.94,3.590919102402616,42.12,39.83,46.87,40.974999999999994,44.495
A3627,44.120000000000005,6.102289187946875,44.644999999999996,36.6,50.59,40.739999999999995,48.025000000000006
A3635,29.043333333333333,4.005001040366072,27.33,26.18,33.62,26.755,30.474999999999998
A3636,35.878571428571426,5.969300429618835,32.32,30.97,46.87,31.615000000000002,38.879999999999995
A3637,34.50666666666667,4.6913352754484166,34.095,29.84,42.12,30.7475,36.4675
A3644,16.546791044776118,8.881563535109674,13.665,7.0,55.83,12.2975,16.2225
A3645,22.7,,22.7,22.7,22.7,22.7,22.7
A3646,18.143333333333334,3.0150013819786774,18.14,15.13,21.16,16.635,19.65
A3647,20.416,3.855169256984704,21.16,15.13,24.95,18.14,22.7
A3666,30.944285714285712,17.42539321138632,30.68,12.9,63.23,18.07,36.83
A3667,32.107777777777784,17.259283572745552,28.73,12.9,63.23,18.14,41.98
A3668,32.065,16.27277088335672,29.705,12.9,63.23,19.15,39.405
A3669,35.962857142857146,18.120959056927894,31.68,12.9,63.23,24.41,47.555
A3670,34.24,17.470122249960685,31.18,12.9,63.23,21.17,44.7675
A3671,33.10166666666667,18.035441127587276,31.18,12.9,63.23,21.275,39.405
A3674,15.364388489208633,5.051796916850277,14.14,7.0,41.21,12.25,17.24
A3675,15.358620689655172,4.788069663420344,14.22,6.61,36.17,12.23,17.92
A3676,15.73978515625,5.383000472126151,14.3,6.61,41.21,12.24,18.22
A3736,18.302432432432433,7.642972413919256,16.36,7.0,55.83,12.870000000000001,21.785
A3737,18.046109660574412,7.269304881787731,16.47,7.0,47.98,12.65,21.825
A3738,17.465921787709497,7.098533924820031,15.655000000000001,7.0,47.98,12.4925,21.1125
A3739,16.61786516853933,6.426277668563777,15.0,7.0,44.49,12.425,19.815
A3740,18.026912568306013,7.272254688187765,16.295,7.0,47.98,12.645,21.8325
A3741,17.889845360824744,7.212774016975203,16.305,7.0,47.98,12.620000000000001,21.619999999999997
A3742,18.848912280701754,7.099231946854245,17.05,7.78,47.98,13.41,22.29
A3743,17.442015915119363,6.982947288944082,15.45,7.0,47.98,12.63,21.12
A3763,17.899515283842796,6.725914261796702,15.95,7.42,64.22,13.21,20.785
A3764,16.757319050376374,6.5044431416953445,15.0,6.91,64.52,12.59,18.884999999999998
A3799,14.989167701863355,7.164629996458521,13.53,3.98,64.22,10.8425,16.5375
A3803,14.582638953759925,5.800211806876663,13.44,4.39,64.22,11.43,16.3
A3804,14.809550026469033,5.8763456950303175,13.57,3.86,64.22,11.42,16.97
A3840,21.300849256900214,7.036244413566158,20.05,11.01,64.22,16.685000000000002,23.505
A3854,14.735190010857764,4.748827154030419,13.98,7.54,48.34,12.34,15.28
A3855,15.464604185623292,4.744718384968713,14.84,6.66,47.05,12.645,17.36
A3864,32.6258064516129,12.563139409715907,30.44,15.5,64.52,22.025,40.265
A3865,32.32567164179105,10.851226745882112,30.44,15.9,64.52,24.555,39.754999999999995
A3924,30.122222222222224,4.9235753720690045,28.14,25.75,42.12,27.29,30.44
A3925,28.113333333333333,1.003012130202486,28.36,27.01,28.97,27.685000000000002,28.665
A3926,41.37647058823529,12.968451594724247,36.6,25.75,66.28,31.84,48.81
A3927,35.77590909090909,12.129183484115572,31.805,21.22,66.28,27.0375,41.6075
A3928,40.406666666666666,14.862396341101928,32.77,25.75,66.28,28.97,48.81
A3929,37.77875,12.567119996244168,31.979999999999997,25.75,66.28,28.0275,44.2425
A3936,16.23463700234192,6.747534833927095,14.64,8.71,59.16,12.35,17.115000000000002
A3957,13.849594594594594,5.9553366280282525,12.844999999999999,5.52,64.22,10.6475,15.459999999999999
A3958,15.194767441860465,5.7876197223784125,13.504999999999999,6.01,53.48,12.4,16.880000000000003
A3969,19.12357142857143,15.616966418286557,11.59,7.23,59.51,9.85,22.7375
A3970,20.30564814814815,9.355232557851885,18.215,7.23,59.51,13.655000000000001,24.1575
A3971,18.188958333333336,9.409843700418836,17.1,7.23,59.51,12.3775,21.0325
A3972,19.12388888888889,14.212150993886036,13.985,7.23,64.52,10.48,21.66
A3991,16.12121551724138,6.638836087686819,14.87,3.77,66.28,12.31,18.512500000000003
A4001,33.698,14.113720983496878,37.67,11.91,49.77,29.75,39.39
A4004,18.441485260770975,5.548122787345297,16.645,12.56,59.16,14.83,20.415
A4024,23.4348,8.768084814276428,22.09,8.52,64.22,17.555,28.18
A4032,11.091666666666667,1.4563710607762936,11.030000000000001,9.02,13.0,10.32,12.047500000000001
A4033,13.522203389830507,2.799800527252271,13.23,8.66,24.72,11.885,14.87
A4034,13.313999999999998,0.7880862896916809,13.42,12.11,14.32,13.3,13.42
A4035,13.731764705882354,3.045653102953357,12.92,9.14,24.81,12.055,14.76
A4053,19.567748691099474,6.902593486931154,18.24,9.99,64.22,15.0,22.69
A4054,16.683766233766235,5.240328502087857,15.0,10.42,40.7,13.21,18.42
A4076,16.889307805596466,5.512395621647927,15.075,10.63,53.06,13.032499999999999,19.16
A4077,15.379136363636363,5.35383095160426,13.76,11.22,53.06,12.44,15.635000000000002
A4078,31.057692307692307,5.1952609075421705,32.36,21.25,36.71,28.47,36.44
A4079,30.688499999999998,9.585163576563192,32.845,17.24,50.46,21.3125,36.5775
A4083,21.871310344827588,6.343211913329182,20.555,10.63,53.06,17.61,24.71
A4084,17.08544671689989,5.248409882305869,15.48,11.22,53.06,13.25,19.47
A4095,31.43952380952381,7.135516441692443,30.485,15.9,47.62,27.0875,35.197500000000005
A4096,32.921052631578945,9.457273407317347,30.87,15.9,64.22,27.02,36.34
A4097,30.811627906976746,7.501902593670284,29.9,14.97,47.62,26.85,34.345
A4156,25.846976744186048,7.550962579724433,24.93,13.25,50.46,20.18,28.8
A4157,19.478487394957984,7.282761354518878,17.88,8.41,50.46,15.0,21.825
A4158,21.427816901408452,8.828880141097269,20.415,6.91,64.22,15.682500000000001,25.075
A4173,27.0496,12.066406725504747,23.465000000000003,12.27,64.52,18.18,33.295
A4174,26.998039215686276,11.831128943529917,22.19,12.28,64.52,18.759999999999998,33.115
A4175,29.16623376623377,11.974321762900663,26.09,13.2,64.52,21.05,34.23
A4176,27.93825581395349,12.078292457410132,24.78,12.28,64.52,19.455,32.5225
A4185,24.814666666666664,8.51685963810829,23.26,15.0,47.05,18.115000000000002,28.625
A4202,22.392142857142858,6.004745787959885,20.07,15.05,33.56,18.4775,24.215
A4203,27.916417910447763,9.646917030136676,26.9,15.05,64.22,22.085,30.564999999999998
A4204,28.847115384615385,10.361334863003322,25.595,15.45,64.22,22.29,31.982499999999998
A4205,27.55081081081081,9.393768082384987,25.595,15.05,64.22,22.0475,30.6025
A4229,16.933389592123767,5.157873797672209,15.344999999999999,6.87,44.72,13.3125,19.5275
A4230,18.221921598770177,6.426902603420138,16.53,7.0,53.48,13.49,21.16
A4236,15.449430255402751,5.056201177172782,14.19,5.69,39.97,11.92,18.1
A4268,21.505580357142858,8.338462356590423,20.17,5.16,64.22,15.612499999999999,25.25
A4368,24.857884615384616,10.426796048142622,21.835,10.95,66.28,18.0525,30.4725
A4373,30.482571428571433,10.072469567751362,29.62,11.53,50.46,22.8,37.175
A4374,28.650000000000002,10.213503044717049,28.67,15.93,50.46,22.33,31.725
A4386,31.724,9.166533150542795,29.62,24.18,46.78,24.93,33.11
A4387,26.526,10.603250235449295,23.880000000000003,14.97,46.78,20.62,25.8725
A4390,24.62857142857143,8.256271143004764,23.880000000000003,14.78,44.43,18.927500000000002,28.0475
A4431,27.641685393258427,8.84972370343677,25.9,12.08,47.62,21.15,33.11
A4432,27.88404494382022,8.898631881451973,25.18,11.92,47.62,21.31,33.47
A4488,20.80904109589041,7.864591597767841,18.98,9.0,53.13,15.0,24.3375
A4489,20.988662900188324,7.743407926875503,19.24,9.0,53.13,15.18,24.53
A4490,21.578624078624077,8.135554003319024,20.0,9.0,64.52,15.28,25.165
A4491,21.079065934065934,7.440122375390224,19.89,9.54,64.52,15.855,24.1025
A4492,20.624674418604652,6.963259643211976,19.465,9.0,48.81,15.15,24.1025
A4493,19.929553072625698,6.541026296368211,18.99,9.54,48.81,15.18,23.0
A4500,11.914437037037036,4.698743087153413,11.245000000000001,3.77,44.72,8.495000000000001,14.1875
A4558,17.658251242657027,6.484738605335216,15.64,6.69,55.83,12.99,20.47
A4570,17.460697674418608,3.755640453497491,15.55,13.47,30.01,15.0,19.21
A4571,16.28,3.0007832310915115,15.0,13.14,25.92,14.05,18.87
A4572,18.248943089430895,5.696109337495534,15.86,12.65,55.83,14.695,20.42
A4573,18.29759911894273,5.54808024850003,15.86,12.65,44.72,14.6625,20.895
A4626,17.148823529411764,10.769823514311259,13.29,10.91,55.83,11.83,15.98
A4727,20.345945945945946,10.695215275012924,18.35,7.0,64.22,12.25,24.92
A4728,21.285813953488372,10.860110222072688,18.675,7.0,64.22,12.665000000000001,27.6375
A4729,20.524565217391306,9.104941830838495,18.64,7.0,49.44,13.5175,25.0925
A4730,21.683777777777777,10.71016366787917,19.605,7.0,64.22,14.035,25.5125
A4731,19.13209523809524,10.138467936834793,15.76,7.0,64.22,12.4,23.25
A4732,19.130681818181817,9.470580799465566,15.765,7.0,49.44,12.3925,24.385
A4733,22.17508474576271,10.93282724781771,19.73,7.78,64.22,15.434999999999999,25.945
A4734,21.100238095238097,10.739175214138983,18.765,7.0,64.22,12.8825,26.625
