Unit Code,Mean,StdDev,Median,Min,Max,Q1,Q3
A10177,2.308850233831413,0.48141465930199245,2.34,1.86,3.15,1.86,2.34
A10199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10376,8.548398539979468,0.03490006511429281,8.55,8.49,8.63,8.52,8.58
A10378,8.87331128093989,0.11079235372482191,8.88,8.69,9.13,8.78,8.97
A10481,7.992471769134253,1.4928341702949894,9.0,5.0,9.0,7.0,9.0
A10507,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A10508,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A10737,8.72,0.0,8.72,8.72,8.72,8.72,8.72
A10738,8.72,0.0,8.72,8.72,8.72,8.72,8.72
A10834,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A11047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A11219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A11251,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A11255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A11256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A11271,8.72,0.0,8.72,8.72,8.72,8.72,8.72
A11272,8.72,0.0,8.72,8.72,8.72,8.72,8.72
A11273,2.5,0.0,2.5,2.5,2.5,2.5,2.5
A11274,2.4900000000000007,0.0,2.49,2.49,2.49,2.49,2.49
A11304,14.218476103570207,1.8870988154825938,14.19,8.82,18.47,12.77,15.815000000000001
A11312,11.045824113151593,0.36504492030137786,11.17,9.39,11.26,11.15,11.21
A11313,9.649028173833694,0.17328775793484932,9.71,8.87,9.75,9.7,9.73
A11314,10.822014372077108,0.34887378307509054,10.94,9.31,11.02,10.93,10.97
A11315,9.42788411087031,0.1424693610991541,9.48,8.78,9.51,9.47,9.49
A11316,17.805427170069578,3.4901874961524375,16.93,12.74,28.54,14.83,19.73
A11318,13.986336260978671,2.6082839459453986,13.2,9.32,27.22,12.46,14.49
A11319,14.509060111782821,1.8630552497750665,14.37,10.54,18.61,12.83,16.18
A11550,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A11556,4.824668989547038,0.021247042333543326,4.83,4.74,4.83,4.83,4.83
A11870,8.61845557203148,0.3243579256531026,8.4,8.4,9.1,8.4,9.1
A11871,8.61845557203148,0.3243579256531026,8.4,8.4,9.1,8.4,9.1
A11872,8.64336717235086,0.3333798395128169,8.4,8.4,9.1,8.4,9.1
A11873,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A11874,5.0,0.0,5.0,5.0,5.0,5.0,5.0
A11875,15.192921181704117,2.055173615775727,15.17,9.39,19.58,13.34,17.0
A11876,15.437666248431617,2.131319957351004,15.1,9.98,20.04,13.7,17.41
A11877,14.83931333409376,2.107133876159562,14.53,10.1,19.27,12.98,16.84
A11878,14.946700125470514,2.0912986847304684,14.77,10.12,19.71,13.13,16.86
A11958,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A12010,49.0,0.0,49.0,49.0,49.0,49.0,49.0
A12341,49.0,0.0,49.0,49.0,49.0,49.0,49.0
A12752,9.921182301393479,0.5819906348808526,9.99,5.0,9.99,9.99,9.99
A13077,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A13379,3.7507460643394936,0.9811083828786961,4.32,2.06,4.32,2.06,4.32
A13536,14.510700433493042,1.9716364210381727,14.03,9.81,19.22,12.87,16.44
A13537,14.940499657768651,2.2509378919045084,14.6,9.45,19.96,13.15,17.05
A13538,13.46720168834132,1.5540684201741002,13.08,9.55,17.16,12.21,14.97
A13618,7.04,0.0,7.04,7.04,7.04,7.04,7.04
A13646,1.8790782569016655,0.8057142577747349,1.3,1.3,3.0,1.3,3.0
A13647,0.09904647532124415,0.08954956343321745,0.18,0.0,0.18,0.0,0.18
A13969,3.5,0.0,3.5,3.5,3.5,3.5,3.5
A13986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A14556,3.6955001299038712,1.2053378597628603,3.59,0.85,14.55,3.02,4.17
A14557,3.8399792910220487,1.2211672395536142,3.72,0.85,14.82,3.2,4.32
A14558,3.809030710172745,1.5332245317250957,3.72,0.85,26.49,3.08,4.34
A14559,3.96625645236978,1.3246558107455004,3.73,1.5,15.16,3.08,4.49
A14560,3.9661314967010073,1.365189691422261,3.72,0.85,14.9,3.08,4.49
A14561,3.966854648419065,1.5814741841938529,3.72,0.85,26.49,3.08,4.45
A14562,3.923222013170273,1.3096155088420207,3.72,0.85,14.71,3.03,4.45
A14563,3.9486608613791483,1.319495686514257,3.72,0.85,14.52,3.08,4.47
A14564,4.094101895083768,1.6683161667030213,3.86,0.85,26.49,3.17,4.53
A14565,3.943843437316068,1.3198148211795786,3.72,0.85,14.55,3.08,4.47
A14567,17.956244581336986,2.6052221760548355,17.75,11.79,23.14,15.69,20.17
A14606,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A14612,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A14845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
