Unit Code,Mean,StdDev,Median,Min,Max,Q1,Q3
A10481,7.364295051353875,4.584834737771518,5.69,3.0,36.31,4.0,9.844999999999999
A10834,17.33625,5.9711225912720955,16.439999999999998,8.0,29.45,13.3775,20.36
A10995,3.2750000000000004,0.1060660171779819,3.2750000000000004,3.2,3.35,3.2375000000000003,3.3125
A11304,3.1666666666666665,0.6384564720219121,3.09,2.5,4.0,2.625,3.66
A11316,4.960666666666667,2.017443455276528,3.46,3.34,8.55,3.395,6.665
A11318,6.334367816091954,3.205314481843103,4.995,3.14,17.12,3.5825,9.0
A11319,3.67,,3.67,3.67,3.67,3.67,3.67
A11870,8.151946666666667,4.463377740317632,7.4,2.4,35.61,4.3149999999999995,10.2
A11871,7.693525969275786,5.177118977896335,6.26,2.4,39.84,3.85,10.0
A11872,9.528406813627255,5.34520656912655,8.985,2.4,39.84,5.5,11.6875
A11873,7.047725490196079,6.08585932984122,5.0,3.0,46.56,3.16,8.615
A11874,7.135665236051501,6.3359870233345505,4.99,3.0,46.56,3.17,8.46
A11875,5.614719535783365,2.8437710675027397,4.23,3.08,22.04,3.57,7.13
A11876,5.912622282608695,3.0676503536924815,4.46,3.0,22.04,3.72,7.555
A11877,5.0750631768953065,2.7312069023144088,3.83,2.9,22.04,3.34,5.842499999999999
A11878,5.358191841234841,2.7702873263329724,4.07,2.99,22.04,3.56,6.275
A11958,2.1529464285714286,1.173865362592284,2.24,0.36,8.15,1.185,2.9925
A12300,4.2199556029124485,3.472659181663159,3.1,1.0,39.84,2.38,4.48
A12752,12.18,6.922829798123964,10.55,4.99,30.67,6.625,14.765
A13077,8.649512578616353,5.3749327113750995,7.779999999999999,0.55,36.31,4.215,11.25
A13379,5.4399999999999995,6.417699483979183,2.745,1.27,15.0,2.1100000000000003,6.075
A13536,5.289866666666667,2.1340264527181714,4.39,3.21,10.89,3.735,6.47
A13537,4.9751724137931035,2.135679654397376,3.98,2.4,11.69,3.635,6.015000000000001
A13538,4.317374631268437,1.642008586905947,3.87,3.06,11.69,3.34,4.25
A13646,1.6023076923076924,0.9175217457075084,1.5,0.18,3.92,0.9,2.25
A13741,3.651090909090909,2.5998672848801143,3.33,1.0,16.25,2.465,3.74
A13742,3.299833646364368,2.4531404006384196,3.0,1.0,36.31,2.0,3.51
A13969,7.462752941176471,3.599229723593786,6.65,4.0,36.31,5.0,9.4175
A13986,7.4396249999999995,4.329252411199123,7.115,1.04,27.45,3.54,10.0
A14556,7.995384615384616,4.465801236481611,7.75,2.0,24.56,3.94,10.0
A14557,6.244230769230769,5.494594258300465,3.285,0.64,24.56,2.4725,10.0
A14558,6.827457627118644,4.944182662386564,4.95,0.99,24.56,3.0,10.0
A14559,7.9584375,4.903028994648963,7.734999999999999,2.0,24.56,3.2875,10.0525
A14560,9.368636363636364,5.48401674417116,9.99,0.88,24.56,3.4425,12.864999999999998
A14561,6.035070422535211,5.2886554794847545,3.34,0.64,24.56,2.5,9.995000000000001
A14562,8.49875,6.586030058805067,6.645,2.0,24.56,2.8175,14.0425
A14563,8.691617647058823,5.591930382601616,8.905000000000001,2.0,24.56,3.22,12.145
A14564,8.058928571428572,4.925291751582842,8.39,0.5,24.56,4.3225,10.0
A14565,8.996086956521738,5.498838454421633,8.475,2.0,24.56,4.3825,12.615
A14567,8.059999999999999,1.8406384761815664,7.33,5.97,10.0,7.0,10.0
