Unit Code,Mean,StdDev,Median,Min,Max,Q1,Q3
A10177,1.3275076993270218,0.5688880086793479,1.26,0.72,2.34,0.72,1.26
A10199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10376,2.4,0.0,2.4,2.4,2.4,2.4,2.4
A10378,2.4,0.0,2.4,2.4,2.4,2.4,2.4
A10481,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A10507,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A10508,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A10737,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A10738,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A10834,8.0,0.0,8.0,8.0,8.0,8.0,8.0
A10995,4.5587760921637965,0.5842910069258813,4.81,3.2,4.81,4.81,4.81
A11047,0.008111098437321775,0.003914436651215334,0.01,0.0,0.01,0.01,0.01
A11219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A11251,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A11255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A11256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A11271,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A11272,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A11273,6.8949116003193796,0.4876697428197163,6.95,5.53,7.46,6.64,7.29
A11274,6.889162769476446,0.48576607607686895,6.94,5.53,7.45,6.63,7.28
A11304,3.7082787726702406,0.46484256860173445,3.7,2.4,5.01,3.38,4.09
A11312,2.4009045283449297,0.012863589985770064,2.4,2.4,2.62,2.4,2.4
A11313,2.4009068096270103,0.01288381036075758,2.4,2.4,2.62,2.4,2.4
A11314,2.400693509752481,0.011944159856504094,2.4,2.4,2.62,2.4,2.4
A11315,2.4009045283449297,0.012862703133430969,2.4,2.4,2.62,2.4,2.4
A11316,4.070971826166305,1.031418691637145,3.69,3.06,7.37,3.38,4.12
A11318,3.5975749971483975,0.7437850983088314,3.31,2.4,7.46,3.22,3.57
A11319,3.795181932245922,0.45422589046985223,3.75,2.88,5.06,3.4,4.2
A11550,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A11556,9.55551043686552,0.018457796652007905,9.56,9.39,9.56,9.56,9.56
A11870,4.617132428424775,3.2919994886151676,2.4,2.4,9.75,2.4,9.5
A11871,4.617132428424775,3.2919994886151676,2.4,2.4,9.75,2.4,9.5
A11872,4.7909661229611045,3.38456058361549,2.4,2.4,9.75,2.4,9.75
A11873,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A11874,3.0,0.0,3.0,3.0,3.0,3.0,3.0
A11875,3.7843104824911604,0.45708030533915706,3.77,2.75,4.81,3.36,4.2
A11876,3.8457465495608534,0.4880651206948912,3.78,2.78,4.9,3.44,4.3
A11877,3.6792916619139957,0.4770630476210512,3.62,2.73,4.72,3.26,4.13
A11878,3.7398414508954034,0.48256788495349845,3.71,2.74,4.83,3.3,4.19
A11958,0.01,0.0,0.01,0.01,0.01,0.01,0.01
A12010,25.0,0.0,25.0,25.0,25.0,25.0,25.0
A12300,1.0,0.0,1.0,1.0,1.0,1.0,1.0
A12341,25.0,0.0,25.0,25.0,25.0,25.0,25.0
A12752,5.0448665297741275,0.5214422267849838,4.99,4.99,10.0,4.99,4.99
A13077,0.1,0.0,0.1,0.1,0.1,0.1,0.1
A13379,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A13536,3.85771845767739,0.5047066742741552,3.74,2.72,5.09,3.43,4.35
A13537,3.9820556696326714,0.5889058140523575,3.91,2.4,5.31,3.51,4.53
A13538,3.556408852384212,0.38150250151482984,3.45,2.65,4.5,3.26,3.92
A13618,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A13646,0.16812685375313713,0.09478991267938035,0.1,0.1,0.3,0.1,0.3
