Unit Code,Mean,StdDev,Median,Min,Max,Q1,Q3
A10261,0.9848979591836734,1.471296370621528,0.73,0.0,6.45,0.18,0.89
A10376,0.3921103113908873,2.1776363867808586,0.0,0.0,45.67,0.0,0.18
A10481,1.0602253510985915,4.061393344273187,0.18,0.0,65.4399999,0.0,0.45
A10507,0.8966327565412004,2.522649773435246,0.25,0.1,65.4399999,0.18,0.75
A10834,1.071666665503876,3.7679355624113042,0.18,0.0,33.9799999,0.0,0.4925
A10995,0.09999999999999999,0.11171392035015154,0.09,0.0,0.24,0.0,0.18
A11047,1.4745161290322581,2.3476815599767384,0.75,0.0,14.48,0.25,0.9
A11273,0.0,,0.0,0.0,0.0,0.0,0.0
A11304,0.2194822003236246,1.916706043574243,0.0,0.0,26.42,0.0,0.0
A11316,0.065859375,0.18420515498762713,0.0,0.0,1.61,0.0,0.01
A11318,0.3486530612040816,1.0367269074696264,0.0,0.0,9.0,0.0,0.24
A11319,0.04980645161290322,0.6200853219127294,0.0,0.0,7.72,0.0,0.0
A11544,0.10765088207985143,0.355788506906176,0.0,0.0,6.45,0.0,0.17
A11545,0.489247311827957,1.2898553418617063,0.0,0.0,9.1,0.0,0.25
A11550,0.43165861513687603,0.6610148497995323,0.24,0.05,7.95,0.18,0.45
A11870,1.0197844818534483,3.367738812111272,0.18,0.0,33.0399999,0.04,0.5
A11871,1.3654477137257357,4.0883600399934865,0.2,0.0,40.53,0.0,0.75
A11872,1.725881309751993,4.380141082564729,0.25,0.0,40.53,0.18,0.89
A11873,0.5295230766,2.9231000545917794,0.0,0.0,43.52,0.0,0.18
A11874,0.32559139783154123,0.9878451192450145,0.0,0.0,9.99,0.0,0.2
A11875,0.27229813655116053,1.2310998525442896,0.0,0.0,26.42,0.0,0.17
A11876,0.2974248117857143,2.431871035279822,0.0,0.0,65.4399999,0.0,0.0
A11877,0.2629947263974466,1.7888987945312564,0.0,0.0,65.4399999,0.0,0.1
A11878,0.2854873450457728,1.6118635339275855,0.0,0.0,65.4399999,0.0,0.17
A11880,0.1067363530778165,0.3804058036147237,0.0,0.0,5.72,0.0,0.1
A11958,0.05316666666666667,0.15866026986140225,0.0,0.0,1.0,0.0,0.0
A12300,0.5486148144592592,2.358930577365292,0.0,0.0,41.02,0.0,0.18
A12752,0.8278368794326241,1.5463774457142454,0.24,0.0,7.95,0.17250000000000001,0.75
A13077,0.6985328595488455,1.7858921419930769,0.24,0.0,43.52,0.18,0.7
A13379,0.5046032149630008,1.815953978735548,0.18,0.0,65.4399999,0.0,0.4
A13536,0.09106577342874543,0.5566112725176176,0.0,0.0,9.1,0.0,0.0
A13537,0.12295669821380242,0.6874501168504527,0.0,0.0,9.94999999,0.0,0.0
A13538,0.14067602037627552,0.7324243047279659,0.0,0.0,9.94999999,0.0,0.0
A13618,0.0066298342541436465,0.05896534758723541,0.0,0.0,0.75,0.0,0.0
A13646,0.0793487394957983,0.45157525014749883,0.0,0.0,7.26,0.0,0.0
A13647,0.3520319368502661,1.911898411644487,0.0,0.0,65.4399999,0.0,0.18
A13741,0.6784905660377358,1.1403177631129084,0.18,0.0,5.0,0.0,0.9
A13742,0.3049694950998336,1.694525011079955,0.0,0.0,45.67,0.0,0.18
A13986,1.1332830186792453,2.1184889938563716,0.25,0.0,9.94999999,0.18,0.75
A14556,0.8595384608111888,3.592536754723576,0.18,0.0,65.4399999,0.18,0.45
A14557,0.8008413785931036,3.506817306457489,0.18,0.0,65.4399999,0.17,0.45
A14558,1.0052079858236274,3.845786172328808,0.2,0.0,65.4399999,0.18,0.5
A14559,0.8551491357613815,3.6372389317452223,0.18,0.0,65.4399999,0.18,0.45
A14560,0.836560332149792,3.5503782350174684,0.18,0.0,65.4399999,0.18,0.45
