Unit Code,Mean,StdDev,Median,Min,Max,Q1,Q3
A10507,0.45819740386970365,1.6760643640090165,0.22,0.2,35.61,0.2,0.4
A11047,0.8740922473012758,2.7567904795009612,0.45,0.4,44.87,0.4,0.45
A11550,0.2920470336718332,1.0112904885398626,0.2,0.18,28.76,0.18,0.22
A13077,0.24689814814814814,0.1803218844068154,0.2,0.2,4.17,0.2,0.24
A13379,0.2944553983145174,1.1287806674123724,0.2,0.18,44.87,0.18,0.22
A13986,0.6206122448979592,2.1452905074589763,0.4,0.4,44.87,0.4,0.45
A14556,0.2552329611089719,0.7351334962722744,0.18,0.18,19.42,0.18,0.2
A14557,0.25883577486507325,0.7453589749631222,0.18,0.18,19.42,0.18,0.2
A14558,0.247187696170747,0.6705163318356245,0.18,0.18,19.42,0.18,0.2
A14559,0.19319794344473007,0.02551636277824401,0.18,0.18,0.5,0.18,0.2
A14560,0.19619433198380568,0.028723236661190997,0.18,0.18,0.45,0.18,0.2
A14561,0.1973952779893374,0.03212603622134813,0.18,0.18,0.45,0.18,0.2
A14562,0.2617614165890028,0.6996433684371752,0.2,0.18,19.42,0.18,0.2
A14563,0.19662451361867703,0.029762609180187586,0.2,0.18,0.5,0.18,0.2
A14564,0.40656703672075145,1.1928376708352968,0.18,0.18,19.42,0.18,0.2
A14565,0.2802282254308337,0.8205411541944251,0.2,0.18,19.42,0.18,0.2
A14612,1.9523554735547357,4.66778762146472,0.45,0.4,44.87,0.4,0.75
A15508,0.2093314606741573,0.08437830904945687,0.2,0.17,2.48,0.18,0.2
A15509,0.21042153047989626,0.07640658949794707,0.2,0.17,1.93,0.18,0.22
A16458,0.5,,0.5,0.5,0.5,0.5,0.5
A19220,0.2118611111111111,0.06504879367559842,0.18,0.18,0.5,0.18,0.22
A19221,0.22157239819004526,0.07197358870150118,0.2,0.18,0.5,0.18,0.22
A19546,1.0135686274509803,3.8764168092674187,0.2,0.18,30.67,0.18,0.22
A19547,1.0135686274509803,3.8764168092674187,0.2,0.18,30.67,0.18,0.22
A19548,1.0135686274509803,3.8764168092674187,0.2,0.18,30.67,0.18,0.22
A3421,4.861538461538462,4.6228019031640795,3.25,0.99,14.0,1.0,8.64
A3615,1.050765794511806,3.359940967844949,0.4,0.22,44.87,0.24,0.45
