HourOfYear,deploy_factor_RegU_ERCOT,deploy_factor_RegD_ERCOT,deploy_factor_Spin_ERCOT,deploy_factor_NSpin_ERCOT,deploy_factor_ECRS_ERCOT
1,0.6866,0.5525,0.7301,0.8528,1.0000
2,0.7364,0.6727,0.7231,0.8963,0.9838
3,0.7855,0.7088,0.8647,0.8911,0.9833
4,0.8303,0.7388,0.8258,0.8881,0.9588
5,0.8606,0.7238,0.8026,0.8492,0.8910
6,0.7834,0.7009,0.8530,0.8186,0.9024
7,0.8196,0.7188,0.8180,0.8391,0.9342
8,0.8087,0.7087,0.8575,0.8060,0.9100
9,0.7623,0.7538,0.8827,0.8090,0.8646
10,0.7057,0.7010,0.8357,0.8584,0.8641
11,0.6760,0.7557,0.7872,0.9001,0.8538
12,0.6944,0.7632,0.7824,0.9418,0.8668
13,0.6786,0.7493,0.8576,0.9203,0.8906
14,0.6960,0.7441,0.8526,0.9190,0.9419
15,0.6584,0.7361,0.8385,0.9429,0.9604
16,0.6423,0.7261,0.8238,0.9225,0.8737
17,0.6522,0.7627,0.8594,0.9406,0.8717
18,0.6572,0.7990,0.8734,0.9520,0.9008
19,0.6238,0.7882,0.8620,0.9410,0.8927
20,0.6198,0.7873,0.8254,0.9159,0.9502
21,0.5793,0.7307,0.8565,0.8934,0.9176
22,0.6084,0.7048,0.8433,0.8766,0.8661
23,0.6799,0.7164,0.8644,0.8907,0.8515
24,0.6588,0.7097,0.8273,0.8664,0.8444
25,0.6361,0.7201,0.8889,0.8244,0.8909
26,0.6831,0.6731,0.8803,0.8484,0.9041
27,0.6478,0.6881,0.9008,0.8506,0.9182
28,0.6930,0.7595,0.9214,0.9341,0.9019
29,0.6544,0.7172,0.8524,0.8717,0.9315
30,0.6527,0.7233,0.8293,0.8886,0.9592
31,0.6552,0.7050,0.8509,0.9141,0.9644
32,0.6886,0.7335,0.7895,0.9167,0.9378
33,0.7536,0.7319,0.7773,0.9224,0.9324
34,0.7301,0.7098,0.8420,0.9284,0.9400
35,0.7228,0.6830,0.8713,0.9398,0.8858
36,0.6607,0.7021,0.8868,0.9132,0.8595
37,0.6681,0.6885,0.9229,0.9390,0.8899
38,0.7137,0.7728,0.9553,0.9455,0.9275
39,0.7894,0.7627,0.9759,0.9263,0.9089
40,0.7576,0.7650,0.9496,0.9398,0.8949
41,0.7687,0.6899,0.8837,0.9464,0.8829
42,0.7920,0.6979,0.8581,0.9587,0.8768
43,0.7236,0.6444,0.8560,0.9608,0.8483
44,0.7656,0.6486,0.8864,0.9469,0.8467
45,0.7242,0.6896,0.8387,0.9602,0.8494
46,0.7276,0.7481,0.8727,0.9934,0.8380
47,0.6794,0.7761,0.8794,1.0000,0.8446
48,0.6717,0.7643,0.8767,1.0000,0.8687
49,0.6218,0.7928,0.9679,0.9813,0.9017
50,0.6480,0.8318,0.9172,0.9742,0.9073
51,0.7107,0.7696,0.9336,0.9262,0.8961
52,0.7094,0.7910,0.9041,0.9376,0.9118
53,0.6593,0.7457,0.9277,0.9509,0.9052
54,0.6570,0.7289,0.8673,0.9001,0.9239
55,0.6737,0.7367,0.8639,0.9262,0.9507
56,0.6747,0.7685,0.8676,0.9198,0.8929
57,0.7029,0.7459,0.8973,0.8853,0.8735
58,0.7695,0.6996,0.8824,0.9383,0.8856
59,0.7521,0.6412,0.9050,1.0000,0.8867
60,0.7362,0.6441,0.8464,0.9724,0.9094
61,0.7041,0.7038,0.8621,0.8736,0.8593
62,0.7375,0.6857,0.8638,0.8614,0.8881
63,0.7929,0.7263,0.8910,0.8075,0.9161
64,0.7659,0.6945,0.9397,0.8675,0.9103
65,0.7597,0.6988,0.9217,0.8675,0.9185
66,0.7519,0.7086,0.9245,0.8536,0.8734
67,0.7148,0.7327,0.8869,0.8610,0.8512
68,0.7359,0.6898,0.8564,0.8590,0.8499
69,0.7266,0.6817,0.8789,0.8726,0.8836
70,0.7282,0.7229,0.8964,0.8553,0.8556
71,0.7542,0.6717,0.8614,0.8748,0.8386
72,0.7312,0.7007,0.8561,0.8990,0.8303
73,0.7274,0.6591,0.8585,0.8153,0.8556
74,0.6971,0.6626,0.8761,0.8168,0.8819
75,0.6614,0.6726,0.9091,0.8245,0.8615
76,0.6740,0.6561,0.8872,0.8786,0.8947
77,0.6867,0.6920,0.8651,0.8899,0.9191
78,0.7204,0.6989,0.8867,0.8391,0.9371
79,0.6905,0.7199,0.8538,0.8967,0.9731
80,0.6576,0.6933,0.8749,0.8937,0.9585
81,0.7263,0.7382,0.8675,0.9060,0.9374
82,0.7248,0.7556,0.9882,0.9429,0.9372
83,0.6734,0.7370,0.9553,0.8942,1.0000
84,0.6774,0.6890,0.9360,0.9111,1.0000
85,0.6606,0.7369,0.9221,0.8795,1.0000
86,0.6813,0.6959,0.9579,0.8979,0.9899
87,0.6715,0.7111,0.9638,0.8844,0.9822
88,0.7191,0.7114,0.9563,0.9139,0.9763
89,0.6715,0.7061,0.9545,0.8889,0.9255
90,0.7204,0.6670,0.8945,0.8581,0.9262
91,0.7407,0.6418,0.9023,0.8874,0.9114
92,0.7424,0.7028,0.9203,0.9334,0.8645
93,0.7675,0.7116,0.9091,0.9326,0.8839
94,0.7930,0.7412,0.9356,0.9577,0.8520
95,0.7724,0.6574,0.9335,0.9130,0.8768
96,0.8106,0.6509,0.9472,0.8726,0.8456
97,0.8066,0.6889,0.9438,0.8612,0.8437
98,0.7647,0.6702,0.9698,0.8667,0.8634
99,0.7054,0.6170,0.9661,0.8491,0.8783
100,0.7400,0.6584,0.8968,0.8332,0.8708
101,0.7311,0.6024,0.9235,0.8587,0.8730
102,0.6645,0.6389,0.9514,0.8650,0.8648
103,0.6835,0.6603,0.9252,0.8803,0.8993
104,0.6786,0.6588,0.9172,0.8950,0.8624
105,0.6610,0.6693,0.9336,0.8923,0.8918
106,0.7033,0.6757,0.9280,0.8633,0.8823
107,0.6763,0.7084,0.9253,0.9234,0.9233
108,0.6665,0.7231,0.9862,0.9769,0.9232
109,0.6667,0.7523,0.9613,0.9566,0.9300
110,0.7080,0.8084,0.9431,0.9902,0.9430
111,0.6671,0.7575,0.9256,0.9423,0.8745
112,0.6533,0.7401,0.9236,0.8978,0.8847
113,0.6779,0.7033,0.8993,0.8786,0.8844
114,0.6993,0.7438,0.9231,0.8614,0.8944
115,0.6619,0.7269,0.8651,0.8566,0.9153
116,0.6573,0.7152,0.8867,0.8506,0.8770
117,0.6628,0.7102,0.9086,0.8504,0.8770
118,0.6807,0.6806,0.8952,0.8883,0.9071
119,0.6780,0.6063,0.8674,0.9015,0.9626
120,0.7342,0.6367,0.8963,0.8821,0.9661
121,0.7233,0.6278,0.9460,0.8559,0.9553
122,0.7684,0.6459,0.8471,0.8316,0.9121
123,0.7377,0.7370,0.8881,0.8190,0.9596
124,0.6760,0.7844,0.9245,0.8411,0.9432
125,0.7650,0.7565,0.8874,0.8478,0.8841
126,0.7477,0.7552,0.9348,0.8505,0.8631
127,0.7494,0.7623,0.9253,0.8899,0.8251
128,0.6901,0.7727,0.8730,0.9412,0.8552
129,0.7010,0.7338,0.8922,0.8935,0.9013
130,0.7282,0.7103,0.9017,0.9082,0.9345
131,0.6837,0.7338,0.8821,0.9419,0.9589
132,0.6826,0.7096,0.9298,0.9198,0.9000
133,0.6844,0.7392,0.9134,0.9312,0.9013
134,0.6452,0.7119,0.9243,0.8785,0.9266
135,0.7115,0.7494,0.9044,0.8813,0.9453
136,0.6198,0.7213,0.8881,0.8375,0.9322
137,0.5663,0.7317,0.8594,0.8432,0.8941
138,0.5996,0.7542,0.9192,0.9007,0.8921
139,0.5887,0.7208,0.9277,0.8786,0.9094
140,0.6360,0.7773,0.9006,0.9110,0.9277
141,0.6387,0.8130,0.9042,0.8582,0.9597
142,0.6656,0.7863,0.9356,0.8533,0.9213
143,0.6277,0.7887,0.9225,0.8462,0.9140
144,0.6305,0.7850,0.9315,0.8451,0.8998
145,0.6312,0.7615,0.9021,0.8260,0.8846
146,0.7246,0.6908,0.9012,0.8614,0.8875
147,0.7041,0.6821,0.8492,0.8364,0.8650
148,0.6268,0.6390,0.8609,0.8278,0.8441
149,0.6798,0.6486,0.8523,0.8606,0.8773
150,0.6762,0.7330,0.9029,0.8571,0.8937
151,0.6904,0.7046,0.8831,0.8425,0.8821
152,0.6810,0.6567,0.8631,0.8989,0.8872
153,0.6427,0.6954,0.8966,0.8827,0.8658
154,0.6990,0.7033,0.8754,0.9275,0.9082
155,0.6666,0.7606,0.8837,0.9072,0.9110
156,0.6246,0.6880,0.8842,0.9239,0.8914
157,0.6571,0.6743,0.8829,0.9360,0.9100
158,0.6718,0.6426,0.8595,0.8670,0.8916
159,0.7137,0.6782,0.9006,0.8859,0.8864
160,0.7200,0.7117,0.8804,0.9069,0.8956
161,0.7131,0.6892,0.8990,0.8848,0.9310
162,0.7404,0.7072,0.9101,0.9062,0.9131
163,0.6765,0.7683,0.9257,0.9449,0.9179
164,0.6757,0.7403,0.9041,0.9123,0.9618
