Timestamp,mileage_factor_RegU_ERCOT,performance_factor_RegU_ERCOT,mileage_factor_RegD_ERCOT,performance_factor_RegD_ERCOT
2024-01-01 00:00:00,8.1722,0.9043,8.6007,1.0
2024-01-01 01:00:00,7.5758,1.0,6.3299,0.9015
2024-01-01 02:00:00,8.1086,0.8903,7.4983,0.9717
2024-01-01 03:00:00,9.0624,0.9037,7.2525,1.0
2024-01-01 04:00:00,6.452,1.0,7.7015,1.0
2024-01-01 05:00:00,6.8061,0.9881,7.9585,0.8841
2024-01-01 06:00:00,6.9482,0.9305,7.9597,0.9489
2024-01-01 07:00:00,8.3476,0.9546,7.1713,1.0
2024-01-01 08:00:00,7.3838,0.9676,6.154,1.0
2024-01-01 09:00:00,6.5208,0.9351,7.3965,0.9771
2024-01-01 10:00:00,8.1176,0.8924,7.4347,0.9074
2024-01-01 11:00:00,9.0078,0.91,8.7041,0.9877
2024-01-01 12:00:00,7.221,0.9739,6.6846,0.8986
2024-01-01 13:00:00,6.5256,0.9254,6.0799,1.0
2024-01-01 14:00:00,8.7828,1.0,7.5126,0.9661
2024-01-01 15:00:00,7.9173,0.969,7.7906,0.9665
2024-01-01 16:00:00,6.8342,0.98,6.7586,0.9378
2024-01-01 17:00:00,6.9763,0.9591,9.1108,1.0
2024-01-01 18:00:00,7.4915,0.9885,6.8135,0.9687
2024-01-01 19:00:00,7.1973,0.9657,8.3211,1.0
2024-01-01 20:00:00,8.2195,0.9592,7.8078,0.9775
2024-01-01 21:00:00,7.2106,0.8623,7.2765,0.8916
2024-01-01 22:00:00,8.0452,0.98,7.6001,0.9328
2024-01-01 23:00:00,6.7176,1.0,9.3307,0.9578
2024-01-02 00:00:00,7.2213,0.9465,6.3796,0.9368
2024-01-02 01:00:00,7.9156,0.9298,7.6396,0.9877
2024-01-02 02:00:00,7.123,0.8852,7.2567,0.9532
2024-01-02 03:00:00,5.1921,0.8526,7.6653,0.8693
2024-01-02 04:00:00,7.1549,0.9396,6.8555,0.9432
2024-01-02 05:00:00,8.3693,1.0,7.9172,0.9027
2024-01-02 06:00:00,7.0365,1.0,7.6772,0.875
2024-01-02 07:00:00,7.3196,0.9969,8.1775,0.9904
2024-01-02 08:00:00,8.4998,0.9263,7.3828,0.9877
2024-01-02 09:00:00,9.1825,0.9968,6.3578,0.9482
2024-01-02 10:00:00,8.4263,0.8931,8.1525,0.958
2024-01-02 11:00:00,6.2625,1.0,6.7686,0.943
2024-01-02 12:00:00,8.2182,0.94,5.6414,0.9381
2024-01-02 13:00:00,7.4868,0.9412,6.8288,0.869
2024-01-02 14:00:00,6.6628,0.9719,8.5774,0.9744
2024-01-02 15:00:00,8.3084,0.918,9.3851,0.8788
2024-01-02 16:00:00,7.8746,0.9976,6.5719,0.8894
2024-01-02 17:00:00,7.8405,0.8807,6.5574,0.9512
2024-01-02 18:00:00,7.4419,0.9722,6.9154,1.0
2024-01-02 19:00:00,8.2547,0.8928,6.9512,0.9988
2024-01-02 20:00:00,6.9427,1.0,7.6182,0.9689
2024-01-02 21:00:00,6.6538,0.9557,5.9299,0.878
2024-01-02 22:00:00,8.3397,0.9569,6.8017,0.9757
2024-01-02 23:00:00,7.5306,0.991,7.3778,0.976
2024-01-03 00:00:00,8.6769,0.9696,6.934,0.9008
2024-01-03 01:00:00,7.8363,0.9904,8.0825,1.0
2024-01-03 02:00:00,7.3913,1.0,8.1273,0.8966
2024-01-03 03:00:00,7.2626,0.9095,8.4444,1.0
2024-01-03 04:00:00,8.1107,0.9361,6.9615,1.0
2024-01-03 05:00:00,6.4093,0.8668,8.2524,0.8584
2024-01-03 06:00:00,7.3827,1.0,6.8697,0.9368
2024-01-03 07:00:00,7.121,0.9028,7.8949,0.9171
2024-01-03 08:00:00,8.2469,0.9513,8.3609,0.9331
2024-01-03 09:00:00,7.8019,1.0,8.5762,1.0
2024-01-03 10:00:00,7.7112,0.9176,7.9127,0.9378
2024-01-03 11:00:00,7.3781,0.9269,8.2455,1.0
2024-01-03 12:00:00,8.066,0.9749,8.4545,0.9215
2024-01-03 13:00:00,8.8047,0.936,6.8149,0.9884
2024-01-03 14:00:00,7.1477,0.9089,7.5048,0.9801
2024-01-03 15:00:00,6.1834,0.9692,7.631,0.9861
2024-01-03 16:00:00,7.9475,0.9942,8.0991,0.8799
2024-01-03 17:00:00,8.4613,1.0,7.3437,0.9752
2024-01-03 18:00:00,7.2718,0.968,7.7026,0.9556
2024-01-03 19:00:00,8.4965,1.0,8.2811,0.9752
2024-01-03 20:00:00,8.0332,0.9234,8.8329,0.8586
2024-01-03 21:00:00,8.4008,0.966,5.8908,0.9593
2024-01-03 22:00:00,8.3,1.0,7.9164,0.9187
2024-01-03 23:00:00,7.0267,0.9298,6.9719,1.0
2024-01-04 00:00:00,7.9087,0.9747,8.1732,0.9856
2024-01-04 01:00:00,8.5389,1.0,7.4995,0.8824
2024-01-04 02:00:00,7.7272,0.9667,7.2588,0.9643
2024-01-04 03:00:00,6.8413,1.0,6.8876,0.9326
2024-01-04 04:00:00,6.5401,0.919,7.5267,1.0
2024-01-04 05:00:00,7.6352,0.9205,7.5428,0.9465
2024-01-04 06:00:00,7.6868,0.9815,8.1438,1.0
2024-01-04 07:00:00,8.3681,1.0,6.8298,0.8742
2024-01-04 08:00:00,8.2244,0.981,6.9927,0.9422
2024-01-04 09:00:00,7.273,0.8665,7.2294,0.9463
2024-01-04 10:00:00,6.8471,0.9172,7.9542,0.9883
2024-01-04 11:00:00,9.2545,0.8964,6.7268,0.9667
2024-01-04 12:00:00,7.0127,0.9704,6.8268,0.9072
2024-01-04 13:00:00,7.6441,0.9679,7.2405,0.9548
2024-01-04 14:00:00,7.6699,0.9773,8.0696,0.9629
2024-01-04 15:00:00,6.4845,0.9728,7.7998,0.928
2024-01-04 16:00:00,6.9651,0.9459,7.3202,0.9242
2024-01-04 17:00:00,8.4763,0.9373,6.8869,1.0
2024-01-04 18:00:00,7.4675,0.9353,7.8093,0.8746
2024-01-04 19:00:00,6.9642,0.976,8.7207,0.9135
2024-01-04 20:00:00,6.615,0.9996,7.8792,0.8916
2024-01-04 21:00:00,7.5382,0.951,5.9632,1.0
2024-01-04 22:00:00,5.6659,0.9362,8.4546,0.8909
2024-01-04 23:00:00,8.5775,0.9363,7.0749,0.9218
2024-01-05 00:00:00,5.4822,0.876,7.1725,0.9124
2024-01-05 01:00:00,8.1336,0.9442,7.4326,0.8641
