Timestamp,mileage_factor_RegUp_ISONE,performance_factor_RegUp_ISONE,mileage_factor_RegDown_ISONE,performance_factor_RegDown_ISONE
2023-01-01 00:00:00,0.7794,0.9475,1.2792,0.8618
2023-01-01 01:00:00,1.3327,0.9284,2.2936,0.9011
2023-01-01 02:00:00,1.577,0.9014,1.1507,0.9771
2023-01-01 03:00:00,1.4613,0.8561,1.4146,1.0
2023-01-01 04:00:00,0.909,0.9837,1.4675,1.0
2023-01-01 05:00:00,0.9855,0.884,1.8324,0.8817
2023-01-01 06:00:00,0.8774,1.0,2.2833,0.9357
2023-01-01 07:00:00,1.3457,0.9885,1.8186,0.8677
2023-01-01 08:00:00,1.5237,0.9362,1.411,0.9964
2023-01-01 09:00:00,1.4072,0.9644,1.5754,0.9022
2023-01-01 10:00:00,1.902,1.0,1.1016,0.8885
2023-01-01 11:00:00,1.6408,0.99,1.8457,0.9512
2023-01-01 12:00:00,1.6775,0.9026,1.4232,0.9788
2023-01-01 13:00:00,1.4176,0.9506,1.6365,0.9937
2023-01-01 14:00:00,1.5068,0.9232,1.2329,0.958
2023-01-01 15:00:00,1.491,0.9781,2.3134,0.9796
2023-01-01 16:00:00,1.7606,0.9922,1.3246,0.8989
2023-01-01 17:00:00,1.9644,0.9298,1.6728,1.0
2023-01-01 18:00:00,1.3013,1.0,1.5389,0.8031
2023-01-01 19:00:00,1.7047,0.9741,1.7736,0.8785
2023-01-01 20:00:00,1.455,0.9597,1.3475,0.9399
2023-01-01 21:00:00,1.8396,0.8953,1.6321,0.9665
2023-01-01 22:00:00,1.2533,0.9559,0.9138,0.9363
2023-01-01 23:00:00,1.3114,0.9686,1.1986,0.9514
2023-01-02 00:00:00,1.5339,0.9785,1.6033,0.9102
2023-01-02 01:00:00,1.432,1.0,1.8297,1.0
2023-01-02 02:00:00,1.1468,0.9509,1.5698,1.0
2023-01-02 03:00:00,1.5504,0.84,1.2899,0.9168
2023-01-02 04:00:00,0.9668,0.9928,1.4366,0.9573
2023-01-02 05:00:00,1.4419,0.9675,1.4377,1.0
2023-01-02 06:00:00,1.4217,0.9714,1.2528,0.8098
2023-01-02 07:00:00,1.4931,0.8862,1.7548,1.0
2023-01-02 08:00:00,1.2943,1.0,1.8102,0.8382
2023-01-02 09:00:00,1.3368,0.9533,1.9706,0.9868
2023-01-02 10:00:00,1.687,0.9961,1.8803,0.9274
2023-01-02 11:00:00,1.3217,0.9296,1.4205,0.9394
2023-01-02 12:00:00,1.6888,0.9371,1.7465,0.9198
2023-01-02 13:00:00,1.5131,1.0,1.3309,0.9501
2023-01-02 14:00:00,1.948,0.9814,1.7397,0.8898
2023-01-02 15:00:00,1.514,1.0,1.4223,0.984
2023-01-02 16:00:00,1.4894,0.9185,1.975,0.9194
2023-01-02 17:00:00,1.7674,0.9554,1.454,0.8857
2023-01-02 18:00:00,1.2575,0.8621,1.4259,0.9168
2023-01-02 19:00:00,1.9085,1.0,1.3642,0.9779
2023-01-02 20:00:00,1.0208,1.0,1.1561,1.0
2023-01-02 21:00:00,1.3358,0.9841,1.0263,0.987
2023-01-02 22:00:00,1.6753,0.9406,1.4182,0.9362
2023-01-02 23:00:00,1.2308,1.0,1.4057,0.9623
2023-01-03 00:00:00,1.1902,0.98,1.5909,0.9342
2023-01-03 01:00:00,1.0803,0.9701,1.2581,0.9591
2023-01-03 02:00:00,0.9769,0.9569,1.7587,0.9462
2023-01-03 03:00:00,1.179,0.9307,1.4605,0.9357
2023-01-03 04:00:00,1.5928,1.0,0.807,0.9613
2023-01-03 05:00:00,2.041,0.9889,1.1774,0.9308
2023-01-03 06:00:00,1.425,0.9326,1.7492,0.9986
2023-01-03 07:00:00,1.6207,0.9268,1.3681,0.9587
2023-01-03 08:00:00,1.5785,0.9606,2.3727,0.9705
2023-01-03 09:00:00,1.4822,0.9763,1.5312,0.864
2023-01-03 10:00:00,1.6872,0.9304,1.5684,0.9518
2023-01-03 11:00:00,1.7012,0.8651,1.422,0.9093
2023-01-03 12:00:00,1.2386,0.8517,1.0092,0.9281
2023-01-03 13:00:00,2.0311,0.8417,1.9044,1.0
2023-01-03 14:00:00,1.7491,0.8498,1.2439,0.9347
2023-01-03 15:00:00,1.5911,0.8997,1.3298,0.9051
2023-01-03 16:00:00,1.3042,0.9095,1.4571,0.8817
2023-01-03 17:00:00,1.3753,1.0,1.1019,0.9252
2023-01-03 18:00:00,1.4737,0.9026,1.6381,0.8439
2023-01-03 19:00:00,1.8068,0.847,1.8229,0.9411
2023-01-03 20:00:00,1.3938,0.8083,1.6089,0.8705
2023-01-03 21:00:00,1.7788,0.9259,1.7538,0.8896
2023-01-03 22:00:00,0.7656,0.9651,1.2884,0.9352
2023-01-03 23:00:00,1.5512,0.8701,1.0773,0.9851
2023-01-04 00:00:00,1.7027,1.0,1.9038,0.9425
2023-01-04 01:00:00,1.2758,0.9838,1.5361,0.9585
2023-01-04 02:00:00,1.8854,0.8855,1.4366,0.9667
2023-01-04 03:00:00,1.5309,0.9655,0.9659,0.9536
2023-01-04 04:00:00,1.3779,0.9434,1.2506,0.9792
2023-01-04 05:00:00,1.4612,1.0,1.7659,1.0
2023-01-04 06:00:00,1.8335,0.9128,1.4368,0.9322
2023-01-04 07:00:00,1.2062,0.9288,1.4999,1.0
2023-01-04 08:00:00,1.3698,0.9795,1.389,0.9964
2023-01-04 09:00:00,1.7312,0.9199,1.6605,1.0
