Timestamp,winning_rate_Spin10_ISONE,winning_rate_NSpin10_ISONE,winning_rate_OR30_ISONE
2023-01-01 00:00:00,0.6255,0.7466,0.5866
2023-01-01 01:00:00,0.8158,0.7294,0.6098
2023-01-01 02:00:00,0.6753,0.6441,0.7506
2023-01-01 03:00:00,0.7862,0.685,0.8203
2023-01-01 04:00:00,0.6774,0.6859,0.4943
2023-01-01 05:00:00,0.6148,0.6554,0.8013
2023-01-01 06:00:00,0.7708,0.7215,0.6713
2023-01-01 07:00:00,0.7439,0.7791,0.7991
2023-01-01 08:00:00,0.5478,0.7617,0.8577
2023-01-01 09:00:00,0.6076,0.7016,0.7076
2023-01-01 10:00:00,0.7503,0.6851,0.7524
2023-01-01 11:00:00,0.6149,0.6551,0.636
2023-01-01 12:00:00,0.896,0.7551,0.776
2023-01-01 13:00:00,0.7738,0.6128,0.7449
2023-01-01 14:00:00,0.542,0.6254,0.4735
2023-01-01 15:00:00,0.6707,0.7514,0.6003
2023-01-01 16:00:00,0.7249,0.6833,0.532
2023-01-01 17:00:00,0.7104,0.6468,0.6493
2023-01-01 18:00:00,0.7372,0.8484,0.8953
2023-01-01 19:00:00,0.9062,1.0,0.7477
2023-01-01 20:00:00,0.7338,0.7093,0.7282
2023-01-01 21:00:00,0.6909,0.7759,0.699
2023-01-01 22:00:00,0.7108,0.7753,0.7418
2023-01-01 23:00:00,0.805,0.5722,0.7208
2023-01-02 00:00:00,0.8485,0.6706,0.6566
2023-01-02 01:00:00,0.6889,0.7894,0.55
2023-01-02 02:00:00,0.7055,0.8899,0.6086
2023-01-02 03:00:00,0.8345,0.6113,0.7681
2023-01-02 04:00:00,0.6209,0.7963,0.801
2023-01-02 05:00:00,0.8696,0.7961,0.7998
2023-01-02 06:00:00,0.6984,0.9417,0.6861
2023-01-02 07:00:00,0.6798,0.6591,0.7487
2023-01-02 08:00:00,0.638,0.7144,0.554
2023-01-02 09:00:00,0.5672,0.8696,0.784
2023-01-02 10:00:00,0.7096,0.4758,0.5907
2023-01-02 11:00:00,0.6495,0.8457,0.6097
2023-01-02 12:00:00,0.6054,0.6968,0.7611
2023-01-02 13:00:00,0.771,0.6368,0.6889
2023-01-02 14:00:00,0.6564,0.971,0.6478
2023-01-02 15:00:00,0.6095,0.7005,0.8405
2023-01-02 16:00:00,0.9217,0.7423,0.743
2023-01-02 17:00:00,0.7063,0.6092,0.6777
2023-01-02 18:00:00,0.7275,0.7175,0.5793
2023-01-02 19:00:00,0.6596,0.655,0.6466
2023-01-02 20:00:00,0.7171,0.8837,0.6335
2023-01-02 21:00:00,0.5685,0.6154,0.7108
2023-01-02 22:00:00,0.6366,0.7488,0.6063
2023-01-02 23:00:00,0.6488,0.8367,0.6516
2023-01-03 00:00:00,0.7151,0.6561,0.7154
2023-01-03 01:00:00,0.8885,0.5582,0.6982
2023-01-03 02:00:00,0.6283,0.7751,0.7022
2023-01-03 03:00:00,0.8276,0.7198,0.6435
2023-01-03 04:00:00,0.7492,0.5895,0.6173
