Timestamp,mileage_factor_RegUp_MISO,performance_factor_RegUp_MISO,mileage_factor_RegDown_MISO,performance_factor_RegDown_MISO
2024-01-01 00:00:00,5.8619,0.875,6.7205,0.9469
2024-01-01 01:00:00,6.8224,0.8347,4.3858,0.9036
2024-01-01 02:00:00,5.6222,0.8872,8.2537,0.9382
2024-01-01 03:00:00,7.6942,0.8725,7.471,0.951
2024-01-01 04:00:00,6.4517,0.8733,8.0061,0.9779
2024-01-01 05:00:00,7.2769,0.953,5.5823,0.9351
2024-01-01 06:00:00,6.8295,0.9244,7.0171,0.9508
2024-01-01 07:00:00,6.7268,0.9991,6.9316,0.9307
2024-01-01 08:00:00,6.4136,0.9163,8.2374,0.9425
2024-01-01 09:00:00,7.878,0.9299,6.823,1.0
2024-01-01 10:00:00,8.0197,0.9709,6.3208,0.9719
2024-01-01 11:00:00,6.6895,0.893,7.2685,0.9661
2024-01-01 12:00:00,7.1519,0.9283,5.3504,0.9606
2024-01-01 13:00:00,6.8953,0.9068,7.4225,0.8743
2024-01-01 14:00:00,7.8616,0.9861,7.2923,0.9347
2024-01-01 15:00:00,7.8478,0.9545,7.55,0.9541
2024-01-01 16:00:00,7.0828,0.8929,8.5416,0.9144
2024-01-01 17:00:00,5.8303,0.9306,7.6619,1.0
2024-01-01 18:00:00,5.6603,0.9081,8.4671,0.9936
2024-01-01 19:00:00,6.8445,0.9281,6.5865,0.9462
2024-01-01 20:00:00,7.4989,0.9721,6.554,1.0
2024-01-01 21:00:00,7.4729,0.9744,7.0523,0.9584
2024-01-01 22:00:00,7.3294,0.9446,6.4814,0.9775
2024-01-01 23:00:00,6.4487,0.9273,7.8171,1.0
2024-01-02 00:00:00,7.1796,0.8763,7.3475,0.937
2024-01-02 01:00:00,6.0536,0.974,7.3783,1.0
2024-01-02 02:00:00,6.2266,1.0,6.527,0.9777
2024-01-02 03:00:00,7.161,0.9521,7.4118,0.914
2024-01-02 04:00:00,6.6392,0.9427,7.1359,0.9108
2024-01-02 05:00:00,8.1001,0.9611,7.8936,1.0
2024-01-02 06:00:00,6.7901,0.9879,6.6866,0.9507
2024-01-02 07:00:00,8.7494,1.0,7.8055,0.9721
2024-01-02 08:00:00,6.5345,1.0,7.7749,0.9451
2024-01-02 09:00:00,7.5398,0.9811,6.6485,0.9606
2024-01-02 10:00:00,6.5694,0.9326,5.3828,0.9233
2024-01-02 11:00:00,6.5144,1.0,7.3535,0.8789
2024-01-02 12:00:00,6.6034,0.9244,6.7179,0.9512
2024-01-02 13:00:00,6.7109,0.9093,7.3122,0.9797
2024-01-02 14:00:00,7.0081,0.9417,7.959,0.9597
2024-01-02 15:00:00,6.6302,0.8524,7.371,0.927
2024-01-02 16:00:00,7.2329,1.0,5.8127,0.9548
2024-01-02 17:00:00,6.7194,0.976,7.3017,0.9445
2024-01-02 18:00:00,8.0852,0.9303,6.4692,0.962
2024-01-02 19:00:00,7.2752,0.9734,8.0817,0.9401
2024-01-02 20:00:00,6.7252,0.9892,6.722,0.9693
2024-01-02 21:00:00,7.3695,0.8997,6.5198,0.9942
2024-01-02 22:00:00,6.1303,1.0,6.6554,0.9408
2024-01-02 23:00:00,6.5995,0.9441,8.1324,0.9524
2024-01-03 00:00:00,6.2656,0.9727,6.5512,1.0
2024-01-03 01:00:00,7.1694,0.9238,6.4233,1.0
2024-01-03 02:00:00,8.275,0.8679,7.3245,0.8958
2024-01-03 03:00:00,5.9694,0.9636,7.0346,0.9449
2024-01-03 04:00:00,7.3733,1.0,6.5521,0.9146
2024-01-03 05:00:00,7.5095,0.8898,5.7279,0.8935
2024-01-03 06:00:00,7.116,0.9849,8.4662,0.9243
2024-01-03 07:00:00,7.044,0.9345,7.3005,1.0
2024-01-03 08:00:00,6.538,0.9986,7.0228,0.9883
2024-01-03 09:00:00,6.293,1.0,6.768,0.9436
2024-01-03 10:00:00,7.1947,0.9941,6.7132,0.9097
2024-01-03 11:00:00,6.3861,0.8174,7.8342,0.9319
2024-01-03 12:00:00,5.9599,0.8617,6.531,0.8995
2024-01-03 13:00:00,7.4591,0.9861,6.22,0.9143
2024-01-03 14:00:00,7.9934,1.0,6.9072,1.0
2024-01-03 15:00:00,8.004,0.9311,6.952,0.9903
2024-01-03 16:00:00,7.1074,0.9918,8.7613,0.9183
2024-01-03 17:00:00,8.4534,0.9448,6.9586,0.8825
2024-01-03 18:00:00,7.5236,0.9705,7.91,0.9784
2024-01-03 19:00:00,6.775,0.9419,7.5989,0.9433
2024-01-03 20:00:00,6.0529,1.0,6.6115,0.9583
2024-01-03 21:00:00,8.0586,0.9563,7.3633,0.9425
2024-01-03 22:00:00,7.4447,0.9135,6.9538,0.8167
2024-01-03 23:00:00,7.1382,1.0,6.41,0.9682
2024-01-04 00:00:00,6.239,0.9008,7.846,0.8699
2024-01-04 01:00:00,6.2494,0.893,6.1873,0.9142
2024-01-04 02:00:00,7.2409,0.9743,6.6731,1.0
2024-01-04 03:00:00,6.7094,0.9717,6.8903,0.9666
2024-01-04 04:00:00,7.3501,0.9129,5.6574,0.9353
2024-01-04 05:00:00,7.6138,0.9609,6.4371,0.9578
2024-01-04 06:00:00,8.0596,0.9359,6.8615,0.9873
2024-01-04 07:00:00,7.6219,0.8824,7.5196,0.8869
2024-01-04 08:00:00,6.5949,0.9451,7.5878,0.8952
2024-01-04 09:00:00,7.0809,0.9545,7.0823,0.9086
2024-01-04 10:00:00,7.63,0.925,6.7887,0.917
2024-01-04 11:00:00,6.3187,0.933,6.7607,0.8868
2024-01-04 12:00:00,6.6194,0.8901,8.8288,0.949
2024-01-04 13:00:00,7.0485,0.957,7.7137,0.9494
2024-01-04 14:00:00,7.3817,0.8517,6.7935,0.9201
2024-01-04 15:00:00,5.8343,1.0,7.7177,0.8985
2024-01-04 16:00:00,7.4201,0.9124,5.7043,0.9045
2024-01-04 17:00:00,7.5076,0.9021,5.357,0.8488
2024-01-04 18:00:00,7.4287,0.8888,6.2655,0.9043
2024-01-04 19:00:00,7.7513,0.9722,7.2057,0.9924
2024-01-04 20:00:00,6.0485,0.8496,8.0148,0.933
2024-01-04 21:00:00,7.7959,0.9513,6.7438,0.8487
2024-01-04 22:00:00,7.4127,1.0,7.5769,0.9195
2024-01-04 23:00:00,7.2197,1.0,6.7659,0.967
2024-01-05 00:00:00,6.8906,1.0,6.1573,0.9794
2024-01-05 01:00:00,7.2836,0.8931,7.8314,0.8774
2024-01-05 02:00:00,7.7217,0.9634,6.7388,1.0
2024-01-05 03:00:00,6.3458,0.9641,7.2839,0.8958
2024-01-05 04:00:00,6.7842,0.8437,7.4569,0.9991
2024-01-05 05:00:00,6.3565,1.0,7.6834,0.9374
2024-01-05 06:00:00,7.8504,0.9301,6.7084,0.9557
2024-01-05 07:00:00,6.0779,0.9962,6.5468,0.9168
2024-01-05 08:00:00,7.4775,0.9028,6.0868,0.8983
2024-01-05 09:00:00,6.1706,0.9879,6.657,0.899
2024-01-05 10:00:00,7.4303,0.938,6.8073,0.8956
2024-01-05 11:00:00,6.3079,0.9734,7.7571,0.9691
2024-01-05 12:00:00,6.3965,0.997,7.4026,0.9773
2024-01-05 13:00:00,6.4784,0.8653,7.0196,0.9194
2024-01-05 14:00:00,7.3277,0.8844,6.9375,0.912
2024-01-05 15:00:00,6.3654,0.8876,7.2502,0.9079
2024-01-05 16:00:00,6.3842,0.9599,6.6938,0.9507
2024-01-05 17:00:00,7.2702,1.0,7.8354,1.0
2024-01-05 18:00:00,6.238,0.9612,6.6422,0.9406
2024-01-05 19:00:00,7.7373,0.9332,8.2494,1.0
2024-01-05 20:00:00,8.2737,0.898,5.545,0.9142
2024-01-05 21:00:00,7.3383,0.8735,7.1938,0.9862
2024-01-05 22:00:00,6.7155,1.0,7.3893,1.0
2024-01-05 23:00:00,7.2592,0.9365,6.1679,1.0
2024-01-06 00:00:00,7.6218,0.8956,6.6904,1.0
2024-01-06 01:00:00,5.9199,0.9627,7.1443,0.9588
2024-01-06 02:00:00,6.306,0.8295,6.1611,0.9234
2024-01-06 03:00:00,6.7528,0.9226,6.7377,0.9465
2024-01-06 04:00:00,6.0528,0.8558,6.5981,1.0
2024-01-06 05:00:00,8.4711,0.8743,5.9701,0.9944
2024-01-06 06:00:00,6.6478,0.9296,6.0628,1.0
2024-01-06 07:00:00,6.4944,1.0,7.2717,0.9371
2024-01-06 08:00:00,6.6991,0.9555,7.6762,0.945
2024-01-06 09:00:00,7.3793,0.9631,7.452,0.9175
2024-01-06 10:00:00,7.9957,0.9639,7.4931,0.8773
2024-01-06 11:00:00,7.4318,0.8634,7.5833,0.9495
2024-01-06 12:00:00,7.2017,0.8599,7.0053,0.9689
2024-01-06 13:00:00,6.0807,0.9234,7.1401,0.9946
2024-01-06 14:00:00,7.2937,0.9452,6.2134,0.9238
2024-01-06 15:00:00,5.405,0.9013,7.9121,0.9442
2024-01-06 16:00:00,7.9128,0.9002,7.0337,0.9586
2024-01-06 17:00:00,5.8385,1.0,6.9462,0.8927
2024-01-06 18:00:00,7.4003,0.9684,6.0933,0.9275
2024-01-06 19:00:00,7.3311,0.9559,8.2291,0.9258
2024-01-06 20:00:00,6.9957,0.9116,8.4469,1.0
2024-01-06 21:00:00,5.0222,0.9941,6.8111,1.0
2024-01-06 22:00:00,7.4318,0.9288,6.4948,0.9843
2024-01-06 23:00:00,6.7301,1.0,6.9095,0.9527
2024-01-07 00:00:00,7.4987,1.0,7.1578,0.8902
2024-01-07 01:00:00,6.4335,0.965,7.8478,0.9482
2024-01-07 02:00:00,7.881,0.9104,6.7847,0.9647
2024-01-07 03:00:00,8.0111,0.9147,7.4869,0.9824
2024-01-07 04:00:00,6.669,0.9402,8.14,0.9924
2024-01-07 05:00:00,7.1828,0.9517,6.0177,0.9412
2024-01-07 06:00:00,7.7541,0.9586,7.7409,1.0
2024-01-07 07:00:00,6.4563,1.0,6.585,0.9912
2024-01-07 08:00:00,5.826,0.9495,6.942,1.0
2024-01-07 09:00:00,5.5687,0.8999,7.2795,0.9729
2024-01-07 10:00:00,6.6517,0.9498,5.9618,0.9954
2024-01-07 11:00:00,7.6107,0.8724,7.1745,0.8984
2024-01-07 12:00:00,7.6134,0.8988,6.5264,0.9626
2024-01-07 13:00:00,5.7246,0.8903,6.0799,0.9967
2024-01-07 14:00:00,7.4248,0.9553,6.5031,0.9179
2024-01-07 15:00:00,7.8217,0.8915,8.1306,0.9597
2024-01-07 16:00:00,7.3221,0.9525,6.9659,0.8895
2024-01-07 17:00:00,5.7261,0.9928,6.615,0.9495
2024-01-07 18:00:00,7.1905,0.9734,6.4276,0.9299
2024-01-07 19:00:00,7.3239,0.9715,5.9705,0.9416
2024-01-07 20:00:00,6.9758,0.8989,6.2998,0.9484
2024-01-07 21:00:00,7.3019,0.9052,7.167,0.9523
2024-01-07 22:00:00,6.6691,1.0,7.5956,0.9024
2024-01-07 23:00:00,6.499,0.9589,8.0602,1.0
2024-01-08 00:00:00,6.2649,0.9281,7.6649,0.9251
2024-01-08 01:00:00,6.4256,1.0,6.7851,0.9815
2024-01-08 02:00:00,7.646,0.8937,7.4744,0.9294
2024-01-08 03:00:00,6.8581,0.932,7.1213,1.0
2024-01-08 04:00:00,6.7121,0.9151,6.3633,0.9421
2024-01-08 05:00:00,7.241,0.9357,6.7002,0.8859
2024-01-08 06:00:00,8.0143,0.9776,7.6358,0.9452
2024-01-08 07:00:00,7.1229,0.9255,7.5141,0.9676
2024-01-08 08:00:00,7.6786,0.9628,7.0187,0.9519
2024-01-08 09:00:00,8.3768,0.9806,7.062,0.9855
2024-01-08 10:00:00,6.5466,0.9659,7.4847,0.95
2024-01-08 11:00:00,7.1362,0.9789,6.8362,0.894
2024-01-08 12:00:00,7.0409,0.8991,6.9955,0.9745
2024-01-08 13:00:00,7.4795,0.8435,7.561,1.0
2024-01-08 14:00:00,7.5523,0.9309,6.919,0.9758
2024-01-08 15:00:00,7.0264,0.9014,6.0782,0.9552
2024-01-08 16:00:00,6.0841,0.9848,7.2923,1.0
2024-01-08 17:00:00,6.3906,0.9387,5.5417,0.9522
2024-01-08 18:00:00,6.0237,0.9579,6.3599,0.9818
2024-01-08 19:00:00,5.8935,0.8972,6.6136,0.9908
2024-01-08 20:00:00,8.0102,0.969,6.3265,0.9145
2024-01-08 21:00:00,8.1408,1.0,5.7991,0.953
2024-01-08 22:00:00,7.0077,0.8901,7.288,0.9698
2024-01-08 23:00:00,6.8251,1.0,6.8891,1.0
2024-01-09 00:00:00,6.6451,0.94,6.7548,0.938
2024-01-09 01:00:00,6.4406,0.9343,8.3989,0.9604
2024-01-09 02:00:00,6.369,1.0,7.6378,0.9983
2024-01-09 03:00:00,6.0243,0.913,5.8377,0.9153
2024-01-09 04:00:00,6.8991,0.9844,7.8372,0.9378
2024-01-09 05:00:00,7.8384,0.9538,7.2037,0.9369
2024-01-09 06:00:00,6.866,0.9166,7.663,1.0
