Plant Code,Plant Name,State,County,Generator ID,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Licensed Power (MWt),Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,License Expiration Date,remaining,ISO
8055,Arkansas Nuclear One,AR,Pope,1,EAI.ANO1,EAI.ANO1,2568,902.5,0.9,833,855,250,12,1974,5,2034,2034-05-20,9,SPP
8055,Arkansas Nuclear One,AR,Pope,2,EAI.ANO2,EAIANO2,3026,942.5,0.95,992,"1,010.70",250,3,1980,7,2038,2038-07-17,15,SPP
6040,Beaver Valley,PA,Beaver,1,,,2900,923.4,0.954,907,939,94,9,1976,1,2036,2036-01-29,11,PJM
6040,Beaver Valley,PA,Beaver,2,,,2900,923.4,0.954,901,933,93,11,1987,5,2047,2047-05-27,22,PJM
6022,Braidwood Generation Station,IL,Will,1,86031201,86031201,3645,"1,224.90",0.9,"1,183.00","1,221.10",700,7,1988, ,,,23,PJM
6022,Braidwood Generation Station,IL,Will,2,86031202,86031202,3645,"1,224.90",0.9,"1,154.00","1,180.10",700,10,1988, ,,,23,PJM
46,Browns Ferry,AL,Limestone,1,,,3952,"1,281.00",0.95,"1,227.40","1,254.80","1,227.40",8,1974,12,2033,2033-12-20,9,None
46,Browns Ferry,AL,Limestone,2,,,3952,"1,281.00",0.9,"1,207.70","1,242.00","1,207.70",3,1975,6,2034,2034-06-28,10,None
46,Browns Ferry,AL,Limestone,3,,,3952,"1,292.00",0.9,"1,226.60","1,259.00","1,226.60",3,1977,7,2036,2036-07-02,12,None
6014,Brunswick Nuclear,NC,Brunswick,1,,,2923,"1,001.60",0.964,938,975,938,3,1977,9,2036,2036-09-08,12,None
6014,Brunswick Nuclear,NC,Brunswick,2,,,2923,"1,001.60",0.964,932,953,932,11,1975,12,2034,2034-12-27,10,None
6023,Byron Generating Station,IL,Ogle,1,86041201,86041201,3645,"1,224.90",0.9,"1,164.00","1,203.70",700,9,1985,1,1900,,20,MISO
6023,Byron Generating Station,IL,Ogle,2,86041202,86041202,3645,"1,224.90",0.9,"1,136.00","1,175.20",700,8,1987,1,1900,,22,MISO
6153,Callaway,MO,Callaway,1,AMMO.CALLAWAY1,,3565,"1,235.80",0.9,"1,190.00","1,236.00",800,12,1984,10,2044,2044-10-18,19,MISO
6011,Calvert Cliffs Nuclear Power Plant,MD,Calvert,1,,,2737,918,0.9,884.2,914.9,50,5,1975,7,2034,2034-07-31,10,PJM
6011,Calvert Cliffs Nuclear Power Plant,MD,Calvert,2,,,2737,932.4,0.9,861,894.6,50,4,1977,8,2036,2036-08-13,12,PJM
6036,Catawba,SC,York,1,,,3469,"1,205.10",0.9,"1,160.00","1,198.70","1,160.00",6,1985,12,2043,2043-12-05,20,None
6036,Catawba,SC,York,2,,,3411,"1,205.10",0.9,"1,150.10","1,179.80","1,150.10",8,1986,12,2043,2043-12-05,21,None
204,Clinton Power Station,IL,DeWitt,1,20589649,20589649,3473,"1,138.30",0.9,"1,050.20","1,060.50",340,11,1987, ,,,22,MISO
