Timestamp,mileage_factor_RegUp_NYISO,performance_factor_RegUp_NYISO,mileage_factor_RegDown_NYISO,performance_factor_RegDown_NYISO
2024-01-01 00:00:00,11.3757,0.9343,11.3757,0.9343
2024-01-01 01:00:00,13.7467,0.9781,13.7467,0.9781
2024-01-01 02:00:00,12.967,0.9348,12.967,0.9348
2024-01-01 03:00:00,11.3636,0.9476,11.3636,0.9476
2024-01-01 04:00:00,14.471,0.9589,14.471,0.9589
2024-01-01 05:00:00,13.3176,0.9208,13.3176,0.9208
2024-01-01 06:00:00,14.3575,1.0,14.3575,1.0
2024-01-01 07:00:00,12.5473,0.9174,12.5473,0.9174
2024-01-01 08:00:00,11.6824,0.9206,11.6824,0.9206
2024-01-01 09:00:00,12.0788,0.9351,12.0788,0.9351
2024-01-01 10:00:00,14.6447,0.8756,14.6447,0.8756
2024-01-01 11:00:00,10.421,0.9803,10.421,0.9803
2024-01-01 12:00:00,11.5924,1.0,11.5924,1.0
2024-01-01 13:00:00,14.0732,0.8976,14.0732,0.8976
2024-01-01 14:00:00,13.4008,0.9471,13.4008,0.9471
2024-01-01 15:00:00,11.3845,1.0,11.3845,1.0
2024-01-01 16:00:00,15.1203,0.943,15.1203,0.943
2024-01-01 17:00:00,15.4758,0.9331,15.4758,0.9331
2024-01-01 18:00:00,14.5094,0.8878,14.5094,0.8878
2024-01-01 19:00:00,13.5581,0.9005,13.5581,0.9005
2024-01-01 20:00:00,12.0217,0.9569,12.0217,0.9569
2024-01-01 21:00:00,14.1348,0.9218,14.1348,0.9218
2024-01-01 22:00:00,13.9457,0.9186,13.9457,0.9186
2024-01-01 23:00:00,12.6804,1.0,12.6804,1.0
2024-01-02 00:00:00,14.0641,0.9396,14.0641,0.9396
2024-01-02 01:00:00,14.7827,0.9157,14.7827,0.9157
2024-01-02 02:00:00,12.1511,0.9799,12.1511,0.9799
2024-01-02 03:00:00,13.5737,0.9125,13.5737,0.9125
2024-01-02 04:00:00,13.3921,0.936,13.3921,0.936
2024-01-02 05:00:00,13.5013,0.9398,13.5013,0.9398
2024-01-02 06:00:00,11.3905,0.9231,11.3905,0.9231
2024-01-02 07:00:00,13.1871,0.871,13.1871,0.871
2024-01-02 08:00:00,14.1538,0.9059,14.1538,0.9059
2024-01-02 09:00:00,13.0617,0.9525,13.0617,0.9525
2024-01-02 10:00:00,15.5603,0.9583,15.5603,0.9583
2024-01-02 11:00:00,14.1836,0.9581,14.1836,0.9581
2024-01-02 12:00:00,12.0518,1.0,12.0518,1.0
2024-01-02 13:00:00,15.6997,0.92,15.6997,0.92
2024-01-02 14:00:00,11.3437,0.8934,11.3437,0.8934
2024-01-02 15:00:00,12.0069,0.9454,12.0069,0.9454
2024-01-02 16:00:00,10.6906,0.91,10.6906,0.91
2024-01-02 17:00:00,13.3278,0.9733,13.3278,0.9733
2024-01-02 18:00:00,13.1533,0.9701,13.1533,0.9701
2024-01-02 19:00:00,14.8133,1.0,14.8133,1.0
2024-01-02 20:00:00,11.8115,0.9026,11.8115,0.9026
2024-01-02 21:00:00,15.6366,0.9438,15.6366,0.9438
2024-01-02 22:00:00,13.2975,0.8804,13.2975,0.8804
2024-01-02 23:00:00,14.1273,0.9642,14.1273,0.9642
2024-01-03 00:00:00,14.4686,0.9669,14.4686,0.9669
2024-01-03 01:00:00,14.2583,0.9653,14.2583,0.9653
2024-01-03 02:00:00,13.8075,0.9796,13.8075,0.9796
2024-01-03 03:00:00,12.4972,0.9159,12.4972,0.9159
2024-01-03 04:00:00,15.1847,0.9799,15.1847,0.9799
2024-01-03 05:00:00,15.3392,0.9765,15.3392,0.9765
2024-01-03 06:00:00,15.2991,0.9472,15.2991,0.9472
2024-01-03 07:00:00,12.6532,0.959,12.6532,0.959
2024-01-03 08:00:00,14.487,1.0,14.487,1.0
2024-01-03 09:00:00,12.5739,0.9648,12.5739,0.9648
