Timestamp,winning_rate_RegUp_NYISO,winning_rate_RegDown_NYISO,winning_rate_Spin10_NYISO,winning_rate_NSpin10_NYISO,winning_rate_Res30_NYISO
2024-01-01 00:00:00,0.75,0.75,0.2763,0.2187,0.356
2024-01-01 01:00:00,0.9036,0.9036,0.4041,0.2045,0.2108
2024-01-01 02:00:00,0.7477,0.7477,0.4163,0.154,0.2102
2024-01-01 03:00:00,0.9531,0.9531,0.4546,0.2474,0.3419
2024-01-01 04:00:00,0.8762,0.8762,0.4768,0.2397,0.1047
2024-01-01 05:00:00,0.7082,0.7082,0.3246,0.1776,0.2744
2024-01-01 06:00:00,0.7807,0.7807,0.2128,0.2999,0.3325
2024-01-01 07:00:00,0.712,0.712,0.4283,0.2194,0.141
2024-01-01 08:00:00,0.7429,0.7429,0.2081,0.1484,0.1957
2024-01-01 09:00:00,0.7984,0.7984,0.4238,0.2162,0.1533
2024-01-01 10:00:00,0.7056,0.7056,0.2342,0.1079,0.1214
2024-01-01 11:00:00,0.9116,0.9116,0.2167,0.2224,0.2961
2024-01-01 12:00:00,0.8681,0.8681,0.3475,0.157,0.298
2024-01-01 13:00:00,0.9208,0.9208,0.2975,0.1014,0.2885
2024-01-01 14:00:00,0.998,0.998,0.4535,0.2133,0.297
2024-01-01 15:00:00,0.7525,0.7525,0.2926,0.182,0.2197
2024-01-01 16:00:00,0.8904,0.8904,0.3768,0.1365,0.3159
2024-01-01 17:00:00,0.7137,0.7137,0.2275,0.1285,0.2885
2024-01-01 18:00:00,0.7645,0.7645,0.4785,0.1375,0.3744
2024-01-01 19:00:00,0.9119,0.9119,0.382,0.2506,0.1197
2024-01-01 20:00:00,0.7481,0.7481,0.3761,0.2911,0.1105
2024-01-01 21:00:00,0.918,0.918,0.4615,0.1224,0.2216
2024-01-01 22:00:00,0.9737,0.9737,0.435,0.2011,0.233
2024-01-01 23:00:00,0.9294,0.9294,0.3422,0.1949,0.1551
2024-01-02 00:00:00,0.9483,0.9483,0.2271,0.2249,0.3587
2024-01-02 01:00:00,0.7644,0.7644,0.4866,0.2055,0.3058
2024-01-02 02:00:00,0.7979,0.7979,0.4391,0.2665,0.3137
2024-01-02 03:00:00,0.9299,0.9299,0.306,0.2765,0.3294
2024-01-02 04:00:00,0.9733,0.9733,0.4848,0.2394,0.2661
2024-01-02 05:00:00,0.7355,0.7355,0.4573,0.2616,0.2206
2024-01-02 06:00:00,0.8033,0.8033,0.2081,0.1228,0.121
2024-01-02 07:00:00,0.7409,0.7409,0.278,0.2936,0.1809
2024-01-02 08:00:00,0.8308,0.8308,0.4412,0.1992,0.2023
2024-01-02 09:00:00,0.8823,0.8823,0.2173,0.1263,0.1334
2024-01-02 10:00:00,0.7659,0.7659,0.2958,0.2712,0.1892
2024-01-02 11:00:00,0.8601,0.8601,0.2813,0.2931,0.3414
2024-01-02 12:00:00,0.8764,0.8764,0.2176,0.1485,0.2712
2024-01-02 13:00:00,0.9367,0.9367,0.4642,0.2824,0.1473
2024-01-02 14:00:00,0.8121,0.8121,0.2536,0.1543,0.3928
2024-01-02 15:00:00,0.9609,0.9609,0.3959,0.2871,0.2891
2024-01-02 16:00:00,0.8696,0.8696,0.2636,0.2983,0.1736
2024-01-02 17:00:00,0.8561,0.8561,0.2124,0.1135,0.262
2024-01-02 18:00:00,0.978,0.978,0.2526,0.2946,0.2554
2024-01-02 19:00:00,0.8784,0.8784,0.4719,0.2804,0.2669
2024-01-02 20:00:00,0.9957,0.9957,0.3975,0.2478,0.2491
2024-01-02 21:00:00,0.876,0.876,0.2816,0.2087,0.3754
2024-01-02 22:00:00,0.8971,0.8971,0.3062,0.1202,0.2999
2024-01-02 23:00:00,0.8393,0.8393,0.3758,0.2664,0.1119
2024-01-03 00:00:00,0.8783,0.8783,0.2605,0.1525,0.165
2024-01-03 01:00:00,0.9311,0.9311,0.2026,0.2964,0.2958
2024-01-03 02:00:00,0.7537,0.7537,0.3264,0.1997,0.2615
2024-01-03 03:00:00,0.846,0.846,0.3362,0.2439,0.1748
2024-01-03 04:00:00,0.7862,0.7862,0.27,0.1393,0.125
2024-01-03 05:00:00,0.7416,0.7416,0.226,0.1815,0.387
2024-01-03 06:00:00,0.8474,0.8474,0.3925,0.2742,0.1608
2024-01-03 07:00:00,0.8286,0.8286,0.4771,0.2941,0.1261
2024-01-03 08:00:00,0.8616,0.8616,0.4381,0.1454,0.312
2024-01-03 09:00:00,0.8048,0.8048,0.4563,0.1725,0.2953
2024-01-03 10:00:00,0.791,0.791,0.4281,0.108,0.1292
2024-01-03 11:00:00,0.9441,0.9441,0.3818,0.1087,0.329
2024-01-03 12:00:00,0.785,0.785,0.4083,0.232,0.3412
2024-01-03 13:00:00,0.7162,0.7162,0.2818,0.2441,0.3985
2024-01-03 14:00:00,0.8487,0.8487,0.4765,0.1076,0.2598
2024-01-03 15:00:00,0.7167,0.7167,0.2207,0.2016,0.2025
2024-01-03 16:00:00,0.9432,0.9432,0.2867,0.2161,0.3851
2024-01-03 17:00:00,0.7584,0.7584,0.4937,0.2542,0.3803
2024-01-03 18:00:00,0.7304,0.7304,0.4363,0.2763,0.3536
2024-01-03 19:00:00,0.8263,0.8263,0.3106,0.2538,0.3843
2024-01-03 20:00:00,0.8345,0.8345,0.2188,0.2191,0.2948
2024-01-03 21:00:00,0.9023,0.9023,0.3055,0.2194,0.1266
2024-01-03 22:00:00,0.7167,0.7167,0.4823,0.1435,0.2524
2024-01-03 23:00:00,0.9285,0.9285,0.3631,0.2575,0.2965
2024-01-04 00:00:00,0.8456,0.8456,0.2039,0.2398,0.1717
2024-01-04 01:00:00,0.8367,0.8367,0.4795,0.2486,0.1855
2024-01-04 02:00:00,0.9992,0.9992,0.4483,0.1228,0.2218
2024-01-04 03:00:00,0.936,0.936,0.3003,0.1058,0.1986
2024-01-04 04:00:00,0.873,0.873,0.279,0.1543,0.3759
2024-01-04 05:00:00,0.792,0.792,0.2658,0.2961,0.2574
