Timestamp,mileage_factor_RegU_SPP,performance_factor_RegU_SPP,mileage_factor_RegD_SPP,performance_factor_RegD_SPP
2024-01-01 00:00:00,0.1982,0.9339,0.1944,0.9905
2024-01-01 01:00:00,0.1913,1.0,0.1871,0.9628
2024-01-01 02:00:00,0.2219,0.9277,0.1815,0.936
2024-01-01 03:00:00,0.2015,0.9683,0.1963,0.9328
2024-01-01 04:00:00,0.2009,0.9438,0.2075,0.9618
2024-01-01 05:00:00,0.199,0.9228,0.1989,0.9018
2024-01-01 06:00:00,0.1883,0.9909,0.1853,0.8745
2024-01-01 07:00:00,0.1826,0.92,0.2107,0.9832
2024-01-01 08:00:00,0.2126,0.9619,0.1921,1.0
2024-01-01 09:00:00,0.1954,0.9822,0.1763,1.0
2024-01-01 10:00:00,0.1777,0.9718,0.1985,0.9827
2024-01-01 11:00:00,0.1853,0.9663,0.2106,0.9299
2024-01-01 12:00:00,0.206,0.9528,0.2013,1.0
2024-01-01 13:00:00,0.2069,0.9559,0.1887,1.0
2024-01-01 14:00:00,0.1954,0.9489,0.1896,0.9647
2024-01-01 15:00:00,0.2113,0.9246,0.2107,1.0
2024-01-01 16:00:00,0.186,0.9201,0.1932,0.8508
2024-01-01 17:00:00,0.216,0.9493,0.1864,0.9701
2024-01-01 18:00:00,0.1834,0.9583,0.1879,0.97
2024-01-01 19:00:00,0.2054,0.9629,0.196,0.9235
2024-01-01 20:00:00,0.2025,0.9794,0.2126,0.9331
2024-01-01 21:00:00,0.2082,0.8931,0.2063,1.0
2024-01-01 22:00:00,0.1824,0.9678,0.2007,0.9685
2024-01-01 23:00:00,0.1973,0.9658,0.224,0.9823
2024-01-02 00:00:00,0.2105,0.9664,0.205,1.0
2024-01-02 01:00:00,0.1891,0.9713,0.2271,0.9756
2024-01-02 02:00:00,0.2143,0.9129,0.1953,0.9692
2024-01-02 03:00:00,0.1801,0.9607,0.1996,0.9769
2024-01-02 04:00:00,0.1829,0.9617,0.1921,0.8791
2024-01-02 05:00:00,0.1913,0.8654,0.2008,0.9989
2024-01-02 06:00:00,0.2064,1.0,0.1976,0.9726
2024-01-02 07:00:00,0.2141,0.9057,0.2307,0.9845
2024-01-02 08:00:00,0.1933,0.9615,0.1973,0.9487
2024-01-02 09:00:00,0.2022,0.8444,0.2109,0.9617
2024-01-02 10:00:00,0.2125,1.0,0.1994,1.0
2024-01-02 11:00:00,0.2061,0.9201,0.2061,0.8705
2024-01-02 12:00:00,0.2213,0.9292,0.2031,0.832
2024-01-02 13:00:00,0.1936,0.9006,0.2042,1.0
