Timestamp,winning_rate_RegU_SPP,winning_rate_RegD_SPP,winning_rate_Spin_SPP,winning_rate_Sup_SPP,winning_rate_RamU_SPP,winning_rate_RamD_SPP,winning_rate_UncU_SPP
2023-01-01 00:00:00,0.5443,0.8008,0.8146,0.705,0.494,0.7976,0.8537
2023-01-01 01:00:00,0.6964,0.8038,0.692,0.6395,0.6347,0.6277,0.8568
2023-01-01 02:00:00,0.4724,0.6459,0.7381,0.7676,0.7019,0.7633,0.774
2023-01-01 03:00:00,0.6693,0.7459,0.735,0.7212,0.6784,0.5888,0.765
2023-01-01 04:00:00,0.5282,0.5873,0.7959,0.6147,0.5821,0.7481,0.6624
2023-01-01 05:00:00,0.6023,0.5644,0.6532,0.7478,0.6112,0.5738,0.8226
2023-01-01 06:00:00,0.8015,0.574,0.7814,0.7971,0.7036,0.7638,0.7337
2023-01-01 07:00:00,0.8357,0.7578,0.7821,0.7192,0.555,0.7966,0.8171
2023-01-01 08:00:00,0.7809,0.4182,0.6318,0.5531,0.739,0.5878,0.701
2023-01-01 09:00:00,0.6999,0.6892,0.7861,0.6874,0.85,0.7358,0.8581
2023-01-01 10:00:00,0.7903,0.6646,0.8086,0.8773,0.9333,0.6545,0.6046
2023-01-01 11:00:00,0.7381,0.6902,0.607,0.8414,0.7599,0.7331,0.4286
2023-01-01 12:00:00,0.6612,0.8423,0.7327,0.7521,0.6012,0.7822,0.7393
2023-01-01 13:00:00,0.6693,0.8281,0.5802,0.6732,0.7536,0.7651,0.6771
2023-01-01 14:00:00,0.9454,0.7722,0.7872,0.7421,0.7629,0.7412,0.8594
2023-01-01 15:00:00,0.6126,0.796,0.7924,0.697,0.7023,0.7331,0.6318
2023-01-01 16:00:00,0.8669,0.91,0.9874,0.7809,0.9685,0.9815,0.9272
2023-01-01 17:00:00,0.5584,0.5013,0.7554,0.6659,0.573,0.5086,0.5868
2023-01-01 18:00:00,0.9127,0.8764,0.8859,0.8765,0.7618,1.0,0.8841
2023-01-01 19:00:00,0.8423,0.9111,0.9373,0.7822,0.9626,0.9124,0.9718
2023-01-01 20:00:00,0.4405,0.6826,0.7198,0.8889,0.5531,0.795,0.7605
2023-01-01 21:00:00,0.855,0.6661,0.7157,0.6337,0.633,0.6539,0.6148
2023-01-01 22:00:00,0.6507,0.7562,0.4926,0.7817,0.8076,0.9691,0.5605
2023-01-01 23:00:00,0.8298,0.7601,0.7083,0.6623,0.5751,0.6548,0.6804
2023-01-02 00:00:00,0.6935,0.6448,0.7693,0.7166,0.6526,0.6643,0.6195
2023-01-02 01:00:00,0.6276,0.6587,0.6011,0.7882,0.8464,0.6873,0.6391
2023-01-02 02:00:00,0.6171,0.6744,0.7268,0.8226,0.6812,0.7991,0.743
2023-01-02 03:00:00,0.793,0.6893,0.7259,0.7136,0.6302,0.9536,0.8491
2023-01-02 04:00:00,0.6249,0.7969,0.727,0.6052,0.7354,0.6293,0.6888
2023-01-02 05:00:00,0.5497,0.6462,0.6003,0.8129,0.715,0.6827,0.6324
2023-01-02 06:00:00,0.5525,0.7682,0.6149,0.9535,0.8706,0.7455,0.7263
2023-01-02 07:00:00,0.6384,0.6154,0.5903,0.7034,0.6362,0.6604,0.8776
2023-01-02 08:00:00,0.8539,0.6159,0.7445,0.733,0.5791,0.5323,0.5491
2023-01-02 09:00:00,0.4234,0.7432,0.6702,0.8602,0.6734,0.82,0.646
2023-01-02 10:00:00,0.6815,0.8556,0.6011,0.8115,0.8777,0.7136,0.6787
2023-01-02 11:00:00,0.635,0.508,0.6519,0.5906,0.7113,0.6978,0.7187
2023-01-02 12:00:00,0.778,0.6799,0.9436,0.8416,0.7334,0.9442,0.5387
2023-01-02 13:00:00,0.75,0.7676,0.7006,0.7319,0.9298,0.475,0.7246
2023-01-02 14:00:00,0.7578,0.4828,0.7243,0.8924,0.5637,0.7242,0.7352
2023-01-02 15:00:00,0.7482,0.6205,0.619,0.7274,0.8026,0.7365,0.9017
2023-01-02 16:00:00,0.7343,0.6271,0.7587,0.6612,0.6601,0.5812,0.5869
2023-01-02 17:00:00,0.6451,0.5783,0.733,0.6014,0.55,0.6679,0.6564
2023-01-02 18:00:00,0.7378,0.7657,0.688,0.6667,0.6781,0.6252,0.6816
2023-01-02 19:00:00,0.7256,0.651,0.7858,0.5165,0.617,0.654,0.6221
2023-01-02 20:00:00,0.863,0.8817,0.7952,0.9863,0.8445,0.9068,0.9227
2023-01-02 21:00:00,0.785,0.6696,0.7164,0.843,0.8122,0.8333,0.7774
2023-01-02 22:00:00,0.6239,0.8074,0.8004,0.7394,0.7227,0.831,0.5588
2023-01-02 23:00:00,0.8527,0.5432,0.8231,0.7209,0.621,0.6957,0.6111
2023-01-03 00:00:00,0.6893,0.6784,0.6289,0.5874,0.6372,0.8069,0.7256
