HourOfYear,Electrolyzer_Capacity_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_hr,qSteam_Electrolyzer_MWth,pIES_MW,H2_Storage_Level_kg,H2_to_Market_kg_hr,H2_from_Storage_kg_hr,H2_net_to_Storage_kg_hr,"Electrolyzer_Status (0=off, 1=on)","Electrolyzer_Startup (0=no, 1=yes)","Electrolyzer_Shutdown (0=no, 1=yes)",DegradationState_Units,pElectrolyzerRampPos_MW,pElectrolyzerRampNeg_MW,qSteamElectrolyzerRampPos_MWth,qSteamElectrolyzerRampNeg_MWth,RegUp_Turbine_MW,RegDown_Turbine_MW,SR_Turbine_MW,NSR_Turbine_MW,RegUp_Electrolyzer_MW,RegDown_Electrolyzer_MW,SR_Electrolyzer_MW,NSR_Electrolyzer_MW,ECRS_Turbine_MW,ECRS_Electrolyzer_MW,Total_RegUp_MW,Total_RegDown_MW,Total_SR_MW,Total_NSR_MW,Total_ECRS_MW,EnergyPrice_LMP_USDperMWh,p_RegU_ERCOT,deploy_factor_RegU_ERCOT,loc_RegU_ERCOT,p_RegD_ERCOT,deploy_factor_RegD_ERCOT,loc_RegD_ERCOT,p_Spin_ERCOT,deploy_factor_Spin_ERCOT,loc_Spin_ERCOT,p_NSpin_ERCOT,deploy_factor_NSpin_ERCOT,loc_NSpin_ERCOT,p_ECRS_ERCOT,deploy_factor_ECRS_ERCOT,loc_ECRS_ERCOT,Deployed_Up_Reserves_MW,Deployed_Down_Reserves_MW,Revenue_Energy_USD,Revenue_Hydrogen_USD,Revenue_Ancillary_USD,Revenue_Total_USD,Cost_VOM_Turbine_USD,Cost_VOM_Electrolyzer_USD,Cost_Water_USD,Cost_Ramping_USD,Cost_Storage_Cycle_USD,Cost_Startup_USD,Cost_HourlyOpex_Total_USD,Profit_Hourly_USD
1,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,8979.5918,0.0,1000.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4836,4.9715,0.6866,0.3214,7.1872,0.5525,-0.062,8.4261,0.7301,-0.3783,11.7301,0.8528,0.095,5.1564,1.0,-0.227,0.0,0.0,6643.768,3000.0,-0.2509,9643.5171,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8883.5171
2,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,7959.1837,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2376,7.6991,0.7364,0.3407,9.8347,0.6727,0.09,6.0438,0.7231,-0.0324,7.3545,0.8963,0.0544,6.9108,0.9838,0.1346,0.0,0.0,4650.288,3000.0,0.5873,7650.8753,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6890.8753
3,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,7122.449,0.0,820.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5782,8.6681,0.7855,-0.0435,6.7482,0.7088,0.1426,3.7645,0.8647,0.4158,8.1011,0.8911,-0.2761,3.0,0.9833,0.3344,0.0,0.0,5539.716,2460.0,0.5732,8000.2892,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,7240.2892
4,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,6102.0408,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9559,8.788,0.8303,-0.2176,6.3398,0.7388,-0.03,12.2082,0.8258,-0.0959,12.8584,0.8881,0.0257,3.0,0.9588,0.2964,0.0,0.0,6823.242,3000.0,-0.0214,9823.2206,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9063.2206
5,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,5081.6327,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8293,6.8037,0.8606,-0.4656,2.0,0.7238,0.3224,3.0,0.8026,0.559,5.2265,0.8492,-0.0827,3.0,0.891,-0.0595,0.0,0.0,3355.134,3000.0,0.2736,6355.4076,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5595.4076
6,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,4061.2245,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1702,7.6714,0.7834,0.0563,6.8896,0.7009,-0.1217,3.0072,0.853,-0.3587,3.0,0.8186,0.7745,3.7809,0.9024,-0.1552,0.0,0.0,3484.676,3000.0,0.1952,6484.8712,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,5724.8712
7,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,3040.8163,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2359,2.0,0.8196,-0.5332,7.0326,0.7188,-0.2647,3.0,0.818,0.061,10.0112,0.8391,0.0986,9.3996,0.9342,-0.0011,0.0,0.0,7309.642,3000.0,-0.6394,10309.0026,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,9549.0026
8,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,2020.4082,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7663,6.7166,0.8087,-0.0213,3.9293,0.7087,-0.4517,6.0537,0.8575,0.1186,14.5649,0.806,-0.0784,4.1308,0.91,0.1372,0.0,0.0,6371.194,3000.0,-0.2956,9370.8984,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,8610.8984
9,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,1000.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6529,2.7482,0.7623,-0.1402,8.1982,0.7538,0.1588,3.0,0.8827,0.2099,3.0,0.809,0.227,3.0,0.8646,-0.0824,0.0,0.0,4808.102,3000.0,0.3731,7808.4751,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,7048.4751
10,50.0,380.0,1000.0,0.0,0.0,0.0,0.0,380.0,1000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1249,7.8971,0.7057,0.1395,4.7474,0.701,-0.0221,11.6252,0.8357,0.2259,3.2411,0.8584,-0.0037,8.1863,0.8641,0.2012,0.0,0.0,7647.462,0.0,0.5408,7648.0028,760.0,0.0,0.0,0.0,0.0,-0.0,760.0,6888.0028
