Time_Period,pIES_MW,pGridSale_MW,pGridPurchase_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_per_hr,qSteam_Electrolyzer_MWth,H2_storage_level_kg,H2_to_storage_kg_per_hr,H2_from_storage_kg_per_hr,H2_to_market_kg_per_hr,BatterySOC_MWh,BatteryCharge_MW,BatteryDischarge_MW,Energy_Revenue_USD,H2_Revenue_USD,AS_Revenue_USD
1,717.1570758735943,717.1570758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,25708.447386769327,4979.674796747968,4716.406363967935,4716.406363967935,4.552173913043479,0.0,0.41199999999999326,19800.70686486994,14149.219091903806,1414.4020462258277
2,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,25775.86913251301,4979.674796747968,4716.406363967935,4716.406363967935,4.5521739130434415,0.0,0.0,19456.045084588717,14149.219091903806,1340.2976285783266
3,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,25843.290878256696,4979.674796747968,4716.406363967935,4716.406363967935,4.552173913043461,0.0,0.0,18477.68805602126,14149.219091903806,1250.4110865370203
4,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,25910.71262400038,4979.674796747968,4716.406363967935,4716.406363967935,4.552173913043477,0.0,0.0,16832.75810689136,14149.219091903806,1697.4593722648833
5,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,25978.134369744068,4979.674796747968,4716.406363967935,4716.406363967935,4.552173913043477,0.0,0.0,15872.319705220745,14149.219091903806,1352.9621056609822
6,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,26045.556115487754,4979.674796747968,4716.406363967935,4716.406363967935,4.552173913043477,0.0,0.0,15582.037949491938,14149.219091903806,1667.3315155586745
7,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,26112.97786123144,4979.674796747968,4716.406363967935,4716.406363967935,4.552173913043507,0.0,0.0,16280.864398468693,14149.219091903806,2054.003549905262
8,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,26180.399606975127,4979.674796747968,4716.406363967935,4716.406363967935,4.552173913043507,0.0,0.0,20717.516418126244,14149.219091903806,2774.7771674767287
9,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,26247.821352718813,4979.674796747968,4716.406363967935,4716.406363967935,4.552173913043507,0.0,0.0,20187.125061979783,14149.219091903806,2095.4817593466364
10,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,26315.2430984625,4979.674796747968,4716.406363967935,4716.406363967935,4.552173913043523,0.0,0.0,17692.852197939672,14149.219091903806,2600.522898709124
11,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,26382.664844206185,4979.674796747968,4716.406363967935,4716.406363967935,4.552173913043541,0.0,0.0,23344.387121202966,14149.219091903806,2821.681004962088
12,719.2450758735943,719.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,26450.08658994987,4979.674796747968,4716.406363967935,4716.406363967935,1.8347826086957033,0.0,2.5,29758.765014269964,14149.219091903806,1851.739777855088
13,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,26517.508335693557,4979.674796747968,4716.406363967935,4716.406363967935,1.8347826086956993,0.0,0.0,18581.61609202293,14149.219091903806,1212.2929447081744
14,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,26584.930081437244,4979.674796747968,4716.406363967935,4716.406363967935,1.8347826086956953,0.0,0.0,15793.477746874649,14149.219091903806,1067.8198834708978
15,714.2450758735943,714.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,26652.35182718093,4979.674796747968,4716.406363967935,4716.406363967935,4.13478260869571,2.5,0.0,13770.645062842897,14149.219091903806,953.3620491485793
