Electrolyzer_Capacity_MW,Battery_Capacity_MWh,Battery_Power_MW,H2_Storage_Capacity_kg,H2_Constant_Sales_Rate_kg_hr,pIES_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_hr,qSteam_Electrolyzer_MWth,pAuxiliary_MW,H2_Storage_Level_kg,H2_from_Storage_kg_hr,H2_to_Storage_Input_kg_hr,"Electrolyzer_Status(0=off,1=on)","Electrolyzer_Startup(0=no,1=yes)","Electrolyzer_Shutdown(0=no,1=yes)",DegradationState_Units,pElectrolyzerRampPos_MW,pElectrolyzerRampNeg_MW,qSteamElectrolyzerRampPos_MWth,qSteamElectrolyzerRampNeg_MWth,Battery_SOC_MWh,Battery_Charge_MW,Battery_Discharge_MW,Battery_Charge_Binary,Battery_Discharge_Binary,pGridPurchase_MW,pGridSale_MW,ECRS_Electrolyzer_Bid_MW,NSR_Electrolyzer_Bid_MW,RegDown_Electrolyzer_Bid_MW,RegUp_Electrolyzer_Bid_MW,SR_Electrolyzer_Bid_MW,ECRS_Battery_Bid_MW,NSR_Battery_Bid_MW,RegDown_Battery_Bid_MW,RegUp_Battery_Bid_MW,SR_Battery_Bid_MW,ECRS_Turbine_Bid_MW,NSR_Turbine_Bid_MW,RegDown_Turbine_Bid_MW,RegUp_Turbine_Bid_MW,SR_Turbine_Bid_MW,Total_ECRS_Bid_MW,Total_NSR_Bid_MW,Total_RegDown_Bid_MW,Total_RegUp_Bid_MW,Total_SR_Bid_MW,ECRS_Electrolyzer_Deployed_MW,NSR_Electrolyzer_Deployed_MW,RegDown_Electrolyzer_Deployed_MW,RegUp_Electrolyzer_Deployed_MW,SR_Electrolyzer_Deployed_MW,ECRS_Battery_Deployed_MW,NSR_Battery_Deployed_MW,RegDown_Battery_Deployed_MW,RegUp_Battery_Deployed_MW,SR_Battery_Deployed_MW,ECRS_Turbine_Deployed_MW,NSR_Turbine_Deployed_MW,RegDown_Turbine_Deployed_MW,RegUp_Turbine_Deployed_MW,SR_Turbine_Deployed_MW,EnergyPrice_LMP_USDperMWh,p_RegU_ERCOT,loc_RegU_ERCOT,winning_rate_RegU_ERCOT,mileage_factor_RegU_ERCOT,performance_factor_RegU_ERCOT,deploy_factor_RegU_ERCOT,p_RegD_ERCOT,loc_RegD_ERCOT,winning_rate_RegD_ERCOT,mileage_factor_RegD_ERCOT,performance_factor_RegD_ERCOT,deploy_factor_RegD_ERCOT,p_Spin_ERCOT,loc_Spin_ERCOT,winning_rate_Spin_ERCOT,deploy_factor_Spin_ERCOT,p_NSpin_ERCOT,loc_NSpin_ERCOT,winning_rate_NSpin_ERCOT,deploy_factor_NSpin_ERCOT,p_ECRS_ERCOT,loc_ECRS_ERCOT,winning_rate_ECRS_ERCOT,deploy_factor_ECRS_ERCOT,Revenue_Energy_USD,Revenue_Hydrogen_Sales_USD,Revenue_Hydrogen_Subsidy_USD,Revenue_Hydrogen_USD,Revenue_Ancillary_USD,Revenue_Total_USD,Cost_VOM_Turbine_USD,Cost_VOM_Electrolyzer_USD,Cost_VOM_Battery_USD,Cost_Water_USD,Cost_Ramping_USD,Cost_Storage_Cycle_USD,Cost_Startup_USD,Cost_Fuel_NPP_USD,Cost_Fixed_OM_NPP_USD,Cost_HourlyOpex_NPP_USD,Cost_HourlyOpex_H2_Battery_USD,Cost_HourlyOpex_Total_USD,Profit_Hourly_USD
200.0,0.0,0.0,23201.0166,4516.4291,999.8635,1202.2352,3574.0524,200.0,200.0,4743.4478,37.9476,2.3717,9648.5788,0.0,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,999.8635,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7648,12.7648,0.0,0.0,0.0,12.7648,12.7648,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0162,5.673,0.0,12.3804,1.49,0.0,0.825,8.1752,0.8511,0.5387,1.51,0.0,0.825,8.1752,0.8511,0.0965,1.0,0.0,0.2888,0.0,0.94,0.0,0.2115,0.0,0.1,0.0,0.6327,0.0,12378.71,0.0,14230.3433,14230.3433,157.7285,26766.7818,1202.2352,1380.0,0.0,142.3034,0.0,47.4345,0.0,12150.0,31900.6849,45252.9202,1569.7379,46822.6581,-20055.8762
200.0,0.0,0.0,23201.0166,4516.4291,999.8635,1202.2352,3574.0524,200.0,200.0,4743.4478,37.9476,2.3717,9688.5565,4516.4291,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,999.8635,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7648,12.7648,0.0,0.0,0.0,12.7648,12.7648,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2969,6.2872,0.0,14.2506,1.47,0.0,0.8827,7.2508,1.0,0.558,1.25,0.0,0.8827,7.2508,1.0,0.1151,1.0,0.0,0.2963,0.0,0.94,0.0,0.1129,0.0,0.11,0.0,0.4186,0.0,14248.6547,13549.2873,14230.3433,27779.6306,183.171,42211.4563,1202.2352,1380.0,0.0,142.3034,0.0,92.5988,0.0,12150.0,31900.6849,45252.9202,1614.9022,46867.8224,-4656.366
200.0,0.0,0.0,23201.0166,4516.4291,999.8635,1202.2352,3574.0524,200.0,200.0,4743.4478,37.9476,2.3717,9728.5342,4516.4291,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,999.8635,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7648,12.7648,0.0,0.0,0.0,12.7648,12.7648,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2893,5.4767,0.0,14.9634,1.8,0.0,0.7405,7.662,1.0,0.5794,1.25,0.0,0.7405,7.662,1.0,0.1364,1.0,0.0,0.291,0.0,1.23,0.0,0.1775,0.0,0.12,0.0,0.638,0.0,14961.3574,13549.2873,14230.3433,27779.6306,173.7215,42914.7095,1202.2352,1380.0,0.0,142.3034,0.0,92.5988,0.0,12150.0,31900.6849,45252.9202,1614.9022,46867.8224,-3953.1128
200.0,0.0,0.0,23201.0166,4516.4291,999.8635,1202.2352,3574.0524,200.0,200.0,4743.4478,37.9476,2.3717,9768.5119,4516.4291,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,999.8635,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7648,12.7648,0.0,0.0,0.0,12.7648,12.7648,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8302,7.0892,0.0,15.975,1.6,0.0,0.9298,9.124,0.9707,0.5973,1.25,0.0,0.9298,9.124,0.9707,0.1542,1.0,0.0,0.4385,0.0,1.23,0.0,0.268,0.0,0.13,0.0,0.5557,0.0,15972.8194,13549.2873,14230.3433,27779.6306,242.0869,43994.5369,1202.2352,1380.0,0.0,142.3034,0.0,92.5988,0.0,12150.0,31900.6849,45252.9202,1614.9022,46867.8224,-2873.2855
200.0,0.0,0.0,23201.0166,4516.4291,999.8635,1202.2352,3574.0524,200.0,200.0,4743.4478,37.9476,2.3717,9808.4896,4516.4291,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,999.8635,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7648,12.7648,0.0,0.0,0.0,12.7648,12.7648,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1313,7.4952,0.0,17.7084,2.0,0.0,0.9492,7.7654,0.9559,0.6186,1.25,0.0,0.9492,7.7654,0.9559,0.1759,1.01,0.0,0.3459,0.0,1.23,0.0,0.2578,0.0,0.14,0.0,0.5949,0.0,17705.9827,13549.2873,14230.3433,27779.6306,262.2505,45747.8638,1202.2352,1380.0,0.0,142.3034,0.0,92.5988,0.0,12150.0,31900.6849,45252.9202,1614.9022,46867.8224,-1119.9586
200.0,0.0,0.0,23201.0166,4516.4291,999.8635,1202.2352,3574.0524,200.0,200.0,4743.4478,37.9476,2.3717,9848.4673,4516.4291,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,1.0,0.0,0.0,999.8635,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7648,12.7648,0.0,0.0,0.0,12.7648,12.7648,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3887,7.9068,0.0,20.0889,3.19,0.0,0.9767,6.3495,0.9673,0.6342,1.49,0.0,0.9767,6.3495,0.9673,0.1916,1.0,0.0,0.2658,0.0,1.25,0.0,0.187,0.0,0.15,0.0,0.5022,0.0,20086.1578,13549.2873,14230.3433,27779.6306,305.0434,48170.8318,1202.2352,1380.0,0.0,142.3034,0.0,92.5988,0.0,12150.0,31900.6849,45252.9202,1614.9022,46867.8224,1303.0095
200.0,0.0,0.0,23201.0166,4516.4291,999.8635,1202.2352,3574.0524,200.0,200.0,4743.4478,37.9476,2.3717,9888.445,4516.4291,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,1.0,0.0,0.0,999.8635,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7648,12.7648,0.0,0.0,150.0,12.7648,12.7648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.948,6.0904,0.0,22.5171,3.98,0.0,0.7337,8.6696,0.9796,0.6503,1.93,0.0,0.7337,8.6696,0.9796,0.208,1.5,0.0,0.3986,0.0,2.72,0.0,0.2788,0.0,2.0,0.0,0.3738,0.0,22514.0263,13549.2873,14230.3433,27779.6306,350.1026,50643.7596,1202.2352,1380.0,0.0,142.3034,0.0,92.5988,0.0,12150.0,31900.6849,45252.9202,1614.9022,46867.8224,3775.9372
200.0,0.0,0.0,23201.0166,4516.4291,999.8635,1202.2352,3574.0524,200.0,200.0,4743.4478,37.9476,2.3717,9928.4227,4516.4291,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,999.8635,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7648,12.7648,0.0,0.0,0.0,12.7648,12.7648,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0264,6.3353,0.0,26.586,3.47,0.0,0.7625,6.3594,0.9913,0.6509,1.92,0.0,0.7625,6.3594,0.9913,0.2082,1.97,0.0,0.3661,0.0,2.72,0.0,0.2496,0.0,2.0,0.0,0.3467,0.0,26582.3709,13549.2873,14230.3433,27779.6306,382.9495,54744.951,1202.2352,1380.0,0.0,142.3034,0.0,92.5988,0.0,12150.0,31900.6849,45252.9202,1614.9022,46867.8224,7877.1287
200.0,0.0,0.0,23201.0166,4516.4291,999.8635,1202.2352,3574.0524,200.0,200.0,4743.4478,37.9476,2.3717,9968.4004,4516.4291,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,999.8635,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7648,12.7648,0.0,150.0,0.0,12.7648,12.7648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.629,8.1399,0.0,38.763,2.52,0.0,0.9761,6.9774,0.9938,0.6533,5.73,0.0,0.9761,6.9774,0.9938,0.211,2.05,0.0,0.3149,0.0,2.15,0.0,0.1906,0.0,5.05,0.0,0.4624,0.0,38757.7087,13549.2873,14230.3433,27779.6306,870.4962,67407.8355,1202.2352,1380.0,0.0,142.3034,0.0,92.5988,0.0,12150.0,31900.6849,45252.9202,1614.9022,46867.8224,20540.0131
200.0,0.0,0.0,23201.0166,4516.4291,999.8635,1202.2352,3574.0524,200.0,200.0,4743.4478,37.9476,2.3717,10008.378,4516.4291,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,999.8635,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7648,12.7648,0.0,150.0,0.0,12.7648,12.7648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9807,6.3648,0.0,19.548,2.5,0.0,0.7774,7.8188,0.8965,0.6414,2.55,0.0,0.7774,7.8188,0.8965,0.1996,1.5,0.0,0.2729,0.0,2.15,0.0,0.166,0.0,4.2,0.0,0.3943,0.0,19545.3316,13549.2873,14230.3433,27779.6306,461.6603,47786.6225,1202.2352,1380.0,0.0,142.3034,0.0,92.5988,0.0,12150.0,31900.6849,45252.9202,1614.9022,46867.8224,918.8001
