Electrolyzer_Capacity_MW,Battery_Capacity_MWh,Battery_Power_MW,H2_Storage_Capacity_kg,H2_Constant_Sales_Rate_kg_hr,pIES_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_hr,qSteam_Electrolyzer_MWth,pAuxiliary_MW,H2_Storage_Level_kg,H2_from_Storage_kg_hr,H2_to_Storage_Input_kg_hr,"Electrolyzer_Status(0=off,1=on)","Electrolyzer_Startup(0=no,1=yes)","Electrolyzer_Shutdown(0=no,1=yes)",DegradationState_Units,pElectrolyzerRampPos_MW,pElectrolyzerRampNeg_MW,qSteamElectrolyzerRampPos_MWth,qSteamElectrolyzerRampNeg_MWth,Battery_SOC_MWh,Battery_Charge_MW,Battery_Discharge_MW,Battery_Charge_Binary,Battery_Discharge_Binary,pGridPurchase_MW,pGridSale_MW,NSR_Electrolyzer_Bid_MW,RegDown_Electrolyzer_Bid_MW,RegUp_Electrolyzer_Bid_MW,SR_Electrolyzer_Bid_MW,ThirtyMin_Electrolyzer_Bid_MW,NSR_Battery_Bid_MW,RegDown_Battery_Bid_MW,RegUp_Battery_Bid_MW,SR_Battery_Bid_MW,ThirtyMin_Battery_Bid_MW,NSR_Turbine_Bid_MW,RegDown_Turbine_Bid_MW,RegUp_Turbine_Bid_MW,SR_Turbine_Bid_MW,ThirtyMin_Turbine_Bid_MW,Total_NSR_Bid_MW,Total_RegDown_Bid_MW,Total_RegUp_Bid_MW,Total_SR_Bid_MW,Total_ThirtyMin_Bid_MW,NSR_Electrolyzer_Deployed_MW,RegDown_Electrolyzer_Deployed_MW,RegUp_Electrolyzer_Deployed_MW,SR_Electrolyzer_Deployed_MW,ThirtyMin_Electrolyzer_Deployed_MW,NSR_Battery_Deployed_MW,RegDown_Battery_Deployed_MW,RegUp_Battery_Deployed_MW,SR_Battery_Deployed_MW,ThirtyMin_Battery_Deployed_MW,NSR_Turbine_Deployed_MW,RegDown_Turbine_Deployed_MW,RegUp_Turbine_Deployed_MW,SR_Turbine_Deployed_MW,ThirtyMin_Turbine_Deployed_MW,EnergyPrice_LMP_USDperMWh,p_RegUp_NYISO,loc_RegUp_NYISO,winning_rate_RegUp_NYISO,mileage_factor_RegUp_NYISO,performance_factor_RegUp_NYISO,deploy_factor_RegUp_NYISO,p_RegDown_NYISO,loc_RegDown_NYISO,winning_rate_RegDown_NYISO,mileage_factor_RegDown_NYISO,performance_factor_RegDown_NYISO,deploy_factor_RegDown_NYISO,p_Spin10_NYISO,loc_Spin10_NYISO,winning_rate_Spin10_NYISO,deploy_factor_Spin10_NYISO,p_NSpin10_NYISO,loc_NSpin10_NYISO,winning_rate_NSpin10_NYISO,deploy_factor_NSpin10_NYISO,p_Res30_NYISO,loc_Res30_NYISO,winning_rate_Res30_NYISO,deploy_factor_Res30_NYISO,Revenue_Energy_USD,Revenue_Hydrogen_Sales_USD,Revenue_Hydrogen_Subsidy_USD,Revenue_Hydrogen_USD,Revenue_Ancillary_USD,Revenue_Total_USD,Cost_VOM_Turbine_USD,Cost_VOM_Electrolyzer_USD,Cost_VOM_Battery_USD,Cost_Water_USD,Cost_Ramping_USD,Cost_Storage_Cycle_USD,Cost_Startup_USD,Cost_Fuel_NPP_USD,Cost_Fixed_OM_NPP_USD,Cost_HourlyOpex_NPP_USD,Cost_HourlyOpex_H2_Battery_USD,Cost_HourlyOpex_Total_USD,Profit_Hourly_USD
200.0,0.0,0.0,19499.7027,4540.746,1044.9455,1247.3172,3950.0524,200.0,200.0,4743.4478,37.9476,2.3717,9648.5789,0.0,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1044.9455,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9828,11.9828,0.0,0.0,0.0,11.9828,11.9828,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6364,7.307,0.0,0.75,11.3757,0.9343,0.5373,7.307,0.0,0.75,11.3757,0.9343,0.0969,4.965,0.0,0.2763,0.0,4.601,0.0,0.2187,0.0,4.145,0.0,0.356,0.0,27833.5858,0.0,14230.3435,14230.3435,352.6805,42416.6097,1247.3172,1380.0,0.0,142.3034,0.0,47.4345,0.0,12593.0,33063.8128,46904.13,1569.7379,48473.8679,-6057.2582
200.0,0.0,0.0,19499.7027,4540.746,1044.9455,1247.3172,3950.0524,200.0,200.0,4743.4478,37.9476,2.3717,9663.7435,4540.746,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,1044.9455,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9828,11.9828,0.0,0.0,0.0,11.9828,11.9828,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6382,7.307,0.0,0.9036,13.7467,0.9781,0.5558,7.307,0.0,0.9036,13.7467,0.9781,0.1157,4.965,0.0,0.4041,0.0,4.601,0.0,0.2045,0.0,4.145,0.0,0.2108,0.0,27835.4667,13622.2379,14230.3435,27852.5814,459.1888,56147.2369,1247.3172,1380.0,0.0,142.3034,0.0,92.8419,0.0,12593.0,33063.8128,46904.13,1615.1454,48519.2754,7627.9615
200.0,0.0,0.0,19499.7027,4540.746,1044.9455,1247.3172,3950.0524,200.0,200.0,4743.4478,37.9476,2.3717,9678.9082,4540.746,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1044.9455,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9828,11.9828,0.0,0.0,0.0,11.9828,11.9828,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9966,7.307,0.0,0.7477,12.967,0.9348,0.5705,7.307,0.0,0.7477,12.967,0.9348,0.1296,4.965,0.0,0.4163,0.0,4.601,0.0,0.154,0.0,4.145,0.0,0.2102,0.0,26120.0842,13622.2379,14230.3435,27852.5814,440.9741,54413.6397,1247.3172,1380.0,0.0,142.3034,0.0,92.8419,0.0,12593.0,33063.8128,46904.13,1615.1454,48519.2754,5894.3643
200.0,0.0,0.0,19499.7027,4540.746,1044.9455,1247.3172,3950.0524,200.0,200.0,4743.4478,37.9476,2.3717,9694.0728,4540.746,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,1044.9455,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9828,11.9828,0.0,0.0,0.0,11.9828,11.9828,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4791,3.0,0.0,0.9531,11.3636,0.9476,0.5912,3.0,0.0,0.9531,11.3636,0.9476,0.1503,2.485,0.0,0.4546,0.0,2.485,0.0,0.2474,0.0,2.485,0.0,0.3419,0.0,25579.3249,13622.2379,14230.3435,27852.5814,237.977,53669.8833,1247.3172,1380.0,0.0,142.3034,0.0,92.8419,0.0,12593.0,33063.8128,46904.13,1615.1454,48519.2754,5150.6079
200.0,0.0,0.0,19499.7027,4540.746,1044.9455,1247.3172,3950.0524,200.0,200.0,4743.4478,37.9476,2.3717,9709.2374,4540.746,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1044.9455,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9828,11.9828,0.0,0.0,0.0,11.9828,11.9828,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8528,3.0,0.0,0.8762,14.471,0.9589,0.6059,3.0,0.0,0.8762,14.471,0.9589,0.165,2.485,0.0,0.4768,0.0,2.485,0.0,0.2397,0.0,2.485,0.0,0.1047,0.0,23879.93,13622.2379,14230.3435,27852.5814,240.7232,51973.2346,1247.3172,1380.0,0.0,142.3034,0.0,92.8419,0.0,12593.0,33063.8128,46904.13,1615.1454,48519.2754,3453.9592
200.0,0.0,0.0,19499.7027,4540.746,1044.9455,1247.3172,3950.0524,200.0,200.0,4743.4478,37.9476,2.3717,9724.4021,4540.746,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1044.9455,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9828,11.9828,0.0,0.0,0.0,11.9828,11.9828,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.922,4.59,0.0,0.7082,13.3176,0.9208,0.6186,4.59,0.0,0.7082,13.3176,0.9208,0.1781,2.53,0.0,0.3246,0.0,2.53,0.0,0.1776,0.0,2.53,0.0,0.2744,0.0,24997.1857,13622.2379,14230.3435,27852.5814,201.0892,53050.8563,1247.3172,1380.0,0.0,142.3034,0.0,92.8419,0.0,12593.0,33063.8128,46904.13,1615.1454,48519.2754,4531.581
200.0,0.0,0.0,19499.7027,4540.746,1044.9455,1247.3172,3950.0524,200.0,200.0,4743.4478,37.9476,2.3717,9739.5667,4540.746,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,1044.9455,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9828,11.9828,0.0,0.0,0.0,11.9828,11.9828,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7339,6.34,0.0,0.7807,14.3575,1.0,0.6372,6.34,0.0,0.7807,14.3575,1.0,0.1971,2.503,0.0,0.2128,0.0,2.503,0.0,0.2999,0.0,2.503,0.0,0.3325,0.0,24800.6315,13622.2379,14230.3435,27852.5814,243.4581,52896.6711,1247.3172,1380.0,0.0,142.3034,0.0,92.8419,0.0,12593.0,33063.8128,46904.13,1615.1454,48519.2754,4377.3957
200.0,0.0,0.0,19499.7027,4540.746,1044.9455,1247.3172,3950.0524,200.0,200.0,4743.4478,37.9476,2.3717,9754.7314,4540.746,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1044.9455,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9828,11.9828,0.0,0.0,0.0,11.9828,11.9828,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3895,5.5,0.0,0.712,12.5473,0.9174,0.6356,5.5,0.0,0.712,12.5473,0.9174,0.1956,4.0,0.0,0.4283,0.0,4.0,0.0,0.2194,0.0,4.0,0.0,0.141,0.0,21305.9158,13622.2379,14230.3435,27852.5814,350.8293,49509.3265,1247.3172,1380.0,0.0,142.3034,0.0,92.8419,0.0,12593.0,33063.8128,46904.13,1615.1454,48519.2754,990.0512
200.0,0.0,0.0,19499.7027,4540.746,1044.9455,1247.3172,3950.0524,200.0,200.0,4743.4478,37.9476,2.3717,9769.896,4540.746,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1044.9455,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9828,11.9828,0.0,0.0,0.0,11.9828,11.9828,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8052,5.5,0.0,0.7429,11.6824,0.9206,0.6333,5.5,0.0,0.7429,11.6824,0.9206,0.1933,4.2,0.0,0.2081,0.0,4.2,0.0,0.1484,0.0,4.2,0.0,0.1957,0.0,22785.2452,13622.2379,14230.3435,27852.5814,229.0252,50866.8518,1247.3172,1380.0,0.0,142.3034,0.0,92.8419,0.0,12593.0,33063.8128,46904.13,1615.1454,48519.2754,2347.5764
200.0,0.0,0.0,19499.7027,4540.746,1044.9455,1247.3172,3950.0524,200.0,200.0,4743.4478,37.9476,2.3717,9785.0606,4540.746,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,1044.9455,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9828,11.9828,0.0,0.0,0.0,11.9828,11.9828,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2101,5.0,0.0,0.7984,12.0788,0.9351,0.6363,5.0,0.0,0.7984,12.0788,0.9351,0.1961,4.0,0.0,0.4238,0.0,4.0,0.0,0.2162,0.0,4.0,0.0,0.1533,0.0,24253.2891,13622.2379,14230.3435,27852.5814,349.9507,52455.8211,1247.3172,1380.0,0.0,142.3034,0.0,92.8419,0.0,12593.0,33063.8128,46904.13,1615.1454,48519.2754,3936.5458
