Electrolyzer_Capacity_MW,Battery_Capacity_MWh,Battery_Power_MW,H2_Storage_Capacity_kg,H2_Constant_Sales_Rate_kg_hr,pIES_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_hr,qSteam_Electrolyzer_MWth,pAuxiliary_MW,H2_Storage_Level_kg,H2_from_Storage_kg_hr,H2_to_Storage_Input_kg_hr,"Electrolyzer_Status(0=off,1=on)","Electrolyzer_Startup(0=no,1=yes)","Electrolyzer_Shutdown(0=no,1=yes)",DegradationState_Units,pElectrolyzerRampPos_MW,pElectrolyzerRampNeg_MW,qSteamElectrolyzerRampPos_MWth,qSteamElectrolyzerRampNeg_MWth,Battery_SOC_MWh,Battery_Charge_MW,Battery_Discharge_MW,Battery_Charge_Binary,Battery_Discharge_Binary,pGridPurchase_MW,pGridSale_MW,NSR_Electrolyzer_Bid_MW,SR_Electrolyzer_Bid_MW,ThirtyMin_Electrolyzer_Bid_MW,NSR_Battery_Bid_MW,SR_Battery_Bid_MW,ThirtyMin_Battery_Bid_MW,NSR_Turbine_Bid_MW,SR_Turbine_Bid_MW,ThirtyMin_Turbine_Bid_MW,Total_NSR_Bid_MW,Total_SR_Bid_MW,Total_ThirtyMin_Bid_MW,NSR_Electrolyzer_Deployed_MW,SR_Electrolyzer_Deployed_MW,ThirtyMin_Electrolyzer_Deployed_MW,NSR_Battery_Deployed_MW,SR_Battery_Deployed_MW,ThirtyMin_Battery_Deployed_MW,NSR_Turbine_Deployed_MW,SR_Turbine_Deployed_MW,ThirtyMin_Turbine_Deployed_MW,EnergyPrice_LMP_USDperMWh,p_Spin10_ISONE,loc_Spin10_ISONE,winning_rate_Spin10_ISONE,deploy_factor_Spin10_ISONE,p_NSpin10_ISONE,loc_NSpin10_ISONE,winning_rate_NSpin10_ISONE,deploy_factor_NSpin10_ISONE,p_OR30_ISONE,loc_OR30_ISONE,winning_rate_OR30_ISONE,deploy_factor_OR30_ISONE,Revenue_Energy_USD,Revenue_Hydrogen_Sales_USD,Revenue_Hydrogen_Subsidy_USD,Revenue_Hydrogen_USD,Revenue_Ancillary_USD,Revenue_Total_USD,Cost_VOM_Turbine_USD,Cost_VOM_Electrolyzer_USD,Cost_VOM_Battery_USD,Cost_Water_USD,Cost_Ramping_USD,Cost_Storage_Cycle_USD,Cost_Startup_USD,Cost_Fuel_NPP_USD,Cost_Fixed_OM_NPP_USD,Cost_HourlyOpex_NPP_USD,Cost_HourlyOpex_H2_Battery_USD,Cost_HourlyOpex_Total_USD,Profit_Hourly_USD
200.0,0.0,0.0,15584.7237,4549.04,1026.7086,1229.0803,3610.0524,200.0,200.0,4743.4479,37.9476,2.3717,9648.5789,0.0,4743.4479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.7086,0.0,150.0,0.0,0.0,0.0,0.0,0.0,12.9197,0.0,0.0,162.9197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.2254,5.442,0.0,0.4603,0.0,0.0,0.0,0.1487,0.0,0.0,0.0,0.1499,0.0,51566.8508,0.0,14230.3436,14230.3436,408.106,66205.3005,1229.0803,1380.0,0.0,142.3034,0.0,47.4345,0.0,12420.0,32609.589,46258.6694,1569.7379,47828.4073,18376.8932
200.0,0.0,0.0,15584.7237,4549.04,1026.7086,1229.0803,3610.0524,200.0,200.0,4743.4479,37.9476,2.3717,9655.2802,4549.04,4743.4479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.7086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1669,0.0,0.0,0.4594,0.0,0.0,0.0,0.1128,0.0,0.0,0.0,0.2537,0.0,33026.0333,13647.1201,14230.3436,27877.4637,0.0,60903.4971,1229.0803,1380.0,0.0,142.3034,0.0,92.9249,0.0,12420.0,32609.589,46258.6694,1615.2283,47873.8977,13029.5994
200.0,0.0,0.0,15584.7237,4549.04,1026.7086,1229.0803,3610.0524,200.0,200.0,4743.4479,37.9476,2.3717,9661.9815,4549.04,4743.4479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.7086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6868,0.0,0.0,0.4622,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.2009,0.0,27399.5674,13647.1201,14230.3436,27877.4637,0.0,55277.0312,1229.0803,1380.0,0.0,142.3034,0.0,92.9249,0.0,12420.0,32609.589,46258.6694,1615.2283,47873.8977,7403.1335
200.0,0.0,0.0,15584.7237,4549.04,1026.7086,1229.0803,3610.0524,200.0,200.0,4743.4479,37.9476,2.3717,9668.6828,4549.04,4743.4479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.7086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2179,0.0,0.0,0.4795,0.0,0.0,0.0,0.1755,0.0,0.0,0.0,0.359,0.0,26918.1438,13647.1201,14230.3436,27877.4637,0.0,54795.6075,1229.0803,1380.0,0.0,142.3034,0.0,92.9249,0.0,12420.0,32609.589,46258.6694,1615.2283,47873.8977,6921.7098
200.0,0.0,0.0,15584.7237,4549.04,1026.7086,1229.0803,3610.0524,200.0,200.0,4743.4479,37.9476,2.3717,9675.3842,4549.04,4743.4479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.7086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3845,0.0,0.0,0.2877,0.0,0.0,0.0,0.1438,0.0,0.0,0.0,0.1881,0.0,26062.4848,13647.1201,14230.3436,27877.4637,0.0,53939.9486,1229.0803,1380.0,0.0,142.3034,0.0,92.9249,0.0,12420.0,32609.589,46258.6694,1615.2283,47873.8977,6066.0509
200.0,0.0,0.0,15584.7237,4549.04,1026.7086,1229.0803,3610.0524,200.0,200.0,4743.4479,37.9476,2.3717,9682.0855,4549.04,4743.4479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.7086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.029,0.0,0.0,0.4347,0.0,0.0,0.0,0.1147,0.0,0.0,0.0,0.2548,0.0,25697.4899,13647.1201,14230.3436,27877.4637,0.0,53574.9536,1229.0803,1380.0,0.0,142.3034,0.0,92.9249,0.0,12420.0,32609.589,46258.6694,1615.2283,47873.8977,5701.0559
200.0,0.0,0.0,15584.7237,4549.04,1026.7086,1229.0803,3610.0524,200.0,200.0,4743.4479,37.9476,2.3717,9688.7868,4549.04,4743.4479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.7086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2414,0.0,0.0,0.3938,0.0,0.0,0.0,0.2622,0.0,0.0,0.0,0.362,0.0,25915.5628,13647.1201,14230.3436,27877.4637,0.0,53793.0266,1229.0803,1380.0,0.0,142.3034,0.0,92.9249,0.0,12420.0,32609.589,46258.6694,1615.2283,47873.8977,5919.1289
200.0,0.0,0.0,15584.7237,4549.04,1026.7086,1229.0803,3610.0524,200.0,200.0,4743.4479,37.9476,2.3717,9695.4881,4549.04,4743.4479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.7086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2056,0.0,0.0,0.4627,0.0,0.0,0.0,0.1209,0.0,0.0,0.0,0.3924,0.0,23825.3894,13647.1201,14230.3436,27877.4637,0.0,51702.8532,1229.0803,1380.0,0.0,142.3034,0.0,92.9249,0.0,12420.0,32609.589,46258.6694,1615.2283,47873.8977,3828.9555
200.0,0.0,0.0,15584.7237,4549.04,1026.7086,1229.0803,3610.0524,200.0,200.0,4743.4479,37.9476,2.3717,9702.1894,4549.04,4743.4479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.7086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.3046,0.0,0.0,0.2923,0.0,0.0,0.0,0.1047,0.0,0.0,0.0,0.3392,0.0,23927.0336,13647.1201,14230.3436,27877.4637,0.0,51804.4973,1229.0803,1380.0,0.0,142.3034,0.0,92.9249,0.0,12420.0,32609.589,46258.6694,1615.2283,47873.8977,3930.5996
200.0,0.0,0.0,15584.7237,4549.04,1026.7086,1229.0803,3610.0524,200.0,200.0,4743.4479,37.9476,2.3717,9708.8907,4549.04,4743.4479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.7086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4233,0.0,0.0,0.4237,0.0,0.0,0.0,0.1078,0.0,0.0,0.0,0.1969,0.0,25075.6125,13647.1201,14230.3436,27877.4637,0.0,52953.0762,1229.0803,1380.0,0.0,142.3034,0.0,92.9249,0.0,12420.0,32609.589,46258.6694,1615.2283,47873.8977,5079.1785
