Electrolyzer_Capacity_MW,Battery_Capacity_MWh,Battery_Power_MW,H2_Storage_Capacity_kg,H2_Constant_Sales_Rate_kg_hr,pIES_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_hr,qSteam_Electrolyzer_MWth,pAuxiliary_MW,H2_Storage_Level_kg,H2_from_Storage_kg_hr,H2_to_Storage_Input_kg_hr,"Electrolyzer_Status(0=off,1=on)","Electrolyzer_Startup(0=no,1=yes)","Electrolyzer_Shutdown(0=no,1=yes)",DegradationState_Units,pElectrolyzerRampPos_MW,pElectrolyzerRampNeg_MW,qSteamElectrolyzerRampPos_MWth,qSteamElectrolyzerRampNeg_MWth,Battery_SOC_MWh,Battery_Charge_MW,Battery_Discharge_MW,Battery_Charge_Binary,Battery_Discharge_Binary,pGridPurchase_MW,pGridSale_MW,NSR_Electrolyzer_Bid_MW,RampDown_Electrolyzer_Bid_MW,RampUp_Electrolyzer_Bid_MW,RegDown_Electrolyzer_Bid_MW,RegUp_Electrolyzer_Bid_MW,SR_Electrolyzer_Bid_MW,UncU_Electrolyzer_Bid_MW,NSR_Battery_Bid_MW,RampDown_Battery_Bid_MW,RampUp_Battery_Bid_MW,RegDown_Battery_Bid_MW,RegUp_Battery_Bid_MW,SR_Battery_Bid_MW,UncU_Battery_Bid_MW,NSR_Turbine_Bid_MW,RampDown_Turbine_Bid_MW,RampUp_Turbine_Bid_MW,RegDown_Turbine_Bid_MW,RegUp_Turbine_Bid_MW,SR_Turbine_Bid_MW,UncU_Turbine_Bid_MW,Total_NSR_Bid_MW,Total_RampDown_Bid_MW,Total_RampUp_Bid_MW,Total_RegDown_Bid_MW,Total_RegUp_Bid_MW,Total_SR_Bid_MW,Total_UncU_Bid_MW,NSR_Electrolyzer_Deployed_MW,RampDown_Electrolyzer_Deployed_MW,RampUp_Electrolyzer_Deployed_MW,RegDown_Electrolyzer_Deployed_MW,RegUp_Electrolyzer_Deployed_MW,SR_Electrolyzer_Deployed_MW,UncU_Electrolyzer_Deployed_MW,NSR_Battery_Deployed_MW,RampDown_Battery_Deployed_MW,RampUp_Battery_Deployed_MW,RegDown_Battery_Deployed_MW,RegUp_Battery_Deployed_MW,SR_Battery_Deployed_MW,UncU_Battery_Deployed_MW,NSR_Turbine_Deployed_MW,RampDown_Turbine_Deployed_MW,RampUp_Turbine_Deployed_MW,RegDown_Turbine_Deployed_MW,RegUp_Turbine_Deployed_MW,SR_Turbine_Deployed_MW,UncU_Turbine_Deployed_MW,EnergyPrice_LMP_USDperMWh,p_RegU_SPP,loc_RegU_SPP,winning_rate_RegU_SPP,mileage_factor_RegU_SPP,performance_factor_RegU_SPP,deploy_factor_RegU_SPP,p_RegD_SPP,loc_RegD_SPP,winning_rate_RegD_SPP,mileage_factor_RegD_SPP,performance_factor_RegD_SPP,deploy_factor_RegD_SPP,p_Spin_SPP,loc_Spin_SPP,winning_rate_Spin_SPP,deploy_factor_Spin_SPP,p_Sup_SPP,loc_Sup_SPP,winning_rate_Sup_SPP,deploy_factor_Sup_SPP,p_RamU_SPP,loc_RamU_SPP,winning_rate_RamU_SPP,deploy_factor_RamU_SPP,p_RamD_SPP,loc_RamD_SPP,winning_rate_RamD_SPP,deploy_factor_RamD_SPP,p_UncU_SPP,loc_UncU_SPP,winning_rate_UncU_SPP,deploy_factor_UncU_SPP,Revenue_Energy_USD,Revenue_Hydrogen_Sales_USD,Revenue_Hydrogen_Subsidy_USD,Revenue_Hydrogen_USD,Revenue_Ancillary_USD,Revenue_Total_USD,Cost_VOM_Turbine_USD,Cost_VOM_Electrolyzer_USD,Cost_VOM_Battery_USD,Cost_Water_USD,Cost_Ramping_USD,Cost_Storage_Cycle_USD,Cost_Startup_USD,Cost_Fuel_NPP_USD,Cost_Fixed_OM_NPP_USD,Cost_HourlyOpex_NPP_USD,Cost_HourlyOpex_H2_Battery_USD,Cost_HourlyOpex_Total_USD,Profit_Hourly_USD
200.0,0.0,0.0,32742.3471,4484.4378,728.3089,930.6806,2988.0524,200.0,200.0,4743.4478,37.9476,2.3717,9648.5788,0.0,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,728.3089,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8194,11.8194,0.0,0.0,0.0,0.0,150.0,11.8194,11.8194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9377,4.853,0.0,0.0,26.2295,7.4129,0.0,0.7527,0.2026,0.9449,0.5455,1.0814,0.0,0.7527,0.2026,0.9449,0.1054,4.5826,0.0,0.3979,0.0,0.499,0.0,0.2144,0.0,3.5815,0.0,0.5483,0.0,0.0,0.0,0.7902,0.0,0.0,0.0,0.7355,0.0,19103.177,0.0,14230.3433,14230.3433,522.0175,33855.5378,930.6806,1380.0,0.0,142.3034,0.0,47.4345,0.0,9425.0,24746.0046,35101.6851,1569.7379,36671.4231,-2815.8852
200.0,0.0,0.0,32742.3471,4484.4378,728.3089,930.6806,2988.0524,200.0,200.0,4743.4478,37.9476,2.3717,9721.2007,4484.4378,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,728.3089,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8194,11.8194,0.0,0.0,0.0,0.0,0.0,11.8194,11.8194,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0859,4.7783,0.0,0.0,25.7878,6.4253,0.0,0.71,0.2032,0.9303,0.5694,1.1042,0.0,0.71,0.2032,0.9303,0.1294,4.6714,0.0,0.448,0.0,0.499,0.0,0.2489,0.0,3.6704,0.0,0.5507,0.0,0.0,0.0,0.6028,0.0,0.0,0.0,0.4487,0.0,18781.4466,13453.3133,14230.3433,27683.6566,528.3282,46993.4313,930.6806,1380.0,0.0,142.3034,0.0,92.2789,0.0,9425.0,24746.0046,35101.6851,1614.5823,36716.2674,10277.1639
200.0,0.0,0.0,32742.3471,4484.4378,728.3089,930.6806,2988.0524,200.0,200.0,4743.4478,37.9476,2.3717,9793.8226,4484.4378,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,728.3089,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8194,11.8194,0.0,0.0,0.0,0.0,150.0,11.8194,11.8194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2721,5.0052,0.0,0.0,24.491,7.0519,0.0,0.7175,0.2153,0.9725,0.5902,1.0754,0.0,0.7175,0.2153,0.9725,0.15,5.1652,0.0,0.2669,0.0,0.499,0.0,0.1174,0.0,3.8628,0.0,0.4313,0.0,0.0,0.0,0.6413,0.0,0.0,0.0,0.6155,0.0,17837.0121,13453.3133,14230.3433,27683.6566,472.5623,45993.2309,930.6806,1380.0,0.0,142.3034,0.0,92.2789,0.0,9425.0,24746.0046,35101.6851,1614.5823,36716.2674,9276.9635
200.0,0.0,0.0,32742.3471,4484.4378,728.3089,930.6806,2988.0524,200.0,200.0,4743.4478,37.9476,2.3717,9866.4445,4484.4378,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,728.3089,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8194,11.8194,0.0,0.0,0.0,0.0,150.0,11.8194,11.8194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9037,6.9769,0.0,0.0,22.3108,7.0259,0.0,0.9744,0.2117,0.8916,0.6058,1.0754,0.0,0.9744,0.2117,0.8916,0.1653,5.2297,0.0,0.4184,0.0,0.499,0.0,0.2487,0.0,3.7739,0.0,0.7802,0.0,0.0,0.0,0.6774,0.0,0.0,0.0,0.5558,0.0,16249.1167,13453.3133,14230.3433,27683.6566,733.0947,44665.868,930.6806,1380.0,0.0,142.3034,0.0,92.2789,0.0,9425.0,24746.0046,35101.6851,1614.5823,36716.2674,7949.6006
200.0,0.0,0.0,32742.3471,4484.4378,728.3089,930.6806,2988.0524,200.0,200.0,4743.4478,37.9476,2.3717,9939.0665,4484.4378,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,728.3089,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8194,11.8194,0.0,0.0,0.0,0.0,150.0,11.8194,11.8194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5753,5.3382,0.0,0.0,21.0378,6.7312,0.0,0.7224,0.1924,0.9373,0.6252,1.0754,0.0,0.7224,0.1924,0.9373,0.1845,5.6692,0.0,0.2368,0.0,0.5,0.0,0.1354,0.0,4.6681,0.0,0.6706,0.0,0.0,0.0,0.5599,0.0,0.0,0.0,0.6554,0.0,15321.9795,13453.3133,14230.3433,27683.6566,681.6643,43687.3004,930.6806,1380.0,0.0,142.3034,0.0,92.2789,0.0,9425.0,24746.0046,35101.6851,1614.5823,36716.2674,6971.0329
200.0,0.0,0.0,32742.3471,4484.4378,728.3089,930.6806,2988.0524,200.0,200.0,4743.4478,37.9476,2.3717,10011.6884,4484.4378,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,728.3089,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8194,11.8194,0.0,0.0,0.0,0.0,150.0,11.8194,11.8194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9614,6.3011,0.0,0.0,20.653,8.9411,0.0,0.8339,0.1941,0.9906,0.6393,1.0754,0.0,0.8339,0.1941,0.9906,0.199,7.4134,0.0,0.377,0.0,0.5001,0.0,0.2513,0.0,6.4133,0.0,0.6436,0.0,0.0,0.0,0.547,0.0,0.0,0.0,0.5689,0.0,15041.7627,13453.3133,14230.3433,27683.6566,888.5096,43613.9288,930.6806,1380.0,0.0,142.3034,0.0,92.2789,0.0,9425.0,24746.0046,35101.6851,1614.5823,36716.2674,6897.6614
200.0,0.0,0.0,32742.3471,4484.4378,728.3089,930.6806,2988.0524,200.0,200.0,4743.4478,37.9476,2.3717,10084.3103,4484.4378,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,728.3089,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8194,11.8194,0.0,0.0,0.0,0.0,150.0,11.8194,11.8194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1251,6.5159,0.0,0.0,21.5792,12.2604,0.0,0.8445,0.1918,0.9096,0.6528,1.0814,0.0,0.8445,0.1918,0.9096,0.2129,11.0,0.0,0.4432,0.0,0.7004,0.0,0.1148,0.0,10.0,0.0,0.5897,0.0,0.0,0.0,0.4067,0.0,0.0,0.0,0.6992,0.0,15716.3588,13453.3133,14230.3433,27683.6566,1204.1873,44604.2026,930.6806,1380.0,0.0,142.3034,0.0,92.2789,0.0,9425.0,24746.0046,35101.6851,1614.5823,36716.2674,7887.9352
200.0,0.0,0.0,32742.3471,4484.4378,728.3089,930.6806,2988.0524,200.0,200.0,4743.4478,37.9476,2.3717,10156.9322,4484.4378,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,728.3089,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8194,11.8194,0.0,0.0,0.0,0.0,150.0,11.8194,11.8194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3535,7.2232,0.0,0.0,27.4598,17.0652,0.0,0.9366,0.2014,0.937,0.6525,1.0754,0.0,0.9366,0.2014,0.937,0.2126,13.9079,0.0,0.4956,0.0,0.73,0.0,0.2712,0.0,14.0,0.0,0.5245,0.0,0.0,0.0,0.5485,0.0,0.0,0.0,0.5273,0.0,19999.179,13453.3133,14230.3433,27683.6566,1565.2421,49248.0777,930.6806,1380.0,0.0,142.3034,0.0,92.2789,0.0,9425.0,24746.0046,35101.6851,1614.5823,36716.2674,12531.8103
200.0,0.0,0.0,32742.3471,4484.4378,728.3089,930.6806,2988.0524,200.0,200.0,4743.4478,37.9476,2.3717,10229.5541,4484.4378,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,728.3089,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8194,11.8194,0.0,0.0,0.0,0.0,150.0,11.8194,11.8194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7148,5.4025,0.0,0.0,26.7567,16.6511,0.0,0.7091,0.2063,0.9759,0.6446,0.6632,0.0,0.7091,0.2063,0.9759,0.2046,13.938,0.0,0.3653,0.0,0.73,0.0,0.2361,0.0,14.0,0.0,0.4102,0.0,0.0,0.0,0.4908,0.0,0.0,0.0,0.7613,0.3569,19487.1778,13453.3133,14230.3433,27683.6566,1196.969,48367.8034,930.6806,1380.0,0.0,142.3034,0.0,92.2789,0.0,9425.0,24746.0046,35101.6851,1614.5823,36716.2674,11651.536
200.0,0.0,0.0,32742.3471,4484.4378,728.3089,930.6806,2988.0524,200.0,200.0,4743.4478,37.9476,2.3717,10302.176,4484.4378,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,728.3089,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8194,11.8194,0.0,0.0,0.0,0.0,150.0,11.8194,11.8194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9594,6.4288,0.0,0.0,23.4508,14.8796,0.0,0.8594,0.1856,0.9406,0.6329,0.5183,0.0,0.8594,0.1856,0.9406,0.1929,10.7384,0.0,0.2263,0.0,0.73,0.0,0.1646,0.0,14.0,0.0,0.6115,0.0,0.0,0.0,0.5538,0.0,0.0,0.0,0.6726,0.0,17079.3888,13453.3133,14230.3433,27683.6566,1637.2645,46400.3099,930.6806,1380.0,0.0,142.3034,0.0,92.2789,0.0,9425.0,24746.0046,35101.6851,1614.5823,36716.2674,9684.0425
