Electrolyzer_Capacity_MW,Battery_Capacity_MWh,Battery_Power_MW,H2_Storage_Capacity_kg,H2_Constant_Sales_Rate_kg_hr,pIES_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_hr,qSteam_Electrolyzer_MWth,pAuxiliary_MW,H2_Storage_Level_kg,H2_from_Storage_kg_hr,H2_to_Storage_Input_kg_hr,"Electrolyzer_Status(0=off,1=on)","Electrolyzer_Startup(0=no,1=yes)","Electrolyzer_Shutdown(0=no,1=yes)",DegradationState_Units,pElectrolyzerRampPos_MW,pElectrolyzerRampNeg_MW,qSteamElectrolyzerRampPos_MWth,qSteamElectrolyzerRampNeg_MWth,Battery_SOC_MWh,Battery_Charge_MW,Battery_Discharge_MW,Battery_Charge_Binary,Battery_Discharge_Binary,pGridPurchase_MW,pGridSale_MW,ECRS_Electrolyzer_Bid_MW,NSR_Electrolyzer_Bid_MW,RegDown_Electrolyzer_Bid_MW,RegUp_Electrolyzer_Bid_MW,SR_Electrolyzer_Bid_MW,ECRS_Battery_Bid_MW,NSR_Battery_Bid_MW,RegDown_Battery_Bid_MW,RegUp_Battery_Bid_MW,SR_Battery_Bid_MW,ECRS_Turbine_Bid_MW,NSR_Turbine_Bid_MW,RegDown_Turbine_Bid_MW,RegUp_Turbine_Bid_MW,SR_Turbine_Bid_MW,Total_ECRS_Bid_MW,Total_NSR_Bid_MW,Total_RegDown_Bid_MW,Total_RegUp_Bid_MW,Total_SR_Bid_MW,ECRS_Electrolyzer_Deployed_MW,NSR_Electrolyzer_Deployed_MW,RegDown_Electrolyzer_Deployed_MW,RegUp_Electrolyzer_Deployed_MW,SR_Electrolyzer_Deployed_MW,ECRS_Battery_Deployed_MW,NSR_Battery_Deployed_MW,RegDown_Battery_Deployed_MW,RegUp_Battery_Deployed_MW,SR_Battery_Deployed_MW,ECRS_Turbine_Deployed_MW,NSR_Turbine_Deployed_MW,RegDown_Turbine_Deployed_MW,RegUp_Turbine_Deployed_MW,SR_Turbine_Deployed_MW,EnergyPrice_LMP_USDperMWh,p_RegU_ERCOT,loc_RegU_ERCOT,winning_rate_RegU_ERCOT,mileage_factor_RegU_ERCOT,performance_factor_RegU_ERCOT,deploy_factor_RegU_ERCOT,p_RegD_ERCOT,loc_RegD_ERCOT,winning_rate_RegD_ERCOT,mileage_factor_RegD_ERCOT,performance_factor_RegD_ERCOT,deploy_factor_RegD_ERCOT,p_Spin_ERCOT,loc_Spin_ERCOT,winning_rate_Spin_ERCOT,deploy_factor_Spin_ERCOT,p_NSpin_ERCOT,loc_NSpin_ERCOT,winning_rate_NSpin_ERCOT,deploy_factor_NSpin_ERCOT,p_ECRS_ERCOT,loc_ECRS_ERCOT,winning_rate_ECRS_ERCOT,deploy_factor_ECRS_ERCOT,Revenue_Energy_USD,Revenue_Hydrogen_Sales_USD,Revenue_Hydrogen_Subsidy_USD,Revenue_Hydrogen_USD,Revenue_Ancillary_USD,Revenue_Total_USD,Cost_VOM_Turbine_USD,Cost_VOM_Electrolyzer_USD,Cost_VOM_Battery_USD,Cost_Water_USD,Cost_Ramping_USD,Cost_Storage_Cycle_USD,Cost_Startup_USD,Cost_Fuel_NPP_USD,Cost_Fixed_OM_NPP_USD,Cost_HourlyOpex_NPP_USD,Cost_HourlyOpex_H2_Battery_USD,Cost_HourlyOpex_Total_USD,Profit_Hourly_USD
200.0,0.0,0.0,25213.9888,4510.2081,1138.59,1340.9617,3815.0524,200.0,200.0,4743.4478,37.9476,2.3717,9648.5788,0.0,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1138.59,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3383,13.3383,0.0,0.0,0.0,13.3383,13.3383,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0619,5.9279,0.0,13.0682,1.49,0.0,0.825,8.1752,0.8511,0.5387,1.51,0.0,0.825,8.1752,0.8511,0.0965,1.0,0.0,0.2888,0.0,0.94,0.0,0.2115,0.0,0.1,0.0,0.6327,0.0,14879.3212,0.0,14230.3433,14230.3433,167.6767,29277.3412,1340.9617,1380.0,0.0,142.3034,0.0,47.4345,0.0,13543.0,35558.105,50442.0667,1569.7379,52011.8046,-22734.4634
200.0,0.0,0.0,25213.9888,4510.2081,1138.59,1340.9617,3815.0524,200.0,200.0,4743.4478,37.9476,2.3717,9694.9044,4510.2081,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1138.59,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3383,13.3383,0.0,0.0,0.0,13.3383,13.3383,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552,6.5697,0.0,15.0423,1.47,0.0,0.8827,7.2508,1.0,0.558,1.25,0.0,0.8827,7.2508,1.0,0.1151,1.0,0.0,0.2963,0.0,0.94,0.0,0.1129,0.0,0.11,0.0,0.4186,0.0,17127.0116,13530.6244,14230.3433,27760.9677,195.6784,45083.6576,1340.9617,1380.0,0.0,142.3034,0.0,92.5366,0.0,13543.0,35558.105,50442.0667,1614.84,52056.9067,-6973.249
200.0,0.0,0.0,25213.9888,4510.2081,1138.59,1340.9617,3815.0524,200.0,200.0,4743.4478,37.9476,2.3717,9741.2301,4510.2081,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1138.59,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3383,13.3383,0.0,0.0,0.0,13.3383,13.3383,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3472,5.7228,0.0,15.7947,1.8,0.0,0.7405,7.662,1.0,0.5794,1.25,0.0,0.7405,7.662,1.0,0.1364,1.0,0.0,0.291,0.0,1.23,0.0,0.1775,0.0,0.12,0.0,0.638,0.0,17983.6867,13530.6244,14230.3433,27760.9677,185.4431,45930.0975,1340.9617,1380.0,0.0,142.3034,0.0,92.5366,0.0,13543.0,35558.105,50442.0667,1614.84,52056.9067,-6126.8092
200.0,0.0,0.0,25213.9888,4510.2081,1138.59,1340.9617,3815.0524,200.0,200.0,4743.4478,37.9476,2.3717,9787.5557,4510.2081,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1138.59,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3383,13.3383,0.0,0.0,0.0,13.3383,13.3383,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9124,7.4077,0.0,16.8625,1.6,0.0,0.9298,9.124,0.9707,0.5973,1.25,0.0,0.9298,9.124,0.9707,0.1542,1.0,0.0,0.4385,0.0,1.23,0.0,0.268,0.0,0.13,0.0,0.5557,0.0,19199.473,13530.6244,14230.3433,27760.9677,258.2806,47218.7213,1340.9617,1380.0,0.0,142.3034,0.0,92.5366,0.0,13543.0,35558.105,50442.0667,1614.84,52056.9067,-4838.1854
200.0,0.0,0.0,25213.9888,4510.2081,1138.59,1340.9617,3815.0524,200.0,200.0,4743.4478,37.9476,2.3717,9833.8813,4510.2081,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1138.59,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3383,13.3383,0.0,0.0,0.0,13.3383,13.3383,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.227,7.8319,0.0,18.6922,2.0,0.0,0.9492,7.7654,0.9559,0.6186,1.25,0.0,0.9492,7.7654,0.9559,0.1759,1.01,0.0,0.3459,0.0,1.23,0.0,0.2578,0.0,0.14,0.0,0.5949,0.0,21282.7511,13530.6244,14230.3433,27760.9677,281.5753,49325.294,1340.9617,1380.0,0.0,142.3034,0.0,92.5366,0.0,13543.0,35558.105,50442.0667,1614.84,52056.9067,-2731.6127
200.0,0.0,0.0,25213.9888,4510.2081,1138.59,1340.9617,3815.0524,200.0,200.0,4743.4478,37.9476,2.3717,9880.2069,4510.2081,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,1138.59,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3383,13.3383,0.0,0.0,0.0,13.3383,13.3383,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4961,8.2621,0.0,21.205,3.19,0.0,0.9767,6.3495,0.9673,0.6342,1.49,0.0,0.9767,6.3495,0.9673,0.1916,1.0,0.0,0.2658,0.0,1.25,0.0,0.187,0.0,0.15,0.0,0.5022,0.0,24143.743,13530.6244,14230.3433,27760.9677,328.9648,52233.6755,1340.9617,1380.0,0.0,142.3034,0.0,92.5366,0.0,13543.0,35558.105,50442.0667,1614.84,52056.9067,176.7688
200.0,0.0,0.0,25213.9888,4510.2081,1138.59,1340.9617,3815.0524,200.0,200.0,4743.4478,37.9476,2.3717,9926.5326,4510.2081,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1138.59,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3383,13.3383,0.0,0.0,150.0,13.3383,13.3383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0356,6.3641,0.0,23.768,3.98,0.0,0.7337,8.6696,0.9796,0.6503,1.93,0.0,0.7337,8.6696,0.9796,0.208,1.5,0.0,0.3986,0.0,2.72,0.0,0.2788,0.0,2.0,0.0,0.3738,0.0,27062.0629,13530.6244,14230.3433,27760.9677,371.2299,55194.2604,1340.9617,1380.0,0.0,142.3034,0.0,92.5366,0.0,13543.0,35558.105,50442.0667,1614.84,52056.9067,3137.3537
200.0,0.0,0.0,25213.9888,4510.2081,1138.59,1340.9617,3815.0524,200.0,200.0,4743.4478,37.9476,2.3717,9972.8582,4510.2081,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1138.59,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3383,13.3383,0.0,0.0,0.0,13.3383,13.3383,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1175,6.62,0.0,28.063,3.47,0.0,0.7625,6.3594,0.9913,0.6509,1.92,0.0,0.7625,6.3594,0.9913,0.2082,1.97,0.0,0.3661,0.0,2.72,0.0,0.2496,0.0,2.0,0.0,0.3467,0.0,31952.2498,13530.6244,14230.3433,27760.9677,408.2006,60121.418,1340.9617,1380.0,0.0,142.3034,0.0,92.5366,0.0,13543.0,35558.105,50442.0667,1614.84,52056.9067,8064.5113
200.0,0.0,0.0,25213.9888,4510.2081,1138.59,1340.9617,3815.0524,200.0,200.0,4743.4478,37.9476,2.3717,10019.1838,4510.2081,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1138.59,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3383,13.3383,0.0,150.0,0.0,13.3383,13.3383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7471,8.5057,0.0,40.9165,2.52,0.0,0.9761,6.9774,0.9938,0.6533,5.73,0.0,0.9761,6.9774,0.9938,0.211,2.05,0.0,0.3149,0.0,2.15,0.0,0.1906,0.0,5.05,0.0,0.4624,0.0,46587.1157,13530.6244,14230.3433,27760.9677,918.1039,75266.1873,1340.9617,1380.0,0.0,142.3034,0.0,92.5366,0.0,13543.0,35558.105,50442.0667,1614.84,52056.9067,23209.2806
200.0,0.0,0.0,25213.9888,4510.2081,1138.59,1340.9617,3815.0524,200.0,200.0,4743.4478,37.9476,2.3717,10065.5094,4510.2081,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1138.59,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3383,13.3383,0.0,150.0,0.0,13.3383,13.3383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0697,6.6508,0.0,20.634,2.5,0.0,0.7774,7.8188,0.8965,0.6414,2.55,0.0,0.7774,7.8188,0.8965,0.1996,1.5,0.0,0.2729,0.0,2.15,0.0,0.166,0.0,4.2,0.0,0.3943,0.0,23493.665,13530.6244,14230.3433,27760.9677,480.7125,51735.3452,1340.9617,1380.0,0.0,142.3034,0.0,92.5366,0.0,13543.0,35558.105,50442.0667,1614.84,52056.9067,-321.5615
