Electrolyzer_Capacity_MW,Battery_Capacity_MWh,Battery_Power_MW,H2_Storage_Capacity_kg,H2_Constant_Sales_Rate_kg_hr,pIES_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_hr,qSteam_Electrolyzer_MWth,pAuxiliary_MW,H2_Storage_Level_kg,H2_from_Storage_kg_hr,H2_to_Storage_Input_kg_hr,"Electrolyzer_Status(0=off,1=on)","Electrolyzer_Startup(0=no,1=yes)","Electrolyzer_Shutdown(0=no,1=yes)",DegradationState_Units,pElectrolyzerRampPos_MW,pElectrolyzerRampNeg_MW,qSteamElectrolyzerRampPos_MWth,qSteamElectrolyzerRampNeg_MWth,Battery_SOC_MWh,Battery_Charge_MW,Battery_Discharge_MW,Battery_Charge_Binary,Battery_Discharge_Binary,pGridPurchase_MW,pGridSale_MW,NSR_Electrolyzer_Bid_MW,RegDown_Electrolyzer_Bid_MW,RegUp_Electrolyzer_Bid_MW,SR_Electrolyzer_Bid_MW,ThirtyMin_Electrolyzer_Bid_MW,NSR_Battery_Bid_MW,RegDown_Battery_Bid_MW,RegUp_Battery_Bid_MW,SR_Battery_Bid_MW,ThirtyMin_Battery_Bid_MW,NSR_Turbine_Bid_MW,RegDown_Turbine_Bid_MW,RegUp_Turbine_Bid_MW,SR_Turbine_Bid_MW,ThirtyMin_Turbine_Bid_MW,Total_NSR_Bid_MW,Total_RegDown_Bid_MW,Total_RegUp_Bid_MW,Total_SR_Bid_MW,Total_ThirtyMin_Bid_MW,NSR_Electrolyzer_Deployed_MW,RegDown_Electrolyzer_Deployed_MW,RegUp_Electrolyzer_Deployed_MW,SR_Electrolyzer_Deployed_MW,ThirtyMin_Electrolyzer_Deployed_MW,NSR_Battery_Deployed_MW,RegDown_Battery_Deployed_MW,RegUp_Battery_Deployed_MW,SR_Battery_Deployed_MW,ThirtyMin_Battery_Deployed_MW,NSR_Turbine_Deployed_MW,RegDown_Turbine_Deployed_MW,RegUp_Turbine_Deployed_MW,SR_Turbine_Deployed_MW,ThirtyMin_Turbine_Deployed_MW,EnergyPrice_LMP_USDperMWh,p_RegUp_PJM,loc_RegUp_PJM,winning_rate_RegUp_PJM,mileage_factor_RegUp_PJM,performance_factor_RegUp_PJM,deploy_factor_RegUp_PJM,p_RegDown_PJM,loc_RegDown_PJM,winning_rate_RegDown_PJM,mileage_factor_RegDown_PJM,performance_factor_RegDown_PJM,deploy_factor_RegDown_PJM,p_Syn_PJM,loc_Syn_PJM,winning_rate_Syn_PJM,deploy_factor_Syn_PJM,p_Rse_PJM,loc_Rse_PJM,winning_rate_Rse_PJM,deploy_factor_Rse_PJM,p_TMR_PJM,loc_TMR_PJM,winning_rate_TMR_PJM,deploy_factor_TMR_PJM,Revenue_Energy_USD,Revenue_Hydrogen_Sales_USD,Revenue_Hydrogen_Subsidy_USD,Revenue_Hydrogen_USD,Revenue_Ancillary_USD,Revenue_Total_USD,Cost_VOM_Turbine_USD,Cost_VOM_Electrolyzer_USD,Cost_VOM_Battery_USD,Cost_Water_USD,Cost_Ramping_USD,Cost_Storage_Cycle_USD,Cost_Startup_USD,Cost_Fuel_NPP_USD,Cost_Fixed_OM_NPP_USD,Cost_HourlyOpex_NPP_USD,Cost_HourlyOpex_H2_Battery_USD,Cost_HourlyOpex_Total_USD,Profit_Hourly_USD
200.0,0.0,0.0,55722.6829,4339.6905,708.9452,911.317,2862.0524,200.0,200.0,4743.4478,37.9476,2.3717,9648.5788,0.0,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,708.9452,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.083,12.083,0.0,0.0,0.0,12.083,12.083,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9248,5.2194,0.0,0.0,35.7115,10.72,0.0,0.8065,4.8898,0.9477,0.5356,10.72,0.0,0.8065,4.8898,0.9477,0.0949,0.04,0.0,0.4955,0.0,0.04,0.0,0.1779,0.0,0.0,0.0,0.1549,0.0,25317.498,0.0,14230.3433,14230.3433,431.3238,39979.1651,911.317,1380.0,0.0,142.3034,0.0,47.4345,0.0,9234.0,24244.5205,34389.8375,1569.7379,35959.5754,4019.5896
200.0,0.0,0.0,55722.6829,4339.6905,708.9452,911.317,2862.0524,200.0,200.0,4743.4478,37.9476,2.3717,9868.902,4339.6905,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,1.0,0.0,0.0,708.9452,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.083,12.083,0.0,0.0,0.0,12.083,12.083,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1584,5.6501,0.0,0.0,22.0836,2.46,0.0,0.8439,6.1737,0.9742,0.5541,2.46,0.0,0.8439,6.1737,0.9742,0.1136,0.04,0.0,0.4275,0.0,0.04,0.0,0.2563,0.0,0.0,0.0,0.1044,0.0,15656.0631,13019.0714,14230.3433,27249.4147,203.0887,43108.5666,911.317,1380.0,0.0,142.3034,0.0,90.8314,0.0,9234.0,24244.5205,34389.8375,1613.1348,36002.9723,7105.5943
200.0,0.0,0.0,55722.6829,4339.6905,708.9452,911.317,2862.0524,200.0,200.0,4743.4478,37.9476,2.3717,10089.2253,4339.6905,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,708.9452,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.083,12.083,0.0,0.0,0.0,12.083,12.083,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5364,6.5337,0.0,0.0,18.1995,4.54,0.0,0.9391,4.548,0.9231,0.5758,4.54,0.0,0.9391,4.548,0.9231,0.1354,0.01,0.0,0.3973,0.0,0.01,0.0,0.3532,0.0,0.0,0.0,0.1604,0.0,12902.4489,13019.0714,14230.3433,27249.4147,250.5003,40402.364,911.317,1380.0,0.0,142.3034,0.0,90.8314,0.0,9234.0,24244.5205,34389.8375,1613.1348,36002.9723,4399.3916
200.0,0.0,0.0,55722.6829,4339.6905,708.9452,911.317,2862.0524,200.0,200.0,4743.4478,37.9476,2.3717,10309.5485,4339.6905,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,708.9452,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.083,12.083,0.0,0.0,0.0,12.083,12.083,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7007,6.4271,0.0,0.0,21.1772,3.62,0.0,0.888,6.7944,0.94,0.599,3.62,0.0,0.888,6.7944,0.94,0.1585,0.02,0.0,0.368,0.0,0.02,0.0,0.197,0.0,0.0,0.0,0.2798,0.0,15013.4752,13019.0714,14230.3433,27249.4147,250.9108,42513.8007,911.317,1380.0,0.0,142.3034,0.0,90.8314,0.0,9234.0,24244.5205,34389.8375,1613.1348,36002.9723,6510.8283
200.0,0.0,0.0,55722.6829,4339.6905,708.9452,911.317,2862.0524,200.0,200.0,4743.4478,37.9476,2.3717,10529.8717,4339.6905,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,708.9452,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.083,12.083,0.0,0.0,0.0,12.083,12.083,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6143,5.7519,0.0,0.0,18.502,8.64,0.0,0.7772,5.408,0.9409,0.6125,8.64,0.0,0.7772,5.408,0.9409,0.1719,0.01,0.0,0.4323,0.0,0.01,0.0,0.3118,0.0,0.0,0.0,0.2353,0.0,13116.9049,13019.0714,14230.3433,27249.4147,299.2141,40665.5337,911.317,1380.0,0.0,142.3034,0.0,90.8314,0.0,9234.0,24244.5205,34389.8375,1613.1348,36002.9723,4662.5614
200.0,0.0,0.0,55722.6829,4339.6905,708.9452,911.317,2862.0524,200.0,200.0,4743.4478,37.9476,2.3717,10750.195,4339.6905,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,1.0,0.0,0.0,708.9452,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.083,12.083,0.0,0.0,150.0,12.083,12.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0336,6.9379,0.0,0.0,21.5413,23.03,0.0,0.9212,6.06,1.0,0.6233,23.03,0.0,0.9212,6.06,1.0,0.1827,0.02,0.0,0.2754,0.0,0.02,0.0,0.2754,0.0,0.0,0.0,0.237,0.0,15271.6021,13019.0714,14230.3433,27249.4147,706.7728,43227.7896,911.317,1380.0,0.0,142.3034,0.0,90.8314,0.0,9234.0,24244.5205,34389.8375,1613.1348,36002.9723,7224.8173
200.0,0.0,0.0,55722.6829,4339.6905,708.9452,911.317,2862.0524,200.0,200.0,4743.4478,37.9476,2.3717,10970.5182,4339.6905,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,708.9452,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.083,12.083,0.0,0.0,0.0,12.083,12.083,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6142,5.3951,0.0,0.0,17.919,18.54,0.0,0.7102,5.4329,0.9731,0.6287,18.54,0.0,0.7102,5.4329,0.9731,0.1881,0.01,0.0,0.3772,0.0,0.0,0.0,0.3429,0.0,0.0,0.0,0.3675,0.0,12703.5898,13019.0714,14230.3433,27249.4147,444.362,40397.3665,911.317,1380.0,0.0,142.3034,0.0,90.8314,0.0,9234.0,24244.5205,34389.8375,1613.1348,36002.9723,4394.3942
200.0,0.0,0.0,55722.6829,4339.6905,708.9452,911.317,2862.0524,200.0,200.0,4743.4478,37.9476,2.3717,11190.8414,4339.6905,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,708.9452,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.083,12.083,0.0,0.0,0.0,12.083,12.083,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9649,6.8726,0.0,0.0,16.3735,13.48,0.0,0.9229,5.4335,0.9019,0.6163,13.48,0.0,0.9229,5.4335,0.9019,0.1762,0.01,0.0,0.4368,0.0,0.0,0.0,0.3515,0.0,0.0,0.0,0.3935,0.0,11607.9149,13019.0714,14230.3433,27249.4147,445.9988,39303.3284,911.317,1380.0,0.0,142.3034,0.0,90.8314,0.0,9234.0,24244.5205,34389.8375,1613.1348,36002.9723,3300.3561
200.0,0.0,0.0,55722.6829,4339.6905,708.9452,911.317,2862.0524,200.0,200.0,4743.4478,37.9476,2.3717,11411.1647,4339.6905,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,708.9452,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.083,12.083,0.0,0.0,0.0,12.083,12.083,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8201,6.3504,0.0,0.0,18.7902,7.84,0.0,0.8525,6.2846,0.8671,0.6165,7.84,0.0,0.8525,6.2846,0.8671,0.1767,0.01,0.0,0.2199,0.0,0.0,0.0,0.2751,0.0,0.0,0.0,0.3702,0.0,13321.2229,13019.0714,14230.3433,27249.4147,315.3731,40886.0107,911.317,1380.0,0.0,142.3034,0.0,90.8314,0.0,9234.0,24244.5205,34389.8375,1613.1348,36002.9723,4883.0384
200.0,0.0,0.0,55722.6829,4339.6905,708.9452,911.317,2862.0524,200.0,200.0,4743.4478,37.9476,2.3717,11631.4879,4339.6905,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,708.9452,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.083,12.083,0.0,0.0,0.0,12.083,12.083,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6069,5.8006,0.0,0.0,19.6955,13.23,0.0,0.7897,5.7457,0.9759,0.6079,13.23,0.0,0.7897,5.7457,0.9759,0.1684,0.01,0.0,0.3725,0.0,0.0,0.0,0.3218,0.0,0.0,0.0,0.2322,0.0,13963.031,13019.0714,14230.3433,27249.4147,398.9324,41611.3782,911.317,1380.0,0.0,142.3034,0.0,90.8314,0.0,9234.0,24244.5205,34389.8375,1613.1348,36002.9723,5608.4058
200.0,0.0,0.0,55722.6829,4339.6905,708.9452,911.317,2862.0524,200.0,200.0,4743.4478,37.9476,2.3717,11851.8111,4339.6905,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,708.9452,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.083,12.083,0.0,0.0,0.0,12.083,12.083,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0326,7.1554,0.0,0.0,32.868,17.06,0.0,0.9651,6.3357,0.906,0.6136,17.06,0.0,0.9651,6.3357,0.906,0.1743,0.01,0.0,0.4534,0.0,0.0,0.0,0.2279,0.0,0.0,0.0,0.3712,0.0,23301.6122,13019.0714,14230.3433,27249.4147,700.555,51251.5819,911.317,1380.0,0.0,142.3034,0.0,90.8314,0.0,9234.0,24244.5205,34389.8375,1613.1348,36002.9723,15248.6096
200.0,0.0,0.0,55722.6829,4339.6905,708.9452,911.317,2862.0524,200.0,200.0,4743.4478,37.9476,2.3717,12072.1343,4339.6905,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,708.9452,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.083,12.083,0.0,0.0,0.0,12.083,12.083,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.988,7.126,0.0,0.0,25.388,8.43,0.0,0.9684,5.2192,0.9637,0.609,8.43,0.0,0.9684,5.2192,0.9637,0.1699,0.04,0.0,0.3235,0.0,0.0,0.0,0.3599,0.0,0.0,0.0,0.1599,0.0,17998.7018,13019.0714,14230.3433,27249.4147,430.6115,45678.728,911.317,1380.0,0.0,142.3034,0.0,90.8314,0.0,9234.0,24244.5205,34389.8375,1613.1348,36002.9723,9675.7557
200.0,0.0,0.0,55722.6829,4339.6905,708.9452,911.317,2862.0524,200.0,200.0,4743.4478,37.9476,2.3717,12292.4576,4339.6905,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,708.9452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.083,12.083,0.0,0.0,0.0,12.083,12.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0768,7.3426,0.0,0.0,28.2865,6.91,0.0,0.9918,6.0017,0.8781,0.6127,6.91,0.0,0.9918,6.0017,0.8781,0.1733,0.0,0.0,0.2735,0.0,0.0,0.0,0.3809,0.0,0.0,0.0,0.1597,0.0,20053.5796,13019.0714,14230.3433,27249.4147,432.0597,47735.054,911.317,1380.0,0.0,142.3034,0.0,90.8314,0.0,9234.0,24244.5205,34389.8375,1613.1348,36002.9723,11732.0817
200.0,0.0,0.0,55722.6829,4339.6905,708.9452,911.317,2862.0524,200.0,200.0,4743.4478,37.9476,2.3717,12512.7808,4339.6905,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,708.9452,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.083,12.083,0.0,0.0,0.0,12.083,12.083,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9405,6.8555,0.0,0.0,25.817,18.44,0.0,0.9251,5.2369,0.9293,0.6133,18.44,0.0,0.9251,5.2369,0.9293,0.1736,0.04,0.0,0.2581,0.0,0.0,0.0,0.3279,0.0,0.0,0.0,0.3797,0.0,18302.8393,13019.0714,14230.3433,27249.4147,640.8796,46193.1336,911.317,1380.0,0.0,142.3034,0.0,90.8314,0.0,9234.0,24244.5205,34389.8375,1613.1348,36002.9723,10190.1613
200.0,0.0,0.0,55722.6829,4339.6905,708.9452,911.317,2862.0524,200.0,200.0,4743.4478,37.9476,2.3717,12733.104,4339.6905,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,1.0,0.0,0.0,708.9452,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.083,12.083,0.0,0.0,0.0,12.083,12.083,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3412,5.0988,0.0,0.0,24.6345,10.19,0.0,0.7079,5.1976,0.9465,0.5961,10.19,0.0,0.7079,5.1976,0.9465,0.1568,0.04,0.0,0.4577,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.1089,0.0,17464.5116,13019.0714,14230.3433,27249.4147,335.7141,45049.6404,911.317,1380.0,0.0,142.3034,0.0,90.8314,0.0,9234.0,24244.5205,34389.8375,1613.1348,36002.9723,9046.668
200.0,0.0,0.0,55722.6829,4339.6905,708.9452,911.317,2862.0524,200.0,200.0,4743.4478,37.9476,2.3717,12953.4273,4339.6905,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,1.0,0.0,0.0,708.9452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.083,12.083,0.0,0.0,0.0,12.083,12.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3781,5.4844,0.0,0.0,29.9167,6.54,0.0,0.7743,4.8088,0.993,0.5862,6.54,0.0,0.7743,4.8088,0.993,0.1473,0.0,0.0,0.4445,0.0,0.0,0.0,0.3684,0.0,0.0,0.0,0.198,0.0,21209.3021,13019.0714,14230.3433,27249.4147,327.6799,48786.3967,911.317,1380.0,0.0,142.3034,0.0,90.8314,0.0,9234.0,24244.5205,34389.8375,1613.1348,36002.9723,12783.4244
200.0,0.0,0.0,55722.6829,4339.6905,708.9452,911.317,2862.0524,200.0,200.0,4743.4478,37.9476,2.3717,13173.7505,4339.6905,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,708.9452,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.083,12.083,0.0,0.0,0.0,12.083,12.083,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4355,5.9071,0.0,0.0,33.209,59.3,0.0,0.8426,5.4844,0.9418,0.5802,59.3,0.0,0.8426,5.4844,0.9418,0.141,0.02,0.0,0.2015,0.0,0.0,0.0,0.3476,0.0,0.0,0.0,0.1148,0.0,23543.3625,13019.0714,14230.3433,27249.4147,1451.9329,52244.7102,911.317,1380.0,0.0,142.3034,0.0,90.8314,0.0,9234.0,24244.5205,34389.8375,1613.1348,36002.9723,16241.7378
200.0,0.0,0.0,55722.6829,4339.6905,708.9452,911.317,2862.0524,200.0,200.0,4743.4478,37.9476,2.3717,13394.0737,4339.6905,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,708.9452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.083,12.083,0.0,0.0,0.0,12.083,12.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4548,5.9948,0.0,0.0,46.2748,39.39,0.0,0.8557,5.0535,0.9965,0.5798,39.39,0.0,0.8557,5.0535,0.9965,0.1407,0.0,0.0,0.3902,0.0,0.0,0.0,0.2429,0.0,0.0,0.0,0.2871,0.0,32806.2993,13019.0714,14230.3433,27249.4147,1159.2697,61214.9837,911.317,1380.0,0.0,142.3034,0.0,90.8314,0.0,9234.0,24244.5205,34389.8375,1613.1348,36002.9723,25212.0113
