Electrolyzer_Capacity_MW,Battery_Capacity_MWh,Battery_Power_MW,H2_Storage_Capacity_kg,H2_Constant_Sales_Rate_kg_hr,pIES_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_hr,qSteam_Electrolyzer_MWth,pAuxiliary_MW,H2_Storage_Level_kg,H2_from_Storage_kg_hr,H2_to_Storage_Input_kg_hr,"Electrolyzer_Status(0=off,1=on)","Electrolyzer_Startup(0=no,1=yes)","Electrolyzer_Shutdown(0=no,1=yes)",DegradationState_Units,pElectrolyzerRampPos_MW,pElectrolyzerRampNeg_MW,qSteamElectrolyzerRampPos_MWth,qSteamElectrolyzerRampNeg_MWth,Battery_SOC_MWh,Battery_Charge_MW,Battery_Discharge_MW,Battery_Charge_Binary,Battery_Discharge_Binary,pGridPurchase_MW,pGridSale_MW,NSR_Electrolyzer_Bid_MW,RampDown_Electrolyzer_Bid_MW,RampUp_Electrolyzer_Bid_MW,RegDown_Electrolyzer_Bid_MW,RegUp_Electrolyzer_Bid_MW,SR_Electrolyzer_Bid_MW,NSR_Battery_Bid_MW,RampDown_Battery_Bid_MW,RampUp_Battery_Bid_MW,RegDown_Battery_Bid_MW,RegUp_Battery_Bid_MW,SR_Battery_Bid_MW,NSR_Turbine_Bid_MW,RampDown_Turbine_Bid_MW,RampUp_Turbine_Bid_MW,RegDown_Turbine_Bid_MW,RegUp_Turbine_Bid_MW,SR_Turbine_Bid_MW,Total_NSR_Bid_MW,Total_RampDown_Bid_MW,Total_RampUp_Bid_MW,Total_RegDown_Bid_MW,Total_RegUp_Bid_MW,Total_SR_Bid_MW,NSR_Electrolyzer_Deployed_MW,RampDown_Electrolyzer_Deployed_MW,RampUp_Electrolyzer_Deployed_MW,RegDown_Electrolyzer_Deployed_MW,RegUp_Electrolyzer_Deployed_MW,SR_Electrolyzer_Deployed_MW,NSR_Battery_Deployed_MW,RampDown_Battery_Deployed_MW,RampUp_Battery_Deployed_MW,RegDown_Battery_Deployed_MW,RegUp_Battery_Deployed_MW,SR_Battery_Deployed_MW,NSR_Turbine_Deployed_MW,RampDown_Turbine_Deployed_MW,RampUp_Turbine_Deployed_MW,RegDown_Turbine_Deployed_MW,RegUp_Turbine_Deployed_MW,SR_Turbine_Deployed_MW,EnergyPrice_LMP_USDperMWh,p_RegU_CAISO,loc_RegU_CAISO,winning_rate_RegU_CAISO,mileage_factor_RegU_CAISO,performance_factor_RegU_CAISO,deploy_factor_RegU_CAISO,p_RegD_CAISO,loc_RegD_CAISO,winning_rate_RegD_CAISO,mileage_factor_RegD_CAISO,performance_factor_RegD_CAISO,deploy_factor_RegD_CAISO,p_Spin_CAISO,loc_Spin_CAISO,winning_rate_Spin_CAISO,deploy_factor_Spin_CAISO,p_NSpin_CAISO,loc_NSpin_CAISO,winning_rate_NSpin_CAISO,deploy_factor_NSpin_CAISO,p_RMU_CAISO,loc_RMU_CAISO,winning_rate_RMU_CAISO,deploy_factor_RMU_CAISO,p_RMD_CAISO,loc_RMD_CAISO,winning_rate_RMD_CAISO,deploy_factor_RMD_CAISO,Revenue_Energy_USD,Revenue_Hydrogen_Sales_USD,Revenue_Hydrogen_Subsidy_USD,Revenue_Hydrogen_USD,Revenue_Ancillary_USD,Revenue_Total_USD,Cost_VOM_Turbine_USD,Cost_VOM_Electrolyzer_USD,Cost_VOM_Battery_USD,Cost_Water_USD,Cost_Ramping_USD,Cost_Storage_Cycle_USD,Cost_Startup_USD,Cost_Fuel_NPP_USD,Cost_Fixed_OM_NPP_USD,Cost_HourlyOpex_NPP_USD,Cost_HourlyOpex_H2_Battery_USD,Cost_HourlyOpex_Total_USD,Profit_Hourly_USD
200.0,0.0,0.0,19745.916,4524.2898,948.6787,1151.0504,3373.0524,200.0,200.0,4743.4478,37.9476,2.3717,9648.5788,0.0,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,948.6787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9496,12.9496,0.0,0.0,0.0,0.0,12.9496,12.9496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9055,5.1709,0.0,54.9804,0.0,0.0,0.7447,11.1514,1.0,0.5362,0.0,0.0,0.7447,11.1514,1.0,0.0939,0.0,0.0,0.2705,0.0,0.0,0.0,0.1672,0.0,0.0,0.0,0.5444,0.6321,0.0,0.0,0.5448,0.0,52158.7346,0.0,14230.3433,14230.3433,334.0828,66723.1607,1151.0504,1380.0,0.0,142.3034,0.0,47.4345,0.0,11640.0,30561.6438,43352.6943,1569.7379,44922.4322,21800.7285
200.0,0.0,0.0,19745.916,4524.2898,948.6787,1151.0504,3373.0524,200.0,200.0,4743.4478,37.9476,2.3717,9680.5354,4524.2898,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,948.6787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9496,12.9496,0.0,0.0,0.0,0.0,12.9496,12.9496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0276,5.1765,0.0,54.0084,0.0,0.0,0.7247,12.5319,0.9132,0.5516,0.0,0.0,0.7247,12.5319,0.9132,0.1095,0.0,0.0,0.2249,0.0,0.0,0.0,0.1093,0.0,0.0,0.0,0.5054,0.537,0.0,0.0,0.5898,0.0,51236.6189,13572.8693,14230.3433,27803.2126,335.0751,79374.9066,1151.0504,1380.0,0.0,142.3034,0.0,92.6774,0.0,11640.0,30561.6438,43352.6943,1614.9808,44967.6751,34407.2315
200.0,0.0,0.0,19745.916,4524.2898,948.6787,1151.0504,3373.0524,200.0,200.0,4743.4478,37.9476,2.3717,9712.492,4524.2898,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,948.6787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9496,12.9496,0.0,0.0,0.0,0.0,12.9496,12.9496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3602,5.9704,0.0,54.1596,0.0,0.0,0.8049,14.4067,1.0,0.5728,0.0,0.0,0.8049,14.4067,1.0,0.1305,0.0,0.0,0.4573,0.0,0.0,0.0,0.274,0.0,0.0,0.0,0.6741,0.0,0.0,0.0,0.765,0.0,51380.0591,13572.8693,14230.3433,27803.2126,397.021,79580.2926,1151.0504,1380.0,0.0,142.3034,0.0,92.6774,0.0,11640.0,30561.6438,43352.6943,1614.9808,44967.6751,34612.6176
200.0,0.0,0.0,19745.916,4524.2898,948.6787,1151.0504,3373.0524,200.0,200.0,4743.4478,37.9476,2.3717,9744.4486,4524.2898,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,948.6787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9496,12.9496,0.0,0.0,0.0,0.0,12.9496,12.9496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5387,6.1339,0.0,53.2356,0.0,0.0,0.8023,14.6837,0.9373,0.5904,0.0,0.0,0.8023,14.6837,0.9373,0.1481,0.0,0.0,0.4019,0.0,0.0,0.0,0.1982,0.0,0.0,0.0,0.776,0.0,0.0,0.0,0.4057,0.0,50503.48,13572.8693,14230.3433,27803.2126,408.4556,78715.1482,1151.0504,1380.0,0.0,142.3034,0.0,92.6774,0.0,11640.0,30561.6438,43352.6943,1614.9808,44967.6751,33747.4731
200.0,0.0,0.0,19745.916,4524.2898,948.6787,1151.0504,3373.0524,200.0,200.0,4743.4478,37.9476,2.3717,9776.4052,4524.2898,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,948.6787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9496,12.9496,0.0,0.0,0.0,0.0,12.9496,12.9496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0519,7.5176,0.0,51.852,0.0,0.0,0.9534,11.2512,0.9806,0.6089,0.0,0.0,0.9534,11.2512,0.9806,0.1662,0.0,0.0,0.3879,0.0,0.0,0.0,0.1911,0.0,0.0,0.0,0.5601,0.0,0.0,0.0,0.4408,0.0,49190.8881,13572.8693,14230.3433,27803.2126,496.1967,77490.2974,1151.0504,1380.0,0.0,142.3034,0.0,92.6774,0.0,11640.0,30561.6438,43352.6943,1614.9808,44967.6751,32522.6223
200.0,0.0,0.0,19745.916,4524.2898,948.6787,1151.0504,3373.0524,200.0,200.0,4743.4478,37.9476,2.3717,9808.3619,4524.2898,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,1.0,0.0,0.0,948.6787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9496,12.9496,0.0,0.0,0.0,0.0,12.9496,12.9496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7689,6.1032,0.0,49.476,0.0,0.0,0.7576,13.8318,0.948,0.6221,0.0,0.0,0.7576,13.8318,0.948,0.1803,0.0,0.0,0.2111,0.0,0.0,0.0,0.1759,0.0,0.0,0.0,0.6092,0.0,0.0,0.0,0.5839,0.0,46936.8275,13572.8693,14230.3433,27803.2126,389.4762,75129.5163,1151.0504,1380.0,0.0,142.3034,0.0,92.6774,0.0,11640.0,30561.6438,43352.6943,1614.9808,44967.6751,30161.8412
200.0,0.0,0.0,19745.916,4524.2898,948.6787,1151.0504,3373.0524,200.0,200.0,4743.4478,37.9476,2.3717,9840.3185,4524.2898,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,948.6787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9496,12.9496,0.0,0.0,0.0,0.0,12.9496,12.9496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,6.4324,0.0,52.1964,0.0,0.0,0.773,11.5,0.9733,0.6426,0.0,0.0,0.773,11.5,0.9733,0.2008,0.0,0.0,0.3184,0.0,0.0,0.0,0.1757,0.0,0.0,0.0,0.6994,0.0,0.0,0.0,0.4303,0.0,49517.6131,13572.8693,14230.3433,27803.2126,440.6655,77761.4912,1151.0504,1380.0,0.0,142.3034,0.0,92.6774,0.0,11640.0,30561.6438,43352.6943,1614.9808,44967.6751,32793.8161
200.0,0.0,0.0,19745.916,4524.2898,948.6787,1151.0504,3373.0524,200.0,200.0,4743.4478,37.9476,2.3717,9872.2751,4524.2898,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,948.6787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9496,12.9496,0.0,0.0,0.0,0.0,12.9496,12.9496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3538,7.4513,0.0,54.5916,0.0,0.0,0.891,11.4967,0.9783,0.6458,0.0,0.0,0.891,11.4967,0.9783,0.204,0.0,0.0,0.2421,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.7979,0.0,0.0,0.0,0.7852,0.0,51789.8883,13572.8693,14230.3433,27803.2126,535.2734,80128.3743,1151.0504,1380.0,0.0,142.3034,0.0,92.6774,0.0,11640.0,30561.6438,43352.6943,1614.9808,44967.6751,35160.6992
200.0,0.0,0.0,19745.916,4524.2898,948.6787,1151.0504,3373.0524,200.0,200.0,4743.4478,37.9476,2.3717,9904.2317,4524.2898,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,948.6787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9496,12.9496,0.0,0.0,0.0,0.0,12.9496,12.9496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8548,6.012,0.0,43.128,0.0,0.0,0.7278,11.0811,0.992,0.6379,0.0,0.0,0.7278,11.0811,0.992,0.1968,0.0,0.0,0.2707,0.0,0.0,0.0,0.2439,0.0,0.0,0.0,0.4675,0.0,0.0,0.0,0.4388,0.0,40914.6151,13572.8693,14230.3433,27803.2126,339.2792,69057.1069,1151.0504,1380.0,0.0,142.3034,0.0,92.6774,0.0,11640.0,30561.6438,43352.6943,1614.9808,44967.6751,24089.4318
200.0,0.0,0.0,19745.916,4524.2898,948.6787,1151.0504,3373.0524,200.0,200.0,4743.4478,37.9476,2.3717,9936.1883,4524.2898,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,948.6787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9496,12.9496,0.0,0.0,0.0,0.0,12.9496,12.9496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.958,6.5047,0.0,41.3724,0.0,0.0,0.7958,12.2684,0.8996,0.6312,0.0,0.0,0.7958,12.2684,0.8996,0.19,0.0,0.0,0.4343,0.0,0.0,0.0,0.2869,0.0,0.0,0.0,0.5848,0.0,0.0,0.0,0.5735,0.0,39249.1148,13572.8693,14230.3433,27803.2126,350.1217,67402.4491,1151.0504,1380.0,0.0,142.3034,0.0,92.6774,0.0,11640.0,30561.6438,43352.6943,1614.9808,44967.6751,22434.774
