Electrolyzer_Capacity_MW,Battery_Capacity_MWh,Battery_Power_MW,H2_Storage_Capacity_kg,H2_Constant_Sales_Rate_kg_hr,pIES_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_hr,qSteam_Electrolyzer_MWth,pAuxiliary_MW,H2_Storage_Level_kg,H2_from_Storage_kg_hr,H2_to_Storage_Input_kg_hr,"Electrolyzer_Status(0=off,1=on)","Electrolyzer_Startup(0=no,1=yes)","Electrolyzer_Shutdown(0=no,1=yes)",DegradationState_Units,pElectrolyzerRampPos_MW,pElectrolyzerRampNeg_MW,qSteamElectrolyzerRampPos_MWth,qSteamElectrolyzerRampNeg_MWth,Battery_SOC_MWh,Battery_Charge_MW,Battery_Discharge_MW,Battery_Charge_Binary,Battery_Discharge_Binary,pGridPurchase_MW,pGridSale_MW,NSR_Electrolyzer_Bid_MW,RampDown_Electrolyzer_Bid_MW,RampUp_Electrolyzer_Bid_MW,RegDown_Electrolyzer_Bid_MW,RegUp_Electrolyzer_Bid_MW,SR_Electrolyzer_Bid_MW,ThirtyMin_Electrolyzer_Bid_MW,NSR_Battery_Bid_MW,RampDown_Battery_Bid_MW,RampUp_Battery_Bid_MW,RegDown_Battery_Bid_MW,RegUp_Battery_Bid_MW,SR_Battery_Bid_MW,ThirtyMin_Battery_Bid_MW,NSR_Turbine_Bid_MW,RampDown_Turbine_Bid_MW,RampUp_Turbine_Bid_MW,RegDown_Turbine_Bid_MW,RegUp_Turbine_Bid_MW,SR_Turbine_Bid_MW,ThirtyMin_Turbine_Bid_MW,Total_NSR_Bid_MW,Total_RampDown_Bid_MW,Total_RampUp_Bid_MW,Total_RegDown_Bid_MW,Total_RegUp_Bid_MW,Total_SR_Bid_MW,Total_ThirtyMin_Bid_MW,NSR_Electrolyzer_Deployed_MW,RampDown_Electrolyzer_Deployed_MW,RampUp_Electrolyzer_Deployed_MW,RegDown_Electrolyzer_Deployed_MW,RegUp_Electrolyzer_Deployed_MW,SR_Electrolyzer_Deployed_MW,ThirtyMin_Electrolyzer_Deployed_MW,NSR_Battery_Deployed_MW,RampDown_Battery_Deployed_MW,RampUp_Battery_Deployed_MW,RegDown_Battery_Deployed_MW,RegUp_Battery_Deployed_MW,SR_Battery_Deployed_MW,ThirtyMin_Battery_Deployed_MW,NSR_Turbine_Deployed_MW,RampDown_Turbine_Deployed_MW,RampUp_Turbine_Deployed_MW,RegDown_Turbine_Deployed_MW,RegUp_Turbine_Deployed_MW,SR_Turbine_Deployed_MW,ThirtyMin_Turbine_Deployed_MW,EnergyPrice_LMP_USDperMWh,p_RegUp_MISO,loc_RegUp_MISO,winning_rate_RegUp_MISO,mileage_factor_RegUp_MISO,performance_factor_RegUp_MISO,deploy_factor_RegUp_MISO,p_RegDown_MISO,loc_RegDown_MISO,winning_rate_RegDown_MISO,mileage_factor_RegDown_MISO,performance_factor_RegDown_MISO,deploy_factor_RegDown_MISO,p_Spin_MISO,loc_Spin_MISO,winning_rate_Spin_MISO,deploy_factor_Spin_MISO,p_Sup_MISO,loc_Sup_MISO,winning_rate_Sup_MISO,deploy_factor_Sup_MISO,p_STR_MISO,loc_STR_MISO,winning_rate_STR_MISO,deploy_factor_STR_MISO,p_RamU_MISO,loc_RamU_MISO,winning_rate_RamU_MISO,deploy_factor_RamU_MISO,p_RamD_MISO,loc_RamD_MISO,winning_rate_RamD_MISO,deploy_factor_RamD_MISO,Revenue_Energy_USD,Revenue_Hydrogen_Sales_USD,Revenue_Hydrogen_Subsidy_USD,Revenue_Hydrogen_USD,Revenue_Ancillary_USD,Revenue_Total_USD,Cost_VOM_Turbine_USD,Cost_VOM_Electrolyzer_USD,Cost_VOM_Battery_USD,Cost_Water_USD,Cost_Ramping_USD,Cost_Storage_Cycle_USD,Cost_Startup_USD,Cost_Fuel_NPP_USD,Cost_Fixed_OM_NPP_USD,Cost_HourlyOpex_NPP_USD,Cost_HourlyOpex_H2_Battery_USD,Cost_HourlyOpex_Total_USD,Profit_Hourly_USD
200.0,0.0,0.0,20540.4712,4503.1644,820.8108,1023.1825,3053.0524,200.0,200.0,4743.4478,37.9476,2.3717,9648.5788,0.0,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,820.8108,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7175,12.7175,0.0,0.0,0.0,0.0,0.0,12.7175,12.7175,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0092,6.6116,0.0,0.0,27.0132,11.65,0.0,0.9969,6.9373,0.9287,0.5215,11.65,0.0,0.9969,6.9373,0.9287,0.0796,2.18,0.0,0.361,0.0,0.18,0.0,0.1262,0.0,0.0,0.0,0.6184,0.0,0.0,0.0,0.7386,0.0,0.0,0.0,0.5166,0.0,22172.7255,0.0,14230.3433,14230.3433,619.3084,37022.3772,1023.1825,1380.0,0.0,142.3034,0.0,47.4345,0.0,10359.0,27198.2877,38580.4702,1569.7379,40150.2081,-3127.8309
200.0,0.0,0.0,20540.4712,4503.1644,820.8108,1023.1825,3053.0524,200.0,200.0,4743.4478,37.9476,2.3717,9702.0919,4503.1644,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,1.0,0.0,0.0,820.8108,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7175,12.7175,0.0,0.0,0.0,0.0,0.0,12.7175,12.7175,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,5.1969,0.0,0.0,27.1056,6.77,0.0,0.7457,6.5403,0.9029,0.548,6.77,0.0,0.7457,6.5403,0.9029,0.1065,1.2,0.0,0.3245,0.0,0.18,0.0,0.2101,0.0,0.0,0.0,0.5103,0.0,0.0,0.0,0.4065,0.0,0.0,0.0,0.5788,0.0,22248.5684,13509.4932,14230.3433,27739.8365,355.058,50343.4629,1023.1825,1380.0,0.0,142.3034,0.0,92.4661,0.0,10359.0,27198.2877,38580.4702,1614.7696,40195.2397,10148.2232
200.0,0.0,0.0,20540.4712,4503.1644,820.8108,1023.1825,3053.0524,200.0,200.0,4743.4478,37.9476,2.3717,9755.605,4503.1644,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,820.8108,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7175,12.7175,0.0,0.0,0.0,0.0,0.0,12.7175,12.7175,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4281,6.5179,0.0,0.0,26.358,5.11,0.0,0.9063,8.0287,0.9466,0.5655,5.11,0.0,0.9063,8.0287,0.9466,0.1239,1.0,0.0,0.3141,0.0,0.18,0.0,0.2588,0.0,0.0,0.0,0.5278,0.3089,0.0,0.0,0.6668,0.0,0.0,0.0,0.6711,0.0,21634.9303,13509.4932,14230.3433,27739.8365,374.3485,49749.1153,1023.1825,1380.0,0.0,142.3034,0.0,92.4661,0.0,10359.0,27198.2877,38580.4702,1614.7696,40195.2397,9553.8756
200.0,0.0,0.0,20540.4712,4503.1644,820.8108,1023.1825,3053.0524,200.0,200.0,4743.4478,37.9476,2.3717,9809.1181,4503.1644,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,820.8108,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7175,12.7175,0.0,0.0,0.0,0.0,0.0,12.7175,12.7175,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7198,7.1519,0.0,0.0,26.544,4.59,0.0,0.9666,7.3203,0.9583,0.5818,4.59,0.0,0.9666,7.3203,0.9583,0.1399,1.11,0.0,0.3914,0.0,0.18,0.0,0.138,0.0,0.0,0.0,0.5517,0.0,0.0,0.0,0.5238,0.0,0.0,0.0,0.6172,0.0,21787.6011,13509.4932,14230.3433,27739.8365,413.5051,49940.9427,1023.1825,1380.0,0.0,142.3034,0.0,92.4661,0.0,10359.0,27198.2877,38580.4702,1614.7696,40195.2397,9745.703
200.0,0.0,0.0,20540.4712,4503.1644,820.8108,1023.1825,3053.0524,200.0,200.0,4743.4478,37.9476,2.3717,9862.6312,4503.1644,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,820.8108,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7175,12.7175,0.0,0.0,0.0,0.0,0.0,12.7175,12.7175,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5195,5.741,0.0,0.0,26.7624,6.77,0.0,0.751,7.2256,1.0,0.6011,6.77,0.0,0.751,7.2256,1.0,0.1591,1.0,0.0,0.3471,0.0,0.18,0.0,0.1948,0.0,0.0,0.0,0.7301,0.0,0.0,0.0,0.5331,0.0,0.0,0.0,0.545,0.0,21966.8661,13509.4932,14230.3433,27739.8365,375.6933,50082.396,1023.1825,1380.0,0.0,142.3034,0.0,92.4661,0.0,10359.0,27198.2877,38580.4702,1614.7696,40195.2397,9887.1563
200.0,0.0,0.0,20540.4712,4503.1644,820.8108,1023.1825,3053.0524,200.0,200.0,4743.4478,37.9476,2.3717,9916.1443,4503.1644,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,820.8108,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7175,12.7175,0.0,0.0,0.0,0.0,0.0,12.7175,12.7175,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8269,6.5365,0.0,0.0,27.66,6.77,0.0,0.8386,7.1431,0.9862,0.6129,6.77,0.0,0.8386,7.1431,0.9862,0.1713,1.0,0.0,0.4386,0.0,0.18,0.0,0.1617,0.0,0.0,0.0,0.4193,0.0,0.0,0.0,0.6999,0.0,0.0,0.0,0.7898,0.0,22703.6259,13509.4932,14230.3433,27739.8365,441.5248,50884.9872,1023.1825,1380.0,0.0,142.3034,0.0,92.4661,0.0,10359.0,27198.2877,38580.4702,1614.7696,40195.2397,10689.7475
200.0,0.0,0.0,20540.4712,4503.1644,820.8108,1023.1825,3053.0524,200.0,200.0,4743.4478,37.9476,2.3717,9969.6573,4503.1644,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,820.8108,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7175,12.7175,0.0,0.0,0.0,0.0,0.0,12.7175,12.7175,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8963,6.3481,0.0,0.0,27.744,6.77,0.0,0.7927,6.5519,1.0,0.6297,6.77,0.0,0.7927,6.5519,1.0,0.1881,2.5,0.0,0.2197,0.0,0.18,0.0,0.141,0.0,0.0,0.0,0.4386,0.0,0.0,0.0,0.4445,0.0,0.0,0.0,0.5966,0.0,22772.574,13509.4932,14230.3433,27739.8365,447.6185,50960.0291,1023.1825,1380.0,0.0,142.3034,0.0,92.4661,0.0,10359.0,27198.2877,38580.4702,1614.7696,40195.2397,10764.7893
200.0,0.0,0.0,20540.4712,4503.1644,820.8108,1023.1825,3053.0524,200.0,200.0,4743.4478,37.9476,2.3717,10023.1704,4503.1644,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,820.8108,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7175,12.7175,0.0,0.0,0.0,0.0,0.0,12.7175,12.7175,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9131,6.5853,0.0,0.0,28.536,7.77,0.0,0.8325,7.2035,0.8,0.622,7.77,0.0,0.8325,7.2035,0.8,0.1807,2.83,0.0,0.4219,0.0,0.18,0.0,0.2901,0.0,0.0,0.0,0.4418,0.0,0.0,0.0,0.7004,0.0,0.0,0.0,0.5159,0.0,23422.6561,13509.4932,14230.3433,27739.8365,586.1352,51748.6278,1023.1825,1380.0,0.0,142.3034,0.0,92.4661,0.0,10359.0,27198.2877,38580.4702,1614.7696,40195.2397,11553.3881
200.0,0.0,0.0,20540.4712,4503.1644,820.8108,1023.1825,3053.0524,200.0,200.0,4743.4478,37.9476,2.3717,10076.6835,4503.1644,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,1.0,0.0,0.0,820.8108,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7175,12.7175,0.0,0.0,0.0,0.0,0.0,12.7175,12.7175,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2651,7.5893,0.0,0.0,28.3992,10.51,0.0,0.9489,7.5384,0.9262,0.6289,10.51,0.0,0.9489,7.5384,0.9262,0.1877,2.86,0.0,0.3595,0.0,0.18,0.0,0.2569,0.0,0.0,0.0,0.6439,0.2666,0.0,0.0,0.4949,0.0,0.0,0.0,0.4162,0.0,23310.3692,13509.4932,14230.3433,27739.8365,687.7454,51737.9512,1023.1825,1380.0,0.0,142.3034,0.0,92.4661,0.0,10359.0,27198.2877,38580.4702,1614.7696,40195.2397,11542.7115
200.0,0.0,0.0,20540.4712,4503.1644,820.8108,1023.1825,3053.0524,200.0,200.0,4743.4478,37.9476,2.3717,10130.1966,4503.1644,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,820.8108,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7175,12.7175,0.0,0.0,0.0,0.0,0.0,12.7175,12.7175,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1678,7.1212,0.0,0.0,30.0972,10.03,0.0,0.8832,6.5211,0.8847,0.634,10.03,0.0,0.8832,6.5211,0.8847,0.193,2.83,0.0,0.3182,0.0,0.18,0.0,0.2548,0.0,0.047,0.0,0.4656,0.0,0.0,0.0,0.7572,0.0,0.0,0.0,0.5347,0.0,24704.1059,13509.4932,14230.3433,27739.8365,639.9632,53083.9056,1023.1825,1380.0,0.0,142.3034,0.0,92.4661,0.0,10359.0,27198.2877,38580.4702,1614.7696,40195.2397,12888.6659
200.0,0.0,0.0,20540.4712,4503.1644,820.8108,1023.1825,3053.0524,200.0,200.0,4743.4478,37.9476,2.3717,10183.7097,4503.1644,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,820.8108,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7175,12.7175,0.0,0.0,0.0,0.0,0.0,12.7175,12.7175,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7892,5.7476,0.0,0.0,31.1148,8.07,0.0,0.7066,7.3956,0.9271,0.6396,8.07,0.0,0.7066,7.3956,0.9271,0.1991,2.66,0.0,0.2729,0.0,0.18,0.0,0.2114,0.0,0.0,0.0,0.7659,0.3441,0.0,0.0,0.6732,0.0,0.0,0.0,0.5267,0.0,25539.3629,13509.4932,14230.3433,27739.8365,488.4277,53767.6271,1023.1825,1380.0,0.0,142.3034,0.0,92.4661,0.0,10359.0,27198.2877,38580.4702,1614.7696,40195.2397,13572.3874
200.0,0.0,0.0,20540.4712,4503.1644,820.8108,1023.1825,3053.0524,200.0,200.0,4743.4478,37.9476,2.3717,10237.2228,4503.1644,4743.4478,1.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,820.8108,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7175,12.7175,0.0,0.0,0.0,0.0,0.0,12.7175,12.7175,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1224,6.7562,0.0,0.0,32.5608,8.05,0.0,0.8266,6.8867,0.915,0.6427,8.05,0.0,0.8266,6.8867,0.915,0.2019,2.68,0.0,0.229,0.0,0.18,0.0,0.2855,0.0,0.0,0.0,0.4097,0.0,0.0,0.0,0.6642,0.0,0.0,0.0,0.5839,0.0,26726.2553,13509.4932,14230.3433,27739.8365,550.4028,55016.4947,1023.1825,1380.0,0.0,142.3034,0.0,92.4661,0.0,10359.0,27198.2877,38580.4702,1614.7696,40195.2397,14821.2549
