HourOfYear,MileageUp,PerformanceScore
1,0.836947679238328,0.98
2,1.1038190916115247,0.98
3,1.1098994373552729,0.98
4,1.0006568967840932,0.98
5,1.0239022785119318,0.98
6,0.9337505539209691,0.98
7,1.0710232576485446,0.98
8,0.8616002456451959,0.98
9,0.9505621680587124,0.98
10,0.9616632533833795,0.98
11,0.992509503617307,0.98
12,0.8040228256093881,0.98
13,1.0246398580684664,0.98
14,1.1579440737850726,0.98
15,0.8337681945669848,0.98
16,0.9723340225215698,0.98
17,0.9271367669598253,0.98
18,0.9829129780935197,0.98
19,1.1336811929476476,0.98
20,1.034370501653204,0.98
21,0.9757466991334481,0.98
22,1.081031326163871,0.8105315599824524
23,1.0951129611547492,0.98
24,1.1150235163277107,0.8534423236975675
25,1.1026578711957158,0.98
26,0.886989386652096,0.98
27,1.160257833437893,0.98
28,0.713651920219271,0.98
29,0.9393322583557757,0.98
30,0.8123794854018543,0.98
31,1.1373441954564774,0.98
32,0.8431299226552367,0.98
33,0.9588688453053883,0.98
34,1.0268617888271874,0.98
35,0.8713278228604248,0.98
36,0.9453652225784036,0.98
37,1.0211182286264433,0.98
38,0.9141500140673585,0.98
39,0.8892631122954383,0.98
40,1.0126875436347853,0.98
41,0.9877064966110852,0.98
42,1.1200157501472612,0.98
43,0.916581115690258,0.98
44,1.0222194499997117,0.98
45,1.2198590039894313,0.98
46,0.8657541185386496,0.98
47,1.0028999462766428,0.98
48,0.8995645747945141,0.98
49,1.0773575609819457,0.98
50,1.047253837598695,0.98
51,0.9790478803530599,0.98
52,0.92227404988568,0.98
53,0.9772839349647429,0.98
54,0.8898506394079552,0.98
55,1.0485795181991537,0.98
56,1.0083802060916178,0.98
57,0.9189488330205765,0.98
58,1.0351350794314302,0.98
59,1.0935982188284383,0.98
60,0.9780416802090023,0.98
61,0.990514743446352,0.98
62,1.066436355771287,0.98
63,1.0683014028711355,0.98
64,1.1090577505845782,0.98
65,1.1028922326576467,0.98
66,1.129086502955476,0.98
67,0.7948173378838176,0.98
68,0.9022064628784547,0.98
69,0.8674116490281337,0.98
70,0.8252127493432881,0.98
71,1.0906291813126752,0.98
72,1.1504083717336016,0.98
73,0.9138263974026567,0.98
74,1.1365502239466803,0.98
75,1.1341649323671688,0.98
76,1.0450149446969983,0.98
77,0.9485016217335446,0.98
78,0.8049487200712928,0.98
79,1.0209385867861742,0.98
80,0.9735714944490522,0.98
81,1.0807168809588825,0.98
82,0.9688209696630465,0.98
83,0.9683370413827388,0.8631848058785145
84,0.9874608191876295,0.98
85,0.9148103328823927,0.98
86,1.0262524765233687,0.98
87,0.9208298388348317,0.98
88,1.0639500123555508,0.98
89,0.9199481891475038,0.98
90,1.153730743712397,0.98
91,0.8407735753834451,0.98
92,0.9743728293526276,0.98
93,0.7924767998258313,0.98
94,1.1551060083720515,0.98
95,0.8712325871080538,0.98
96,0.8062870267486507,0.98
97,0.968725296811348,0.98
98,0.9241184580921644,0.98
99,1.110976842017253,0.98
100,0.9887980405207082,0.98
101,1.0975724638459625,0.98
102,0.8998829109776285,0.8297003135926878
103,1.0289244118116068,0.98
104,0.8739675130514803,0.98
105,1.0112969853878542,0.98
106,0.9855808000221212,0.98
107,1.1364199254630916,0.98
108,0.9577033845631713,0.98
109,0.8452293920442239,0.98
110,1.1402669496811784,0.98
111,0.9390932208075204,0.98
112,0.9715794320267173,0.98
113,0.7965697469989504,0.98
114,0.9585046737862793,0.98
115,0.9886857330957605,0.98
116,0.9346379905697133,0.98
117,1.100006566096166,0.8682542380353602
118,0.9011009620158584,0.98
119,1.014434554431109,0.98
120,0.8516860563227533,0.98
121,0.9091342158326646,0.98
122,0.8792771085983124,0.98
123,1.1298186579827667,0.98
124,1.14670171604129,0.98
125,1.0343778924378593,0.98
126,0.9267378558886922,0.98
127,0.9652256653788094,0.98
128,1.0069620475892034,0.98
129,1.0297789141364424,0.98
130,0.9495631394373617,0.98
131,0.874060109430177,0.98
132,1.029678455652082,0.98
133,0.8378616236482003,0.98
134,0.8656192346076048,0.98
135,0.9392957620811659,0.98
136,1.0581490390392432,0.98
137,1.0034217401127365,0.98
138,1.0725143713010072,0.98
139,0.9442029982785203,0.98
140,0.9794521418756276,0.98
141,0.923461563321607,0.98
142,1.035631757048262,0.98
143,0.9764556025411568,0.98
144,0.9428211557355207,0.98
145,0.9812738330652259,0.98
146,1.1250498796572133,0.98
147,1.105913208291841,0.98
148,1.1546674299215698,0.9162186057732108
149,0.9432761349755256,0.98
150,1.1118569499572042,0.98
151,0.9549238808532832,0.98
152,1.0777373816519467,0.98
153,0.9622116736997123,0.98
154,1.1101567346958015,0.98
155,1.093081696873312,0.98
156,0.9561083167827599,0.98
157,0.9297438340512769,0.98
158,1.035478576414815,0.98
159,0.9690019206680323,0.98
160,1.1967718744615434,0.98
161,0.9874895341055558,0.98
162,0.9398691542948622,0.98
163,0.9154340120628344,0.98
164,0.8865508943820546,0.98
165,1.0349950300302235,0.98
166,0.954018505778355,0.98
167,0.9521871715027249,0.98
168,1.1069742700094818,0.98
169,0.9387555927328108,0.98
170,0.9550873207338748,0.8503395404775199
171,1.0662762142487008,0.98
172,0.9619778536475458,0.98
173,0.988127259218888,0.98
174,1.0012115148951197,0.98
175,1.1188359214602315,0.98
176,0.96045109028853,0.98
177,0.9392023972322436,0.98
178,1.102559071551554,0.98
179,0.8781851950626594,0.98
180,1.1075681428429773,0.98
181,1.1466579566417507,0.98
182,0.9621227366277045,0.98
183,1.0359409326563684,0.98
184,0.9066762303290326,0.98
185,1.0005465562444207,0.98
186,0.8662761146910671,0.98
187,1.2077522532379477,0.98
188,1.0603242804425377,0.98
189,0.8803775054380156,0.98
190,0.9587269746187055,0.98
191,1.1036433277078228,0.98
192,1.0283843446321645,0.98
193,1.027762063178038,0.98
194,0.9837242964656605,0.98
195,1.0050362764944303,0.98
196,0.9473073575469458,0.98
197,1.13333918968226,0.98
198,0.999004713254609,0.98
199,1.0355368077397373,0.98
200,0.9860420509072916,0.98
201,0.9417423296325295,0.98
202,1.072714135906406,0.98
203,0.8713886360438245,0.98
204,0.8786712988646255,0.98
205,1.0622538285331586,0.98
206,1.1226494258642756,0.98
207,1.0017784987434937,0.98
208,1.074430741983757,0.98
209,0.8802634142121378,0.98
210,0.951023649327625,0.98
211,1.0203418734301273,0.98
212,1.1653171897212486,0.98
213,1.0393805790104151,0.98
214,0.9726173035411241,0.98
215,0.9446037924680867,0.98
216,1.1287943983428894,0.98
217,0.8299690802123223,0.98
218,0.829604373385461,0.98
219,0.907493346400142,0.98
220,0.8792097604187246,0.98
221,1.0566841067189694,0.98
222,0.9688047175691379,0.98
223,1.318083930738656,0.98
224,1.0374315689890252,0.98
225,1.1620203531801636,0.98
226,0.8182556321580785,0.98
227,1.0624727562130254,0.98
228,0.8846804093265803,0.98
229,1.0774111843709346,0.98
230,1.0529784079672257,0.98
231,0.9585857821978255,0.98
232,0.9581037568583167,0.8674493101161164
233,0.8864069499576028,0.98
234,1.0434516400893032,0.98
235,1.0404749660612143,0.98
236,1.052101176002268,0.98
237,1.0735572267283453,0.98
238,1.0610517729927282,0.98
239,1.1992392999094599,0.98
240,1.251278936564999,0.98
241,1.1007001096820461,0.98
242,0.7676334200605434,0.98
243,0.9778513467549288,0.98
244,1.0992235626596787,0.98
245,0.9111096082434742,0.98
246,0.9611878780117591,0.98
247,0.8840031464060489,0.98
248,0.9799186855646591,0.98
249,0.8804710810210058,0.98
250,0.8674195562561837,0.98
251,1.0934789585269193,0.98
252,1.0052792096110796,0.98
253,1.0756610772288913,0.98
254,1.0592301984657466,0.98
255,1.2069958878720812,0.98
256,0.9541247784700213,0.98
257,0.8323127546759266,0.98
258,0.9743508239494287,0.98
259,0.9847026736398377,0.98
260,1.1035868311607073,0.8304478989454404
261,1.226562428184279,0.98
262,0.9115263566740721,0.98
263,0.831658498294144,0.98
264,1.0990029887308557,0.98
265,1.0355631839631512,0.98
266,1.0185718758288713,0.98
267,0.9964855006492961,0.98
268,0.9699507746512548,0.98
269,0.9832719216746763,0.98
270,1.1191050076125864,0.98
271,1.0639548933979472,0.98
272,0.9287247529540751,0.98
273,1.1456865059874781,0.98
274,0.9492881482243349,0.98
275,1.0755832362580442,0.98
276,0.877534257932281,0.98
277,1.0345851538026232,0.98
278,0.9615306856632276,0.98
279,1.1396805249664264,0.98
280,0.8606143517874827,0.98
281,1.0895847624986739,0.98
282,1.198954630860372,0.98
283,1.068237580559843,0.98
284,0.9411493626584713,0.98
285,1.233714954549355,0.98
286,0.9783254564736756,0.98
287,0.8609013346027141,0.98
288,0.982434440843249,0.98
289,0.9825903863475671,0.98
290,0.7046460928633058,0.8159355627636489
291,0.9899233255782462,0.98
292,0.9954893953423439,0.98
293,0.9833645605102244,0.98
294,0.8840904613719536,0.98
295,0.8795997581824548,0.8536432325687119
296,1.0730797613217327,0.98
297,1.0599849956944951,0.98
298,0.9596027036150716,0.98
299,0.9457492987056848,0.98
300,0.9339052475484919,0.98
301,1.0121934011649487,0.98
302,0.8848248479316092,0.98
303,1.0014190608618727,0.98
304,1.0729053223315614,0.98
305,1.1230736509276855,0.8286948236879219
306,1.0962117801556637,0.98
307,0.9435928315905888,0.98
308,1.0244896475785181,0.98
309,0.8934510416489541,0.98
310,0.9949606559495991,0.98
311,0.9832115046450579,0.98
312,1.1050852051182758,0.98
313,0.9404702389705936,0.98
314,0.8645184569702207,0.98
315,1.0703322579932137,0.98
316,1.1092351739729325,0.98
