HourOfYear,mileage_factor_RegU_CAISO,mileage_factor_RegD_CAISO
1,0.9955,1.0107
2,1.0118,1.0022
3,1.0276,0.9866
4,1.0419,1.0084
5,1.0517,0.9945
6,1.0287,0.9872
7,1.0393,0.9707
8,1.0362,0.9740
9,1.0227,0.9661
10,1.0059,0.9818
11,0.9965,1.0047
12,1.0009,1.0236
13,0.9959,1.0326
14,1.0002,1.0176
15,0.9894,1.0135
16,0.9842,1.0066
17,0.9864,0.9957
18,0.9873,0.9948
19,0.9778,0.9960
20,0.9761,0.9936
21,0.9644,0.9983
22,0.9716,0.9970
23,0.9908,0.9928
24,0.9855,0.9965
25,0.9794,1.0048
26,0.9922,1.0071
27,0.9829,1.0051
28,0.9952,1.0060
29,0.9851,1.0229
30,0.9846,1.0111
31,0.9852,1.0115
32,0.9943,1.0151
33,1.0124,1.0053
34,1.0070,1.0024
35,1.0055,1.0033
36,0.9890,0.9923
37,0.9906,0.9910
38,1.0028,0.9785
39,1.0238,0.9957
40,1.0162,0.9790
41,1.0198,0.9785
42,1.0267,0.9641
43,1.0088,0.9868
44,1.0201,1.0032
45,1.0091,1.0191
46,1.0098,1.0132
47,0.9966,1.0226
48,0.9939,1.0140
49,0.9796,1.0153
50,0.9858,1.0154
51,1.0023,1.0139
52,1.0022,1.0030
53,0.9887,1.0079
54,0.9877,1.0087
55,0.9918,1.0037
56,0.9920,1.0133
57,0.9996,1.0006
58,1.0180,0.9911
59,1.0142,0.9852
60,1.0104,0.9780
61,1.0020,0.9770
62,1.0110,0.9842
63,1.0264,0.9797
64,1.0198,0.9891
65,1.0185,1.0030
66,1.0167,1.0180
67,1.0066,0.9995
68,1.0121,1.0070
69,1.0095,1.0093
70,1.0099,1.0034
71,1.0168,1.0010
72,1.0108,0.9997
73,1.0097,1.0087
74,1.0013,1.0150
75,0.9912,1.0229
76,0.9939,1.0122
77,0.9969,1.0092
78,1.0058,1.0189
79,0.9978,1.0156
80,0.9887,1.0246
81,1.0069,1.0178
82,1.0068,1.0267
83,0.9931,1.0169
84,0.9938,0.9974
85,0.9890,1.0019
86,0.9942,1.0013
87,0.9915,0.9804
88,1.0043,0.9800
89,0.9917,0.9912
90,1.0048,0.9901
91,1.0107,1.0036
92,1.0117,0.9982
93,1.0190,0.9946
94,1.0266,0.9814
95,1.0218,1.0001
96,1.0326,1.0175
97,1.0323,1.0286
98,1.0214,1.0280
99,1.0053,1.0107
100,1.0141,1.0091
101,1.0115,0.9921
102,0.9932,0.9997
103,0.9974,0.9931
104,0.9955,0.9908
105,0.9903,0.9837
106,1.0012,0.9987
107,0.9938,0.9982
108,0.9908,1.0140
109,0.9905,1.0146
110,1.0015,1.0275
111,0.9905,1.0305
112,0.9865,1.0318
113,0.9928,1.0188
114,0.9986,1.0018
115,0.9887,0.9889
116,0.9871,0.9911
117,0.9884,0.9867
118,0.9931,0.9946
119,0.9925,1.0026
120,1.0078,1.0014
121,1.0055,0.9873
122,1.0182,1.0032
123,1.0107,0.9919
124,0.9942,1.0035
125,1.0181,1.0179
126,1.0140,1.0145
127,1.0148,1.0020
128,0.9989,0.9981
129,1.0015,1.0251
130,1.0087,1.0257
131,0.9967,1.0228
132,0.9960,1.0163
133,0.9962,1.0138
134,0.9852,1.0103
135,1.0027,1.0054
136,0.9779,1.0120
137,0.9625,1.0209
138,0.9702,1.0073
139,0.9666,1.0219
140,0.9788,1.0321
141,0.9795,1.0278
142,0.9869,1.0444
143,0.9768,1.0281
144,0.9774,1.0236
145,0.9775,1.0329
146,1.0029,1.0260
147,0.9983,1.0134
148,0.9778,1.0126
149,0.9918,1.0184
150,0.9911,1.0161
151,0.9952,1.0249
152,0.9929,1.0255
153,0.9826,1.0034
154,0.9976,0.9993
155,0.9892,1.0034
156,0.9777,0.9994
157,0.9860,0.9916
158,0.9900,0.9982
159,1.0015,1.0147
160,1.0038,1.0160
161,1.0024,1.0186
162,1.0102,1.0161
163,0.9934,1.0185
164,0.9929,1.0073
165,0.9856,1.0125
166,0.9905,1.0121
167,0.9997,1.0133
168,1.0023,1.0192
169,1.0083,1.0047
170,1.0181,1.0017
171,1.0193,1.0060
172,1.0226,1.0092
173,1.0355,0.9962
174,1.0530,0.9911
175,1.0420,0.9923
176,1.0258,1.0005
177,0.9977,1.0071
178,1.0156,1.0186
179,1.0076,1.0228
180,1.0104,1.0380
181,1.0145,1.0291
182,1.0192,1.0352
183,1.0134,1.0157
184,1.0182,1.0176
185,1.0198,1.0153
186,1.0101,1.0110
187,1.0230,1.0083
188,1.0250,1.0062
189,1.0088,1.0080
190,1.0038,1.0051
191,0.9995,1.0122
192,0.9944,0.9984
193,1.0010,1.0020
194,1.0126,1.0049
195,1.0003,1.0026
196,0.9970,1.0068
197,1.0080,0.9910
198,0.9989,0.9920
199,0.9926,0.9898
200,0.9735,0.9989
201,0.9853,1.0040
202,0.9898,1.0076
203,0.9886,1.0125
204,0.9761,0.9936
205,0.9773,0.9984
206,0.9640,1.0107
207,0.9689,1.0103
208,0.9920,1.0076
209,0.9953,1.0063
210,1.0073,1.0038
211,1.0179,1.0042
212,1.0098,1.0001
213,1.0137,1.0180
214,0.9863,1.0141
215,0.9914,1.0189
216,1.0027,1.0141
217,1.0070,1.0107
218,1.0025,1.0157
219,1.0134,1.0154
220,1.0213,1.0132
221,1.0170,1.0086
222,1.0275,1.0089
223,1.0272,1.0084
224,1.0076,1.0001
225,1.0091,1.0044
226,1.0010,1.0093
227,1.0053,1.0175
228,0.9713,1.0180
229,0.9910,1.0139
230,1.0028,1.0015
231,1.0167,0.9966
232,1.0136,1.0012
233,1.0216,0.9945
234,1.0196,0.9756
235,1.0071,0.9883
236,0.9984,0.9906
237,0.9956,0.9908
238,1.0078,0.9877
239,1.0174,0.9917
240,1.0084,0.9928
241,1.0134,0.9900
242,1.0111,1.0018
243,1.0005,0.9899
244,0.9897,0.9752
245,0.9894,0.9887
246,0.9998,0.9929
247,0.9953,0.9874
248,1.0033,0.9824
249,1.0055,0.9856
250,0.9896,0.9907
251,1.0098,1.0014
252,1.0189,1.0065
253,1.0026,1.0020
254,1.0058,1.0016
255,1.0181,1.0059
256,1.0186,1.0186
257,1.0114,1.0174
258,1.0082,1.0169
259,1.0045,1.0093
260,1.0024,1.0066
261,1.0122,1.0087
262,1.0142,1.0075
263,1.0038,1.0064
264,1.0006,0.9934
265,0.9969,0.9960
266,1.0001,1.0084
267,0.9899,1.0194
268,0.9781,1.0278
269,0.9736,1.0114
270,0.9642,1.0184
271,0.9568,1.0225
272,0.9758,1.0369
273,0.9791,1.0341
274,0.9862,1.0310
275,0.9893,1.0279
276,0.9923,1.0432
277,0.9964,1.0338
278,1.0024,1.0379
279,1.0053,1.0277
280,1.0297,1.0225
281,1.0150,1.0173
282,1.0026,1.0074
283,0.9972,1.0156
284,0.9857,1.0261
285,0.9856,1.0328
286,0.9796,1.0292
287,0.9840,1.0366
288,0.9876,1.0189
289,0.9780,1.0278
290,0.9890,1.0340
291,0.9837,1.0373
292,0.9781,1.0359
293,0.9861,1.0380
294,0.9886,1.0336
295,0.9907,1.0312
296,0.9834,1.0250
297,0.9763,1.0193
298,0.9878,1.0084
299,0.9894,0.9944
300,0.9934,1.0144
301,0.9960,1.0058
302,1.0029,0.9983
303,1.0018,1.0100
304,0.9994,1.0314
305,1.0060,1.0375
306,1.0252,1.0358
307,1.0094,1.0223
308,1.0027,1.0322
309,1.0048,1.0276
310,0.9842,1.0073
311,0.9972,1.0033
312,1.0049,1.0122
313,1.0043,1.0033
314,1.0077,1.0106
315,1.0200,1.0003
316,1.0190,0.9931
317,1.0041,1.0019
318,1.0121,0.9958
319,1.0183,1.0041
320,1.0169,0.9881
321,1.0376,0.9865
322,1.0298,0.9965
323,1.0081,1.0156
324,1.0089,1.0238
325,1.0087,1.0188
326,1.0273,1.0252
327,1.0256,1.0210
328,1.0188,1.0273
329,1.0039,1.0313
330,1.0197,1.0470
331,0.9953,1.0460
332,1.0005,1.0333
333,0.9821,1.0300
334,0.9827,1.0179
335,0.9826,1.0064
336,0.9795,1.0041
337,0.9799,1.0049
338,0.9848,1.0007
339,0.9834,0.9858
340,0.9853,0.9755
341,0.9817,0.9842
342,0.9828,0.9750
343,0.9948,0.9862
344,0.9915,1.0027
345,1.0073,0.9984
346,1.0148,0.9962
347,1.0196,1.0041
348,1.0161,1.0009
349,1.0045,0.9932
350,1.0046,0.9914
351,1.0197,0.9900
352,1.0086,0.9983
353,1.0097,0.9918
354,0.9997,1.0015
355,0.9961,1.0090
356,0.9995,0.9989
357,1.0029,1.0086
358,1.0035,0.9873
359,1.0084,0.9819
360,1.0110,0.9728
361,1.0060,0.9895
362,1.0115,0.9957
363,1.0006,0.9938
364,0.9981,1.0023
365,0.9943,1.0015
366,0.9987,1.0223
367,0.9773,1.0290
368,0.9778,1.0375
369,0.9860,1.0210
370,1.0110,1.0355
371,1.0094,1.0232
372,0.9979,1.0036
373,1.0044,0.9988
374,0.9974,1.0080
375,0.9855,1.0050
376,0.9898,1.0058
377,1.0037,0.9959
378,0.9957,0.9979
379,0.9946,1.0024
380,1.0019,1.0015
381,1.0108,1.0002
382,1.0218,1.0004
383,1.0115,1.0004
384,1.0083,1.0124
385,0.9871,1.0205
386,0.9858,1.0294
387,0.9789,1.0206
388,0.9840,1.0054
389,0.9950,0.9992
390,1.0021,0.9946
391,0.9912,0.9829
392,0.9892,0.9885
393,0.9953,0.9952
394,0.9973,0.9851
395,0.9914,0.9760
396,0.9964,0.9765
397,1.0040,0.9923
398,1.0016,0.9768
399,0.9923,0.9888
400,0.9971,0.9928
401,0.9898,0.9676
402,1.0037,0.9687
403,0.9790,0.9682
404,0.9799,0.9794
405,0.9755,0.9780
406,0.9864,0.9778
407,1.0019,0.9739
408,0.9956,0.9854
409,0.9879,0.9739
410,0.9959,0.9739
411,0.9804,0.9729
412,0.9862,0.9747
413,0.9884,0.9676
414,0.9885,0.9712
415,0.9830,0.9717
416,0.9669,0.9692
417,0.9818,0.9739
418,0.9908,0.9825
419,0.9919,0.9799
420,0.9955,0.9737
421,0.9949,0.9714
422,1.0048,0.9762
423,1.0021,0.9733
424,1.0014,0.9742
425,1.0025,0.9706
426,0.9986,0.9698
427,0.9980,0.9725
428,0.9972,0.9787
429,0.9914,0.9748
430,0.9843,0.9716
431,0.9854,0.9794
432,0.9853,0.9921
433,0.9976,0.9775
434,0.9893,0.9789
435,0.9862,0.9834
436,0.9904,0.9754
437,0.9957,0.9830
438,0.9952,0.9702
439,1.0035,0.9769
440,1.0020,0.9856
441,0.9937,0.9921
442,0.9945,0.9880
443,1.0023,0.9873
444,1.0107,0.9977
445,1.0173,0.9914
446,1.0159,0.9932
447,1.0154,0.9889
448,1.0180,0.9915
449,0.9999,0.9810
450,0.9934,0.9765
451,0.9973,0.9838
452,0.9888,0.9840
453,1.0013,1.0017
454,1.0108,1.0100
455,1.0039,1.0234
456,0.9950,1.0187
457,0.9998,1.0069
458,0.9882,0.9871
459,0.9916,0.9872
460,1.0189,0.9843
461,1.0063,0.9868
462,0.9980,0.9804
463,0.9928,0.9677
464,0.9859,0.9685
465,0.9808,0.9713
466,0.9999,0.9580
467,1.0005,0.9588
468,1.0087,0.9554
469,1.0180,0.9748
470,0.9983,0.9791
471,0.9916,0.9811
472,0.9849,0.9769
473,0.9637,0.9857
474,0.9742,0.9779
475,0.9816,0.9987
476,0.9970,1.0143
477,1.0019,1.0273
478,0.9778,1.0245
479,0.9755,1.0169
480,0.9742,1.0103
481,0.9835,1.0020
482,0.9624,1.0053
483,0.9742,0.9974
484,0.9861,1.0026
485,0.9863,0.9956
486,0.9815,1.0031
487,0.9956,1.0081
488,0.9838,1.0042
489,0.9972,0.9948
490,1.0060,0.9822
491,1.0100,0.9874
492,1.0247,0.9815
493,1.0203,0.9768
494,1.0223,0.9789
495,1.0178,0.9721
496,1.0116,0.9786
497,1.0143,0.9783
498,1.0090,0.9838
499,1.0079,1.0001
500,1.0071,0.9990
501,1.0021,0.9951
502,1.0084,1.0030
503,0.9908,1.0089
504,0.9861,0.9979
505,0.9798,1.0090
506,0.9863,1.0001
507,0.9866,0.9916
508,0.9761,1.0032
509,0.9848,1.0125
510,0.9896,1.0070
511,0.9918,1.0097
512,1.0004,1.0002
513,1.0051,1.0037
514,1.0020,0.9893
515,1.0054,1.0002
516,1.0169,0.9976
517,1.0124,0.9876
518,1.0215,0.9895
519,1.0348,0.9783
520,1.0315,0.9850
521,1.0166,0.9886
522,1.0109,0.9937
523,1.0104,0.9905
524,1.0087,0.9788
525,1.0083,0.9774
526,1.0178,0.9670
527,1.0069,0.9820
528,1.0090,0.9760
529,1.0157,0.9648
530,1.0106,0.9720
531,0.9993,0.9939
532,0.9976,0.9919
533,0.9885,0.9954
534,0.9842,0.9853
535,0.9924,0.9878
536,0.9962,0.9734
537,1.0033,0.9625
538,1.0071,0.9799
539,1.0040,0.9805
540,0.9941,0.9880
541,0.9981,1.0078
542,0.9936,0.9971
543,0.9935,1.0024
544,0.9882,0.9914
545,0.9985,0.9860
546,0.9784,0.9941
547,0.9870,0.9909
548,0.9907,0.9893
549,1.0005,0.9817
550,0.9893,0.9799
551,0.9908,0.9793
552,0.9886,0.9863
553,0.9892,0.9887
554,0.9913,0.9906
555,0.9886,0.9979
556,0.9897,1.0089
557,1.0028,0.9852
558,1.0154,1.0039
559,1.0148,1.0022
560,1.0254,1.0217
561,1.0077,1.0221
562,1.0136,1.0213
563,1.0131,1.0127
564,1.0073,1.0046
565,1.0116,1.0139
566,1.0109,1.0118
567,1.0035,1.0190
