HourOfYear,Price ($/MWh)
1,28.15722108979214
2,17.713601435720477
3,22.05333487160724
4,19.479400183953462
5,20.54932011522227
6,42.794405387457985
7,48.00099335482092
8,36.73760781105424
9,58.70482598013831
10,60.705011156859854
11,53.073030590085814
12,100.9607108671245
13,48.004437427117466
14,47.40927948512699
15,49.723853260781915
16,61.44456798330842
17,73.36446679381213
18,57.177602359252134
19,91.17199096279104
20,58.45679162296915
21,59.17861094621569
22,29.638534497777414
23,35.41242129548029
24,39.65308756565304
25,26.286154168353967
26,16.068337907567177
27,20.05937510849657
28,21.735664294530565
29,31.377236162519868
30,34.97376448279625
31,47.92596059072748
32,62.54281848623864
33,42.01028820990606
34,58.67557114659593
35,45.35149362595914
36,49.34456975136945
37,56.92938618393882
38,51.03882897128567
39,46.716980937448476
40,63.958880064692465
41,56.355001095818075
42,50.115684967888015
43,67.08092828179592
44,64.36337472931447
45,52.838249751595114
46,41.75818065219093
47,42.123366222877806
48,23.46534389383821
49,28.012411034271977
50,20.377298122264648
51,24.996024808761806
52,18.4262887284955
53,30.815931434860474
54,45.105024724067285
55,59.33133528449464
56,54.37898575108855
57,54.42315027179618
58,67.08737082100998
59,57.93392268210247
60,51.567631652358465
61,44.240793371816004
62,41.03227419072995
63,65.11737022272281
64,47.861996086367355
65,59.48892445468097
66,96.21254535303102
67,59.760524005269026
68,52.64803151643435
69,59.49952313213898
70,46.40941593287651
71,31.801889227303363
72,35.63658604319146
73,28.901982261934183
74,28.81083729621071
75,12.75565231501383
76,25.761261248327692
77,25.096748656052327
78,34.98721812219332
79,38.802290512929055
80,57.6997742926943
81,70.77980824832834
82,56.46780606467647
83,65.57798514977989
84,57.66961597136203
85,35.82273131930821
86,40.796143848731944
87,73.17950397419463
88,67.38362775603679
89,74.29668400448762
90,78.0731488892106
91,61.29254343566542
92,62.357321638581396
93,46.02359218639734
94,38.15874765653489
95,35.63828657644539
96,29.094544556705923
97,26.191934992200963
98,19.339040861266827
99,22.25685674095028
100,24.68382384906015
101,28.55272000117356
102,44.2774309219873
103,48.39513581756987
104,54.6300070498596
105,64.96852219262155
106,52.91493204092472
107,48.218416665475715
108,48.01602517491498
109,39.17945240926719
110,37.88192263006599
111,34.0917126626829
112,47.50024805772229
113,47.640942661487095
114,91.25149891049828
115,65.10028117603085
116,66.89546248510189
117,57.58827000174747
118,42.17813953917324
119,39.24687209999832
120,33.6265947800555
121,22.200749956021408
122,14.18011255951954
123,16.100843164936453
124,13.732278517186195
125,17.840365122608933
126,22.810518355449204
127,39.35109897535855
128,29.399678851588085
129,48.0924923606672
130,31.818979293422217
131,34.86557554724393
132,32.11342962166555
133,35.95427112492857
134,42.44894979961216
135,42.9979208690227
136,30.200920699623115
137,31.498016680975297
138,55.94069909851451
139,46.752938449377176
140,45.175473148367026
141,31.118769130962352
142,32.43382722332137
143,27.651697572753754
144,20.39970880412896
145,15.327256332666181
146,13.64453859708723
147,11.358488196023497
148,17.73474335703487
149,20.70272925481187
150,27.34694338307366
151,26.746029694678185
152,32.496163671837735
153,38.182952852168135
154,27.290684567871995
155,39.60541425594319
156,21.287365247742322
157,34.609374318078885
158,40.61888332791387
