HourOfYear,p_RegU_CAISO,loc_RegU_CAISO,p_RegD_CAISO,loc_RegD_CAISO,p_Spin_CAISO,loc_Spin_CAISO,p_NSpin_CAISO,loc_NSpin_CAISO,p_RMU_CAISO,loc_RMU_CAISO,p_RMD_CAISO,loc_RMD_CAISO
1,4.9715,0.3214,6.8790,-0.2459,3.0000,0.2433,5.4435,-0.1345,1.6254,0.2995,1.5674,-0.1194
2,7.6991,0.3407,7.9152,0.1104,3.0000,0.0534,7.6103,0.0273,2.6634,-0.1290,1.8524,0.2194
3,8.6681,-0.0435,8.8985,0.0978,12.8387,0.0691,6.2566,-0.2682,0.5000,-0.1002,1.9959,0.1850
4,8.7880,-0.2176,7.3334,0.1574,3.0000,0.3021,6.8635,-0.3967,3.0662,0.1459,2.7291,-0.1615
5,6.8037,-0.4656,10.1932,-0.0157,3.0000,-0.0323,3.0000,-0.2389,1.4815,-0.1529,0.5000,-0.2501
6,7.6714,0.0563,4.9156,-0.0944,8.1589,-0.2407,3.0000,-0.1227,0.5899,0.0590,3.0234,0.2266
7,2.0000,-0.5332,4.7088,0.1129,3.0000,0.1234,7.1289,0.0885,1.7087,-0.5027,0.5000,0.2888
8,6.7166,-0.0213,2.0944,-0.0345,9.3808,0.4159,3.0000,-0.1858,1.4024,0.0385,2.0124,0.1584
9,2.7482,-0.1402,8.8040,0.3175,8.2994,-0.3049,3.0000,-0.2529,2.2800,-0.0207,3.2332,-0.1429
10,7.8971,0.1395,7.7533,-0.2738,3.0000,-0.2717,11.3772,0.0092,3.8180,-0.0444,2.9122,0.0575
11,11.5719,-0.0034,3.2585,0.3860,3.0000,0.2677,11.9227,-0.3957,0.5000,-0.0436,3.8431,0.2114
12,5.3129,-0.1416,8.8189,0.1460,3.0000,0.3627,14.3639,0.3069,0.5000,-0.2410,2.1120,-0.3247
13,6.8037,0.2123,11.5776,0.0049,15.6732,0.1390,7.7715,0.1262,4.1492,0.3397,1.4923,-0.1923
14,5.0772,-0.2728,8.3834,0.0446,4.9112,0.0284,8.1976,-0.0893,2.8171,0.1956,1.6537,-0.2424
15,5.8577,0.1408,6.0835,0.0152,3.7625,-0.0786,12.4973,0.4656,2.9519,-0.0914,2.4701,-0.3440
16,10.6895,0.5155,5.6480,-0.0138,4.2518,0.1668,8.0953,0.3682,1.3442,-0.1696,3.0458,-0.4252
17,11.1021,0.2414,9.4718,0.3145,11.1538,0.0558,12.8439,-0.0705,3.5411,-0.0263,1.8463,0.1683
18,14.0923,-0.1014,9.7920,0.3738,10.6268,-0.0331,13.9633,0.0423,2.4349,0.2325,3.4097,0.3679
19,5.6028,-0.2546,15.8584,0.0844,5.8383,-0.0726,9.4329,-0.4061,2.3608,0.0951,3.0987,-0.0571
20,10.0535,0.2337,5.0282,0.1403,3.0000,-0.0527,5.9411,0.0138,1.7923,-0.2286,3.5795,-0.0412
21,12.4006,-0.3061,11.0120,-0.2767,12.0435,0.2074,7.5459,-0.1763,1.7357,-0.1196,0.5000,0.3926
22,13.1790,0.0015,6.5768,-0.1421,4.3233,-0.0565,5.4023,-0.2717,2.4272,-0.1240,2.0171,0.0339
23,5.2595,0.1811,6.0174,0.0947,8.8309,0.1625,9.2119,-0.1642,3.4141,-0.2950,0.9325,-0.0826
24,2.0000,-0.2522,3.2331,-0.0232,3.0000,0.3813,3.0000,-0.0433,1.5370,0.3251,2.0476,-0.0632
25,6.0099,-0.2660,9.9108,0.0940,12.5282,0.0473,3.0000,0.1396,1.9569,-0.0201,0.5000,-0.0283
26,15.4490,-0.3295,10.0469,-0.3184,4.9278,0.4729,7.0520,0.2521,2.7100,-0.1299,2.9316,-0.0787
27,2.5523,0.3986,8.4338,0.0677,7.2592,-0.0083,3.3169,-0.0237,2.1107,-0.3910,0.5000,0.1184
28,8.2941,0.4246,5.4907,0.5154,9.5442,-0.5023,16.7483,0.1630,4.0129,0.2886,2.2192,0.1055
29,2.0000,0.4209,7.5329,-0.2181,3.0000,0.3327,3.0000,0.2468,0.5000,0.2586,1.2951,0.2313
30,11.7773,0.4544,10.1075,0.0740,3.0000,-0.1492,7.0541,0.0833,1.2750,0.1133,0.5000,-0.0441
31,2.0000,-0.1583,2.0000,-0.0981,5.8718,-0.0467,8.9111,-0.1189,1.4926,-0.0741,2.2016,0.2601
32,2.0000,-0.4532,9.8522,0.2218,3.0000,-0.3105,9.4715,-0.1454,0.9415,-0.0560,4.4140,0.1464
33,7.5371,0.4258,9.9577,0.0440,3.0000,-0.1503,8.5680,-0.2652,2.5305,-0.0758,0.7119,-0.3302
34,7.1742,0.2323,8.8446,-0.1125,10.8249,-0.1186,8.2688,-0.2916,2.2838,0.4990,2.1082,-0.1660
35,12.8754,0.2122,6.1434,-0.1850,10.8285,-0.1359,11.8746,-0.0651,4.7961,0.1834,4.4078,-0.3203
36,10.0217,-0.2600,4.8758,0.1151,8.4038,0.1128,4.9974,-0.1114,1.5072,-0.3379,1.6880,0.1237
