HourOfYear,Price ($/MWh)
1,17.4836
2,12.2376
3,14.5782
4,17.9559
5,8.8293
6,9.1702
7,19.2359
8,16.7663
9,12.6529
10,20.1249
11,17.6833
12,20.2600
13,26.2104
14,17.5053
15,20.0364
16,26.8487
17,24.9368
18,31.2316
19,24.1214
20,20.0109
21,32.3298
22,21.4610
23,20.3395
24,10.2901
25,12.2803
26,13.4860
27,5.5874
28,12.2220
29,6.9998
30,8.8855
31,8.3347
32,22.1940
33,14.9365
34,12.1275
35,24.1172
36,16.4887
37,26.0493
38,17.2780
39,22.0249
40,30.6494
41,33.6985
42,30.5226
43,28.0888
44,25.5727
45,17.6149
46,18.9968
47,17.7050
48,22.7059
49,16.7270
50,5.0000
51,12.9698
52,8.4254
53,6.6258
54,13.4100
55,16.5060
56,17.5970
57,10.8160
58,15.8783
59,21.6693
60,27.4793
61,22.6180
62,26.1571
63,23.1434
64,23.6935
65,34.0784
66,36.4568
67,28.3170
68,32.1060
69,26.8260
70,19.3810
71,21.8259
72,25.1214
73,14.8409
74,20.7727
75,5.0000
76,14.4720
77,10.4575
78,8.8686
79,11.8220
80,5.0000
81,13.9263
82,19.2227
83,27.4154
84,20.0234
85,20.9847
86,24.5902
87,33.2658
88,31.3322
89,27.3811
90,32.2561
91,29.1769
92,31.9462
93,21.5224
94,20.9832
95,18.0735
96,10.1290
97,16.5161
98,14.2705
99,11.4024
100,9.2056
101,5.0000
102,8.2769
103,9.6663
104,8.9585
105,14.2353
106,19.4746
107,29.4743
108,23.5052
109,26.3327
110,26.7447
111,19.1131
112,29.5742
113,30.3495
114,42.0247
115,27.7486
116,28.6298
117,24.8783
118,16.7976
119,25.7678
120,21.2261
121,19.0107
122,8.4385
123,18.4111
124,5.0000
125,12.9936
126,21.3533
127,6.4483
128,10.1596
129,15.5614
130,14.9586
131,12.3118
132,22.9972
133,19.7557
134,29.5072
135,24.1324
136,37.4792
137,26.1550
138,28.1213
139,32.8013
140,20.9912
141,26.2129
142,29.2005
143,12.0403
144,18.4138
145,16.3794
146,16.9191
147,5.2372
148,5.0000
149,12.6941
150,11.9112
151,12.6789
152,14.7491
153,11.6889
154,18.6633
155,21.5568
156,19.1090
157,34.4227
158,29.5352
159,22.8000
160,33.0395
161,25.2253
162,33.6946
163,34.5544
164,23.0701
165,29.9205
166,24.7570
167,24.2165
168,27.0033
169,13.8818
170,9.2703
171,7.0035
172,6.3744
173,9.7285
174,12.1618
175,12.8399
176,17.1829
177,15.1844
178,24.8002
179,18.7988
180,36.3125
181,28.2532
182,22.9115
183,23.4334
184,32.2007
185,29.0131
186,33.3611
187,31.1597
188,26.8416
189,20.9022
190,15.1516
191,17.9065
192,21.8343
193,16.2125
194,6.8437
195,12.3506
196,12.4138
197,5.7287
198,11.2589
199,11.7818
200,7.3666
201,16.9430
202,20.3713
203,25.5724
204,28.0159
205,18.2719
206,22.5438
207,31.3989
208,32.3932
209,32.7419
210,49.0911
211,129.7650
212,32.9204
213,29.9431
214,26.0199
215,18.6000
216,21.3847
217,11.3155
218,11.9262
219,9.0959
220,10.9348
221,21.7597
222,5.0000
223,14.9608
224,5.0568
225,12.8335
226,23.0515
227,20.5180
228,17.3978
229,21.6236
230,30.6709
231,25.2121
232,30.9470
233,30.4351
234,26.6102
235,39.5908
236,30.4532
237,15.0887
238,23.7367
239,16.9091
240,21.8938
241,11.2591
242,12.5788
243,14.0901
244,14.8968
245,5.0000
246,8.8992
247,9.1979
248,9.8971
249,24.0640
250,19.6753
251,13.9361
252,27.4199
253,35.8551
254,32.4797
255,21.3116
256,27.4883
257,36.5867
258,26.3750
259,31.1355
260,31.2023
261,20.6254
262,22.5526
263,5.0000
264,12.5560
265,14.0053
266,6.9602
267,19.7740
268,5.0000
269,8.0761
270,11.2728
271,18.8265
272,6.0321
273,21.1004
274,17.7496
275,15.3812
276,25.1896
277,26.2883
278,24.3651
279,29.3065
280,28.0320
281,30.8691
282,33.2735
283,36.8961
284,21.1900
285,35.9753
286,13.1401
287,19.5556
288,20.6701
289,16.7239
290,10.1365
291,10.6225
292,8.2013
293,7.3810
294,14.9188
295,13.4571
296,9.7989
297,19.8348
298,19.2874
299,24.4057
300,26.0800
301,21.2009
302,24.6184
303,32.7473
304,33.0640
305,30.2507
306,30.6034
307,35.4084
308,24.4754
309,28.1000
310,21.9441
311,19.2809
312,23.2773
313,19.5011
314,17.3729
315,18.2460
316,10.8270
317,13.7934
318,9.1755
319,13.3491
320,12.6691
321,15.8784
322,20.7834
323,16.3072
324,33.4509
325,20.3731
326,21.4058
327,34.8590
328,34.0283
329,33.5338
330,33.2167
331,29.0172
332,23.0055
333,25.8023
334,19.6282
335,25.3040
336,17.1075
337,11.3060
338,48.1555
339,13.8431
340,7.9634
341,6.3327
342,12.0056
343,13.0136
344,10.8459
345,13.0991
346,19.0290
347,13.2191
348,16.0131
349,21.8726
350,26.4713
351,30.6850
352,37.5089
353,34.7638
354,29.3378
355,29.0461
356,22.5421
357,25.3938
358,21.6340
359,22.1054
360,13.7702
361,18.0940
362,21.0927
363,11.2987
364,12.8549
365,13.9591
366,8.8458
367,12.9741
368,13.5086
369,16.0079
370,14.0691
371,20.6477
372,25.6061
373,32.7865
374,32.4010
375,39.9626
376,26.3619
377,34.9038
378,31.1210
379,40.1572
380,23.5804
381,21.3551
382,20.1478
383,9.9400
384,15.3455
385,11.7697
386,14.2492
387,13.6198
388,20.2958
389,15.3292
390,8.0363
391,7.4307
392,15.9746
393,8.9878
394,27.1611
395,26.4922
396,20.8403
397,17.0353
398,34.4445
399,28.6946
400,36.4584
401,22.6410
402,27.2786
403,29.3057
404,27.9283
405,23.3750
406,26.3309
407,15.2934
408,17.3345
409,16.2392
410,16.1420
411,15.5418
412,5.3646
413,20.4776
414,17.3825
415,13.6578
416,9.8461
417,23.4185
418,18.6561
419,26.5656
420,23.5981
421,35.9792
422,36.5265
423,28.0973
424,35.2022
425,33.9152
426,37.1940
427,24.5304
428,31.1994
429,30.9934
430,14.4990
431,14.7915
432,7.9267
433,14.3673
434,17.2343
435,19.5724
436,11.4354
437,18.8706
438,5.0000
439,5.0000
440,13.3887
441,17.6611
442,17.9925
443,10.4103
444,22.8935
445,19.2319
446,31.1770
447,31.2542
448,105.3543
449,28.1984
450,25.1344
451,29.1214
452,32.6248
453,20.8528
454,25.8933
455,18.1370
456,14.2392
457,15.2600
458,8.5514
459,9.3736
460,5.1569
461,20.6327
462,11.3296
463,8.6572
464,14.8184
465,15.2614
466,17.1335
467,23.9009
468,27.2094
469,23.1847
470,25.0327
471,28.1293
472,18.9975
473,23.2755
474,37.3486
475,37.7437
476,26.6881
477,28.7486
478,25.0138
479,36.2674
480,23.8863
481,15.2407
482,9.0351
483,5.0000
484,12.2492
485,7.1131
486,5.0000
487,9.0090
488,8.4270
489,24.3452
490,22.7332
491,20.8771
492,30.9085
493,26.3112
494,23.6927
495,37.2077
496,33.2893
497,105.4723
498,29.6506
499,25.2289
500,21.1076
501,30.5852
502,135.5349
503,13.9690
504,21.1923
505,12.7163
506,11.4666
507,9.3549
508,7.0017
509,11.2274
510,7.1746
511,13.6845
512,13.6740
513,14.8054
514,13.8780
515,18.1240
516,27.3769
517,28.5202
518,23.2028
519,30.1804
520,34.4436
521,22.6843
522,33.4113
523,26.3863
524,30.9671
525,22.2307
526,14.6148
527,12.9172
528,18.7111
529,17.3615
530,9.4742
531,15.6036
532,5.0000
533,10.7484
534,5.3685
535,9.1674
536,14.2568
537,11.7929
538,16.5880
539,26.1345
540,20.8108
541,30.2896
542,22.5377
543,32.4285
544,37.9905
545,18.7692
546,26.8063
547,32.6813
548,27.1956
549,27.9996
550,20.7163
551,21.5851
552,17.7897
553,21.9993
554,15.3656
555,14.1965
556,9.4542
557,8.7390
558,9.3592
559,14.4974
560,12.0136
561,17.6427
562,28.9869
563,25.5579
564,22.1646
565,32.2168
566,26.2456
567,19.6888
568,25.8423
569,21.8737
570,29.1337
571,29.9886
572,36.6938
573,27.8795
574,22.7418
575,25.4004
576,7.6139
577,17.4401
578,18.0496
579,5.2175
580,17.3345
581,12.9719
582,9.5480
583,15.7917
584,25.5748
585,17.2061
586,19.9541
587,19.0088
588,19.6489
589,30.4661
590,24.1094
591,30.3413
592,28.5986
593,33.7270
594,32.6641
595,35.1889
596,25.8664
597,25.0005
598,19.0487
599,19.1373
600,20.6616
601,20.1527
602,9.6903
603,17.0645
604,18.5002
605,13.4529
606,21.1150
607,8.8656
608,8.1050
609,7.5103
610,26.3004
611,24.6848
612,23.7278
613,27.8219
614,22.8703
615,42.3203
616,31.7412
617,31.9874
618,34.7331
619,32.5150
620,29.6448
621,22.5065
622,26.4091
623,30.8783
624,25.6117
625,24.4434
626,11.8550
627,7.8785
628,11.2033
629,11.7748
630,17.3125
631,5.0000
632,22.0869
633,15.7249
634,16.7971
635,16.4639
636,15.8430
637,30.6497
638,28.9762
639,23.7538
640,24.7320
641,29.8739
642,39.5620
643,28.9247
644,21.1225
645,25.3433
646,22.8014
647,8.0972
648,18.7267
649,15.4365
650,18.0060
651,22.1854
652,17.5793
653,42.0452
654,6.4235
655,25.8268
656,14.8502
657,16.6997
658,18.9261
659,22.6302
660,23.5111
661,23.7813
662,25.9913
663,30.1559
664,28.6065
665,28.1050
666,31.8656
667,29.0645
668,36.2751
669,13.4342
670,29.7397
671,27.9294
672,8.7488
673,14.9955
674,12.7857
675,6.0211
676,8.1756
677,6.1761
678,20.8361
679,17.7571
680,21.0307
681,20.3574
682,13.5207
683,19.1366
684,26.7993
685,20.6586
686,32.4104
687,29.2381
688,29.5697
689,35.3444
690,33.6753
691,28.6552
692,34.6726
693,21.4047
694,27.4830
695,24.7858
696,17.6895
697,75.6087
698,8.5091
699,17.8008
700,11.2623
701,9.2376
702,17.4422
703,9.6797
704,7.7534
705,9.0889
706,22.3191
707,15.4803
708,33.2498
709,16.4832
710,37.4515
711,31.6187
712,31.0843
713,29.1893
714,33.5741
715,30.3965
716,34.5173
717,27.5061
718,25.2800
719,20.1275
720,19.0779
721,18.4952
722,6.3396
723,6.5656
724,16.0292
725,12.8318
726,11.4036
727,13.4201
728,16.6604
729,14.3001
730,15.5245
731,22.9888
732,19.7113
733,29.0617
734,20.5839
735,35.8372
736,34.0588
737,33.3222
738,36.6202
739,39.0405
740,34.2012
741,17.8594
742,18.2595
743,18.9506
744,19.6224
745,19.6739
746,11.3913
747,14.3701
748,8.6659
749,9.0499
750,5.4205
751,8.8421
752,8.2946
753,12.2502
754,24.8151
755,17.3936
756,37.8963
757,29.6183
758,30.1525
759,26.5313
760,35.3292
761,29.2958
762,32.4489
763,43.6458
764,28.7815
765,32.9427
766,21.2743
767,22.0326
768,28.4790
769,14.0840
770,24.2156
771,17.1086
772,9.7642
773,15.4035
774,17.4506
775,16.7015
776,7.3362
777,13.6284
778,18.4440
779,21.9033
780,27.9727
781,28.1754
782,22.6869
783,32.8596
784,35.0162
785,35.1087
786,37.3787
787,35.1511
788,31.6940
789,26.9819
790,16.6219
791,24.4924
792,20.8003
793,18.7138
794,8.9069
795,8.3019
796,17.9798
797,12.1813
798,16.1331
799,13.8721
800,15.4743
801,22.0938
802,17.2398
803,22.8947
804,22.6968
805,25.2533
806,27.9569
807,32.2085
808,29.7089
809,38.7281
810,27.6414
811,30.1870
812,27.3394
813,34.7078
814,26.0498
815,27.6440
816,12.4747
817,77.1267
818,19.8797
819,14.2597
820,18.1827
821,9.9340
822,19.9139
823,25.3667
824,13.6532
825,15.3169
826,27.2291
827,30.4543
828,22.5363
829,25.4675
830,28.2366
831,24.5185
832,27.6525
833,27.5719
834,28.4189
835,31.0915
836,30.8529
837,35.3693
838,20.2193
839,27.5506
840,18.9769
841,17.3938
842,18.9503
843,8.3795
844,14.9123
845,13.4979
846,15.4747
847,15.4634
848,27.8894
849,14.5014
850,17.4531
851,19.5867
852,22.5194
853,24.5278
854,35.7371
855,38.4899
856,29.5389
857,28.5777
858,34.7621
859,28.6511
860,32.9939
861,28.7790
862,17.7801
863,30.5143
