HourOfYear,deploy_factor_Reg_MISO,deploy_factor_Spin_MISO,deploy_factor_Sup_MISO,deploy_factor_STR_MISO
1,0.6782,0.9214,0.9973,0.8462
2,0.7748,0.9034,0.9530,0.8839
3,0.7342,0.8688,0.9416,0.8429
4,0.6985,0.9218,0.9722,0.8037
5,0.6250,0.8860,0.9423,0.8040
6,0.6538,0.8683,0.8967,0.8194
7,0.6547,0.8272,0.9133,0.8560
8,0.6203,0.8404,0.9602,0.8467
9,0.6562,0.8207,0.9055,0.8324
10,0.6273,0.8684,0.8717,0.8535
11,0.6216,0.9327,0.9114,0.8207
12,0.6564,0.9811,0.9503,0.8795
13,0.6825,0.9976,0.9518,0.9000
14,0.6892,0.9437,0.9401,0.8897
15,0.6824,0.9288,0.9196,0.9462
16,0.6702,0.9075,0.9331,0.9752
17,0.6473,0.8759,0.9300,0.9456
18,0.6495,0.8777,0.9176,0.9374
19,0.6965,0.8847,0.9043,0.8802
20,0.6601,0.8795,0.8970,0.8874
21,0.5825,0.8962,0.9216,0.8709
22,0.5838,0.8921,0.9090,0.8481
23,0.6607,0.8797,0.9250,0.8442
24,0.6561,0.8928,0.9614,0.8552
25,0.6663,0.9189,0.9493,0.8839
26,0.6764,0.9235,0.9893,0.9173
27,0.6589,0.9144,0.9628,0.9097
28,0.7131,0.9162,0.8874,0.9255
29,0.7022,0.9680,0.9291,0.9464
30,0.7376,0.9245,0.9037,0.9427
31,0.7309,0.9251,0.8973,0.9169
32,0.7271,0.9357,0.8626,0.8955
33,0.6866,0.9035,0.8561,0.8665
34,0.7237,0.8963,0.8551,0.8427
35,0.7123,0.9017,0.8524,0.8516
36,0.7141,0.8686,0.8789,0.8527
37,0.7676,0.8690,0.8859,0.8390
38,0.7618,0.8334,0.9489,0.8436
39,0.7540,0.8942,0.9192,0.8691
40,0.7747,0.8409,0.9087,0.8692
41,0.7803,0.8442,0.9513,0.8238
42,0.7471,0.8026,0.8821,0.8547
43,0.7174,0.8812,0.8970,0.8735
44,0.7284,0.9308,0.9051,0.8734
45,0.7037,0.9737,0.9009,0.8982
