Parameter,Value
delT_minutes,60.0
qSteam_Total_MWth,1000.0
Turbine_Thermal_Elec_Efficiency_Const,0.38
qSteam_Turbine_min_MWth,100.0
qSteam_Turbine_max_MWth,1000.0
pTurbine_min_MW,38.0
pTurbine_max_MW,380.0
Turbine_RampUp_Rate_Percent_per_Min,2.0
Turbine_RampDown_Rate_Percent_per_Min,2.0
pTurbine_LTE_setpoint_MW,380.0
qSteam_Turbine_Breakpoints_MWth,"100.0, 550.0, 1000.0"
pTurbine_Outputs_at_Breakpoints_MW,"38.0, 215.0, 380.0"
pElectrolyzer_min_MW,20.0
pElectrolyzer_max_upper_bound_MW,500.0
pElectrolyzer_max_lower_bound_MW,50.0
Electrolyzer_RampUp_Rate_Percent_per_Min,15.0
Electrolyzer_RampDown_Rate_Percent_per_Min,15.0
qSteam_Electrolyzer_Ramp_Limit_MWth_per_Hour,200.0
pElectrolyzer_Breakpoints_MW,"20.0, 260.0, 500.0"
ke_H2_Values_MWh_per_kg,"55.0, 50.0, 48.0"
kt_H2_Values_MWth_per_kg,"10.0, 8.0, 7.0"
pIES_min_MW,-380.0
pIES_max_MW,380.0
H2_value_USD_per_kg,3.0
vom_turbine_USD_per_MWh,2.0
vom_electrolyzer_USD_per_MWh,3.5999999999999996
cost_water_USD_per_kg_h2,0.05
cost_electrolyzer_ramping_USD_per_MW_ramp,0.5
cost_electrolyzer_capacity_USD_per_MW,600000.0
cost_startup_electrolyzer_USD_per_startup,500.0
MinUpTimeElectrolyzer_hours,2
MinDownTimeElectrolyzer_hours,1
uElectrolyzer_initial_status_0_or_1,0
DegradationStateInitial_Units,0.0
DegradationFactorOperation_Units_per_Hour_at_MaxLoad,0.0001
DegradationFactorStartup_Units_per_Startup,0.05
H2_storage_capacity_max_kg,20000.0
H2_storage_capacity_min_kg,1000.0
H2_storage_level_initial_kg,10000.0
H2_storage_charge_rate_max_kg_per_hr,1000.0
H2_storage_discharge_rate_max_kg_per_hr,1000.0
storage_charge_eff_fraction,0.98
storage_discharge_eff_fraction,0.98
vom_storage_cycle_USD_per_kg_cycled,0.02
h2_target_capacity_factor_fraction,0.9
