HourOfYear,p_Reg_MISO,loc_Reg_MISO,p_Spin_MISO,loc_Spin_MISO,p_Sup_MISO,loc_Sup_MISO,p_STR_MISO,loc_STR_MISO
1,10.9625,-0.0223,6.4187,-0.2459,3.0000,-0.4247,9.1494,-0.1180
2,10.6303,0.1254,7.9751,0.1104,5.8978,-0.4547,7.3705,0.0685
3,7.0226,0.2557,9.3644,0.0978,14.0530,0.3450,3.0000,-0.0384
4,5.6196,0.3556,7.0681,0.1574,5.9193,-0.3401,8.0400,-0.0417
5,3.0000,0.3796,11.1519,-0.0157,15.1039,-0.3508,4.3836,-0.3063
6,7.4800,-0.1834,3.7982,-0.0944,3.0000,0.1389,18.7939,-0.3592
7,3.0000,0.3637,3.2043,0.1129,8.9175,-0.3943,9.5769,-0.0410
8,7.4640,0.1286,3.0000,-0.0345,9.4103,0.1169,5.9938,-0.4225
9,5.8629,-0.1305,9.2328,0.3175,10.1016,0.1040,10.3922,-0.2104
10,9.4076,-0.2860,7.6355,-0.2738,12.0026,-0.4409,7.9592,0.1904
11,7.7342,-0.1996,3.0000,0.3860,7.7155,-0.5743,5.8436,0.2519
12,6.6101,0.0911,9.1973,0.1460,13.4067,-0.3232,3.0000,0.3582
13,10.7437,-0.1228,13.2324,0.0049,6.4237,0.3554,6.6984,-0.0813
14,5.0223,0.0906,8.5996,0.0446,5.0852,-0.1488,7.1956,0.0400
15,9.4113,-0.2818,5.1879,0.0152,6.9448,-0.2411,7.1685,0.2551
16,13.8403,-0.1884,4.2592,-0.0138,8.0390,-0.2820,17.7180,-0.0702
17,10.9076,-0.0225,10.0839,0.3145,9.9116,0.1204,12.5174,0.2143
18,8.1096,-0.0430,10.4117,0.3738,13.2376,0.0206,16.0503,0.2009
19,5.8663,-0.3192,19.6421,0.0844,8.2771,-0.1665,10.8105,0.0339
20,10.3377,-0.1573,3.6409,0.1403,5.3657,-0.4144,8.5493,-0.1171
21,6.1722,-0.4360,12.2666,-0.2767,13.9095,0.0849,11.9824,-0.1571
22,8.1611,0.0166,5.8675,-0.1421,10.7656,-0.2240,6.9657,-0.1631
23,9.8452,0.3819,5.0808,0.0947,4.8502,0.0433,7.6065,0.0649
24,4.5066,-0.1915,3.0000,-0.0232,3.0000,-0.4139,12.9830,-0.2363
25,4.5677,-0.2383,10.7989,0.0940,10.2414,0.3576,3.5461,-0.4510
26,4.0539,0.2457,11.0011,-0.3184,8.0507,-0.1036,3.4329,0.0208
27,10.5450,-0.2927,8.6751,0.0677,3.0000,0.1302,4.8604,-0.1095
28,11.4685,0.2514,4.5449,0.5154,9.3130,0.1826,3.0000,0.6069
29,10.9090,-0.3005,7.4464,-0.2181,5.7047,-0.5504,7.2119,-0.4603
30,11.4321,-0.0889,11.0336,0.0740,8.2483,-0.3214,6.8636,0.0764
31,5.2509,-0.0603,3.0000,-0.0981,4.6519,0.0123,11.0574,0.1947
32,3.6877,0.1761,10.6950,0.2218,5.3337,-0.6597,11.6189,0.0581
33,11.7518,0.4681,10.8809,0.0440,15.4815,-0.3833,6.9591,0.0919
34,9.5357,-0.0866,9.2899,-0.1125,10.9284,0.2592,6.7401,0.1086
35,10.5337,-0.0046,5.1268,-0.1850,10.1544,0.1118,11.7997,0.1702
36,5.0488,-0.4274,3.5488,0.1151,6.0243,0.0639,5.0419,-0.1328
37,8.8476,-0.0102,10.5971,-0.0985,15.8800,0.2830,3.0000,0.2583
38,8.1260,0.2887,7.6466,0.6128,18.8844,0.3405,5.1237,0.1550
39,8.0446,0.5907,12.2379,0.0459,5.2337,0.3187,3.0000,-0.0547
40,6.9393,-0.0898,14.0669,0.1215,10.4378,-0.0404,7.7411,0.1843
41,4.6176,0.1792,8.3321,-0.4546,9.5667,-0.4528,3.0000,0.1569
42,7.1706,0.2894,3.0000,0.0427,10.8001,-0.2649,5.7694,0.2238
43,3.0000,-0.3596,3.7234,-0.4048,20.4401,-0.1233,12.3102,0.1654
44,7.5251,0.3546,4.4724,-0.0611,4.6982,0.1562,6.8390,0.0301
45,6.2240,-0.2017,5.4063,0.2223,7.1253,-0.4513,13.1883,0.2338
46,4.9804,0.0661,9.0296,0.4214,3.0000,0.1441,7.5080,0.4407
47,8.7727,-0.3157,6.2004,0.2899,11.9116,-0.0092,10.1696,0.4505
48,7.4122,-0.0916,3.3098,0.0387,3.9862,-0.0756,19.0241,0.3639
49,6.9948,-0.4220,9.8991,0.3208,3.4675,0.7396,3.0000,-0.0764
50,9.9775,0.0666,3.8187,0.4468,5.3028,-0.2733,3.0000,0.1409
51,6.4943,0.3837,3.8787,-0.2470,3.0000,0.1863,3.6296,-0.2345
52,7.9769,0.0082,3.0000,0.2769,6.8570,-0.1743,3.0000,0.1652
53,3.9548,-0.3605,6.5121,-0.1878,10.9872,0.2171,7.0008,0.2105
54,7.9796,-0.0846,5.5807,-0.0499,12.9161,-0.4598,3.0000,-0.3172
55,7.3942,0.0534,4.8427,0.1065,10.7376,-0.1110,8.0246,0.2283
56,7.9911,-0.0364,3.0000,0.2999,8.5250,-0.0580,7.0179,0.0098
57,4.0195,0.1697,3.7606,-0.0553,8.5606,0.1789,12.8054,-0.2526
58,4.7635,0.5039,8.1619,-0.2712,3.0000,-0.1368,5.3297,0.4269
59,7.3015,-0.0147,10.8945,-0.4383,3.0000,0.1538,4.7745,0.6846
60,12.0745,-0.0326,13.5302,-0.0765,11.4296,-0.5008,12.8135,-0.0267
61,4.6611,-0.1803,5.5735,0.3549,3.0000,0.0036,14.0949,-0.6831
62,12.8170,0.2575,3.0000,-0.1294,3.4573,-0.0797,16.2427,-0.1728
63,6.5480,0.4777,11.0413,0.2805,6.9362,0.1471,11.3040,-0.5679
64,8.5771,-0.0475,9.3892,-0.1943,13.4336,0.4035,12.9367,0.2934
65,11.9143,0.0637,4.4745,0.0231,3.9742,-0.0583,12.6453,-0.0814
66,8.7565,0.0407,14.6441,0.0716,18.0381,0.0791,12.0013,-0.2024
67,8.2227,-0.1921,3.0000,0.1946,5.3988,-0.2683,16.1853,-0.0515
68,12.8269,0.1832,5.8635,-0.2672,5.9588,-0.2990,18.7359,-0.1146
69,11.4242,-0.0101,16.7210,-0.0778,13.5011,0.0872,7.8571,0.0164
70,9.6897,0.0568,20.0544,0.2786,5.0943,0.1009,6.5226,-0.2201
71,7.8177,0.2415,12.3916,-0.3458,12.2331,-0.3151,11.8870,0.0587
72,8.3211,-0.0817,7.5303,0.1705,3.0000,-0.1428,11.1353,0.1492
73,4.8033,0.0234,8.5074,-0.3109,8.0964,-0.0890,14.4869,-0.7354
74,7.3669,-0.1814,3.0000,-0.0423,3.0000,0.0506,10.0980,-0.1987
75,6.6685,-0.2729,3.1932,0.0131,3.0000,0.2288,7.3585,-0.1408
76,7.3632,0.0303,3.0000,-0.1694,8.6109,-0.1689,3.0000,0.2845
77,7.7860,0.0519,10.7674,0.1959,10.4124,-0.2257,4.3575,0.0460
78,9.6655,0.2308,9.0382,0.0386,6.8371,0.1016,9.4767,-0.4703
79,3.4038,-0.1908,8.9865,0.1554,8.4784,-0.3211,4.2031,0.3520
80,4.9169,-0.2625,8.2812,-0.1659,4.2034,0.0691,7.5805,-0.0345
81,10.2537,0.4444,4.4429,0.3257,4.8982,-0.1273,3.0754,0.0921
82,14.0878,0.0328,7.6720,0.1941,6.5014,0.9750,7.1837,0.3375
83,6.0572,-0.3443,6.3981,-0.0467,13.0209,-0.0673,17.6209,-0.3189
84,6.4389,-0.0139,8.1690,-0.2989,6.6940,-0.0304,5.5375,0.1331
85,4.8269,-0.1642,7.7704,0.3415,6.9184,-0.0316,7.3123,-0.2485
86,3.3677,0.0896,10.5750,-0.2463,3.6887,0.3685,14.7322,0.1096
87,10.0128,-0.1043,5.5442,0.1069,16.0601,0.1961,6.0112,-0.1232
88,10.6188,0.3092,10.3167,0.0214,12.3775,0.0940,15.4507,0.2193
89,7.9890,-0.3250,9.4630,-0.0207,14.2516,0.1250,14.4966,-0.1839
90,8.4992,0.3196,11.3060,-0.2831,8.9767,-0.3885,16.8807,-0.2974
91,8.6399,0.1858,5.5807,-0.2442,15.5309,0.0542,13.0892,0.1518
92,7.7731,0.0807,7.5595,0.3607,4.2711,0.1631,4.4247,0.3707
93,8.0433,0.2586,4.6351,0.0705,3.2970,-0.0471,18.0805,0.0771
94,11.5656,0.3039,16.8121,0.2410,6.8685,0.2545,13.8237,0.3008
95,5.7389,0.0003,12.8280,-0.5593,6.3026,0.0707,14.3578,-0.2465
96,6.3053,0.4074,5.7456,-0.1199,8.6058,0.2033,3.0000,-0.3215
97,7.3325,0.1545,9.2292,0.2027,9.3058,0.0883,4.4781,-0.1679
98,6.0083,-0.1369,13.4341,-0.1586,3.0000,0.3371,12.5571,-0.0492
99,7.3100,-0.3367,13.0573,-0.4484,5.9330,0.1424,4.3497,-0.2373
100,3.0000,0.2685,7.5083,0.1718,10.9173,-0.4414,7.0328,-0.2663
101,7.9323,-0.0001,3.0000,-0.4887,4.4602,0.2253,4.3202,0.0558
102,4.3972,-0.4479,10.6856,0.1111,3.0000,0.3034,16.7622,-0.0479
103,4.8650,0.0834,6.9131,0.0584,3.0000,-0.1009,4.0261,0.0464
104,6.4771,-0.0645,4.3739,-0.0773,5.1157,-0.0072,13.0808,0.0794
105,3.9493,-0.1676,9.7500,0.0100,9.0357,0.1865,10.7836,-0.0366
106,11.2755,0.2523,5.0678,-0.0034,16.5895,0.0347,10.2106,-0.2729
107,6.8878,-0.1969,3.0000,0.2048,5.4268,0.0469,6.4633,0.4340
108,14.9323,-0.1133,14.4045,0.1243,6.7002,0.5959,3.0000,0.5265
109,10.2088,-0.0539,11.2972,0.2575,15.7596,-0.0021,4.9255,0.0147
110,7.2537,0.2542,13.0976,0.5082,9.6327,-0.0065,6.1884,0.4356
111,7.1453,-0.2936,3.0000,-0.2014,17.9514,-0.0452,8.9365,-0.1941
112,9.3289,-0.1582,11.8353,-0.0348,9.9435,0.0468,10.1041,-0.2831
113,13.2818,0.1063,11.4079,-0.2087,13.6861,-0.1542,7.1983,-0.1739
114,12.5782,0.1240,10.7365,0.3094,8.8216,0.2071,14.7269,-0.2040
115,10.9630,-0.2815,8.0191,-0.0542,3.0000,-0.4503,10.0924,-0.1388
116,8.0991,-0.0985,7.4124,-0.0426,9.7582,0.1024,4.7463,-0.1611
117,7.0705,-0.0293,16.0594,-0.0120,4.2585,0.1584,15.2733,-0.1247
118,9.2733,0.0720,10.9949,-0.2050,3.0000,-0.0962,3.0000,0.2070
119,11.9107,-0.0524,7.9689,-0.5898,11.1761,-0.2549,3.0000,0.0864
120,7.7775,0.3847,5.4033,0.0719,7.9178,0.1712,13.4288,-0.1655
121,6.1894,-0.0246,7.7062,-0.1720,8.7405,0.4255,20.4924,-0.2747
122,4.2606,0.3773,5.6530,0.0155,3.0000,-0.7503,11.4114,-0.3223
123,3.6573,-0.1162,3.1258,0.5930,5.5074,0.2265,12.3086,-0.2814
124,5.3830,-0.4002,9.5356,0.4170,11.0945,0.2887,7.4087,-0.0091
125,6.6634,0.6277,5.5029,-0.0688,3.0000,-0.2630,8.1831,-0.0887
126,8.0852,-0.0217,8.5912,0.0848,4.0052,0.3830,12.4153,-0.1071
127,7.9989,0.0924,8.6315,0.1451,9.3390,0.0039,8.9472,0.2211
128,5.8440,-0.3625,12.6575,0.1816,6.8951,-0.3940,5.0088,0.4240
129,12.0444,0.0655,7.5924,-0.1706,7.2576,0.0998,3.8248,-0.3146
130,4.6491,0.2054,3.0000,-0.1194,8.0660,0.0640,8.4404,0.1124
131,8.9381,-0.2864,8.9837,0.1932,3.0000,-0.1675,4.9412,0.3155
132,5.2508,-0.0356,9.3187,-0.1248,3.0022,0.3732,9.4014,-0.0892
133,5.8494,-0.0151,5.6089,0.2376,3.0000,-0.0689,4.2824,0.1495
134,9.6532,-0.3203,11.6642,-0.1391,16.5658,0.1289,11.6859,-0.3826
135,11.0224,0.4061,5.9293,0.3010,3.0000,-0.1132,3.0008,-0.0295
136,9.0491,-0.6690,4.1879,-0.1287,11.7691,-0.1323,10.6230,-0.4296
137,8.8270,-0.5346,9.8292,0.1136,6.7851,-0.2809,15.2053,-0.1069
138,11.9690,0.0266,5.3216,0.2217,14.7392,0.4215,15.7302,0.3612
139,6.2248,-0.2487,9.2729,-0.1602,10.6292,0.1229,9.1211,-0.1918
140,10.0238,0.1693,10.7676,0.4583,3.0000,-0.1684,4.7946,0.2305
141,6.8986,-0.0864,3.0000,0.3967,10.4817,0.0333,11.4912,-0.4343
142,9.5278,0.0996,8.1345,-0.0120,11.2329,0.2849,7.1354,-0.1472
143,8.5534,-0.3418,3.0000,0.1620,3.0000,-0.0251,14.7411,-0.1791
144,4.9020,-0.0994,3.0000,0.1203,6.3371,0.1346,7.9705,-0.1445
145,5.7715,-0.1106,7.4262,-0.0350,11.3207,-0.1785,3.0000,-0.3041
146,9.3566,0.5860,5.1822,-0.4278,13.1630,-0.0026,9.5071,0.1245
147,5.8734,-0.1132,7.5662,-0.0804,5.2057,-0.4523,8.3646,-0.3151
148,4.7158,-0.5723,6.6695,-0.3530,10.4103,-0.0239,3.0000,-0.2344
149,7.7562,0.2753,8.8933,-0.0298,7.9220,-0.1735,6.5220,0.1069
150,4.4926,-0.0610,3.0000,0.5477,4.8702,0.3238,3.8821,-0.1294
151,4.3113,0.0674,7.0945,-0.1581,7.2744,-0.1658,3.0000,-0.2350
152,3.0000,-0.0863,7.6887,-0.3519,3.4240,-0.2171,8.4480,0.3495
153,8.0684,-0.3191,3.0000,0.2183,4.1765,0.2008,16.2628,-0.1443
154,7.9463,0.3267,7.1473,0.0518,11.6923,-0.1944,7.9551,0.3490
155,9.5072,-0.2445,9.3446,0.4350,3.0000,0.0110,12.5771,-0.1093
156,10.9656,-0.3706,7.9435,-0.4433,5.9934,-0.0363,9.8506,0.1647
157,8.8390,0.1176,13.7453,-0.1232,11.1124,-0.0509,13.0967,0.1657
158,8.7797,0.0389,11.9796,-0.2803,13.7723,-0.2473,9.7310,-0.5141
159,9.1380,0.2673,11.3748,0.1716,7.3913,0.2581,9.1255,0.0829
160,7.8788,0.0701,4.3489,0.2144,14.1656,-0.1751,12.8987,0.1489
161,4.8783,-0.0188,5.7583,-0.1494,9.8109,0.1138,3.0000,-0.1767
162,6.4904,0.2269,8.8038,0.1172,4.6094,0.0948,9.5096,0.1496
163,9.3559,-0.4120,10.0899,0.4699,8.5245,0.1619,12.1290,0.3543
164,10.8065,-0.0454,3.0000,-0.0961,8.2689,-0.1248,3.0000,-0.1734
165,12.9104,-0.2366,9.1000,0.3435,11.2252,-0.1180,3.0000,-0.0118
166,7.7639,0.0633,12.2191,-0.5014,7.0585,0.1433,13.6935,0.0492
167,8.8413,0.2039,3.0000,0.0057,5.7066,-0.1637,3.0000,0.0141
168,13.3773,0.0697,3.0000,0.4047,12.0019,-0.1230,9.1513,0.1681
169,8.6802,0.1772,11.9699,-0.4005,5.5462,-0.1112,4.0551,0.1070
170,7.2701,0.3097,7.4309,0.2814,7.1567,-0.0278,3.0000,-0.2706
171,7.2258,0.1259,13.3743,-0.2848,7.6554,-0.0882,11.0551,-0.2654
172,8.0923,0.1853,5.8015,-0.1230,11.0746,-0.0334,3.0000,0.0078
173,3.9221,0.4686,5.4254,-0.1150,7.7238,-0.2521,13.9274,0.1465
174,9.1175,0.6599,3.2164,-0.1047,8.9628,0.0080,5.1092,-0.3099
175,8.3818,-0.0392,16.5167,0.1884,8.3481,0.2192,4.1815,-0.0164
176,10.4389,-0.2350,12.5937,-0.2348,7.8089,-0.1891,9.0276,0.0190
177,8.7537,-0.6448,9.0523,0.8124,3.0000,0.1264,3.0000,0.0496
178,11.0331,0.4812,10.2218,-0.0271,7.1279,0.4979,6.6864,0.0027
179,5.5727,-0.1421,3.0000,0.2702,3.0000,-0.3036,5.3835,-0.2965
180,8.1402,0.1157,11.2650,0.2313,7.1392,-0.0313,7.6073,-0.0376
181,9.2071,0.1650,4.5674,-0.0692,7.5231,0.0442,3.1079,-0.0243
182,6.4131,0.2014,7.1909,0.0406,11.6773,-0.0548,7.4833,-0.1043
183,10.4821,-0.0627,9.1406,-0.0938,6.9641,-0.2993,7.5013,-0.0088
184,5.6812,0.1987,11.2667,0.0958,6.5109,0.0173,7.2571,0.1360
185,8.5023,0.1355,5.0992,-0.3146,7.8246,-0.1661,7.9716,-0.3362
186,7.9199,-0.1695,13.0606,0.1545,16.7147,0.1402,8.4193,0.1406
187,7.2599,0.4066,9.7712,0.1314,4.4032,0.5129,8.0282,0.1439
188,5.2567,0.1692,12.7828,0.1616,11.6046,0.0373,13.3986,0.4448
189,8.1947,-0.3209,10.7554,0.0496,10.6268,0.3995,7.7248,0.4722
190,7.3074,-0.0929,12.2870,-0.3201,11.0831,-0.2556,3.5507,0.3613
191,12.5516,-0.0985,4.1182,-0.1982,4.2449,0.0595,10.3069,0.0905
192,14.4032,-0.1425,17.1208,0.1328,4.1877,0.1121,3.4987,0.2660
193,4.9513,0.1528,3.0000,-0.0890,3.0000,-0.2815,8.6605,0.1133
194,3.0000,0.3228,3.9262,-0.2532,7.3150,-0.3375,3.0000,0.3143
195,4.2334,-0.2736,7.2359,0.2849,6.6129,-0.0623,9.0327,0.0649
196,7.0867,-0.0893,8.8498,-0.1313,3.0000,-0.5204,3.0000,-0.2266
197,9.3858,0.2866,3.8933,-0.1146,3.0000,0.2357,9.0736,0.1344
198,5.9222,-0.2100,5.9486,-0.0401,3.3468,-0.1412,4.7406,-0.3155
199,8.6239,-0.1784,14.7739,0.1049,4.0450,0.0960,3.0000,0.0908
200,4.7391,-0.5631,3.0000,0.0304,3.0000,0.1427,3.0000,0.5387
201,6.4765,0.1922,3.0000,0.3189,7.1988,-0.0067,3.0000,-0.3010
202,8.4541,0.0506,3.0000,0.0808,7.6009,-0.3390,4.0466,0.0540
203,8.5294,-0.0835,6.3501,0.1158,3.1440,-0.3474,9.8764,-0.0639
204,8.7114,-0.4014,3.0000,-0.2035,7.0338,0.0085,3.3497,0.3849
205,5.1227,-0.0857,7.6471,-0.3612,11.7484,-0.3542,4.9261,-0.0292
206,11.3191,-0.4807,16.0732,0.0910,10.1986,-0.2299,4.5772,-0.3665
207,12.1857,-0.0438,9.9996,0.4362,6.5632,-0.1418,7.0663,-0.1136
208,12.3270,0.4802,16.1185,0.2106,13.4360,-0.3734,13.4123,0.1942
209,7.5811,0.0491,8.7479,0.2948,15.6859,0.1231,13.1695,0.3448
210,11.2076,0.3081,22.5511,0.0345,13.1298,-0.0522,16.1795,-0.2085
211,17.6643,0.3263,32.6379,0.2393,38.4508,0.2882,33.8370,-0.0434
212,6.8552,-0.1320,10.4302,0.2236,14.5399,0.4613,12.6999,0.0253
213,9.7067,0.1546,5.4744,-0.0829,12.5923,-0.3118,9.1384,-0.0799
214,3.2961,-0.6827,10.0317,-0.0894,6.5394,-0.5667,9.5476,-0.0680
215,9.9771,0.0703,15.4916,-0.1284,3.0000,-0.0868,3.0000,0.1231
216,5.2317,0.2689,3.0000,-0.1412,3.0000,-0.0089,7.2544,0.3514
217,6.3490,0.1306,5.8077,-0.4351,3.0000,-0.3890,13.1995,0.0428
218,3.0000,-0.0897,4.8249,-0.1932,9.6282,0.0698,9.6535,0.0322
219,11.4290,0.3139,3.0000,-0.1849,4.3497,-0.1003,10.0642,-0.4838
